ts,profile,equity
1775658383834,ideal,-0.3334914129456
1775658383834,good,-0.3336581253096
1775658383834,realistic,-0.333924865092
1775658383834,bad,-0.334591714548
1775658383834,ideal,-0.600864793929
1775658383834,good,-0.6011651662515
1775658383834,realistic,-0.6016457619675
1775658383834,bad,-0.6028472512575
1775658383834,ideal,-0.9158519492631
1775658383834,good,-0.91630978367085
1775658383834,realistic,-0.91704231872325
1775658383834,bad,-0.91887365635425
1775658383834,ideal,-0.9923534134965
1775658383834,good,-0.99284949098775
1775658383834,realistic,-0.99364321497375
1775658383834,bad,-0.99562752493875
1775658383834,ideal,-1.068852622779
1775658383834,good,-1.0693869422265
1775658383834,realistic,-1.0702418533425
1775658383834,bad,-1.0723791311325
1775658500814,ideal,-1.3839191154774
1775658500814,good,-1.3846109366709
1775658500814,realistic,-1.3857178505805
1775658500814,bad,-1.3884851353545
1775658500814,ideal,-1.7324377867737
1775658500814,good,-1.73330383245795
1775658500814,realistic,-1.73468950555275
1775658500814,bad,-1.73815368828975
1775658500814,ideal,-1.8412353419337
1775658500814,good,-1.84215577551795
1775658500814,realistic,-1.84362846925275
1775658500814,bad,-1.84731020358975
1775658500814,ideal,-2.1384509006592
1775658500814,good,-2.1395199123072
1775658500814,realistic,-2.141230330944
1775658500814,bad,-2.145506377536
1775658617580,ideal,-2.3421107069757
1775658617580,good,-2.34328152816495
1775658617580,realistic,-2.34515484206775
1775658617580,bad,-2.34983812682475
1775658617580,ideal,-2.6918620172505
1775658617580,good,-2.69320767912675
1775658617580,realistic,-2.69536073812875
1775658617580,bad,-2.70074338563375
1775658617580,ideal,-2.8024769458125
1775658617580,good,-2.80387790409375
1775658617580,realistic,-2.80611943734375
1775658617580,bad,-2.81172327046875
1775658617580,ideal,-3.1016525969781
1775658617580,good,-3.10320311317335
1775658617580,realistic,-3.10568393908575
1775658617580,bad,-3.11188600386675
1775658617580,ideal,-3.2079927327525
1775658617580,good,-3.20959640838375
1775658617580,realistic,-3.21216228939375
1775658617580,bad,-3.21857699191875
1775658744994,ideal,-3.3151590897381
1775658744994,good,-3.31681633783335
1775658744994,realistic,-3.31946793478575
1775658744994,bad,-3.32609692716675
1775658744994,ideal,-3.4305455934243
1775658744994,good,-3.43226052323505
1775658744994,realistic,-3.43500441093225
1775658744994,bad,-3.44186413017525
1775658744994,ideal,-4.2736420830051
1775658744994,good,-4.27577847676785
1775658744994,realistic,-4.27919670678825
1775658744994,bad,-4.28774228183925
1775658883268,ideal,-4.3085844600831
1775658883268,good,-4.31073832154085
1775658883268,realistic,-4.31418449987325
1775658883268,bad,-4.32279994570425
1775658887280,ideal,-4.4465308878519
1775658887280,good,-4.44875370873165
1775658887280,realistic,-4.45231022213925
1775658887280,bad,-4.46120150565825
1775658887280,ideal,-4.5039579249627
1775658887280,good,-4.50620945361945
1775658887280,realistic,-4.50981189947025
1775658887280,bad,-4.51881801409725
1775658887280,ideal,-5.3371057332051
1775658887280,good,-5.33977375246785
1775658887280,realistic,-5.34404258328825
1775658887280,bad,-5.35471466033925
1775659046502,ideal,-6.4051377969051
1775659046502,good,-6.40833972541785
1775659046502,realistic,-6.41346281103825
1775659046502,bad,-6.42627052508925
1775659220090,ideal,-6.4934778613851
1775659220090,good,-6.49672395109785
1775659220090,realistic,-6.50191769463825
1775659220090,bad,-6.51490205348925
1775659220090,ideal,-6.8085336959523
1775659220090,good,-6.81193728208305
1775659220090,realistic,-6.81738301989225
1775659220090,bad,-6.83099736441525
1775659220090,ideal,-6.8129506991763
1775659220090,good,-6.81635649336705
1775659220090,realistic,-6.82180576407225
1775659220090,bad,-6.83542894083525
1775659220090,ideal,-7.2630739698291
1775659220090,good,-7.26670478065185
1775659220090,realistic,-7.27251407796825
1775659220090,bad,-7.28703732125925
