ts,profile,equity
1775658171401,ideal,-0.05663031522129
1775658171401,good,-0.056601994399515
1775658171401,realistic,-0.056556681084675
1775658171401,bad,-0.056443397797575
1775658171401,ideal,-0.12310752042063
1775658171401,good,-0.123045954347205
1775658171401,realistic,-0.122947448629725
1775658171401,bad,-0.122701184336025
1775658171401,ideal,-0.23354197866072
1775658171401,good,-0.23342518431252
1775658171401,realistic,-0.2332383133554
1775658171401,bad,-0.2327711359626
1775658207622,ideal,-0.25445188874214
1775658207622,good,-0.25432463734749
1775658207622,realistic,-0.25412103511605
1775658207622,bad,-0.25361202953745
1775658210253,ideal,-0.26512448864517
1775658210253,good,-0.264991899883095
1775658210253,realistic,-0.264779757863775
1775658210253,bad,-0.264249402815475
1775658221978,ideal,-0.27416165310072
1775658221978,good,-0.27402454485252
1775658221978,realistic,-0.2738051716554
1775658221978,bad,-0.2732567386626
1775658221978,ideal,-0.41752686617235
1775658221978,good,-0.417318060978225
1775658221978,realistic,-0.416983972667625
1775658221978,bad,-0.416148751891125
1775658221978,ideal,-0.74396234966562
1775658221978,good,-0.74359029407967
1775658221978,realistic,-0.74299500514215
1775658221978,bad,-0.74150678279835
1775658221978,ideal,-0.75299902596882
1775658221978,good,-0.75262245114087
1775658221978,realistic,-0.75201993141615
1775658221978,bad,-0.75051363210435
1775658221978,ideal,-0.75841375580622
1775658221978,good,-0.75803447307177
1775658221978,realistic,-0.75742762069665
1775658221978,bad,-0.75591048975885
1775658221978,ideal,-1.07920889894322
1775658221978,good,-1.07866918655127
1775658221978,realistic,-1.07780564672415
1775658221978,bad,-1.07564679715635
1775658221978,ideal,-1.08824459894172
1775658221978,good,-1.08770036779602
1775658221978,realistic,-1.0868295979629
1775658221978,bad,-1.0846526733801
1775658221978,ideal,-1.61895876337602
1775658221978,good,-1.61814912206607
1775658221978,realistic,-1.61685369597015
1775658221978,bad,-1.61361513073035
1775658221978,ideal,-1.74941569412055
1775658221978,good,-1.748540811296925
1775658221978,realistic,-1.747140998779125
1775658221978,bad,-1.743641467484625
1775658221978,ideal,-1.7584509059667
1775658221978,good,-1.75757150463345
1775658221978,realistic,-1.75616446250025
1775658221978,bad,-1.75264685716725
1775658221978,ideal,-1.7899369215039
1775658221978,good,-1.78904177401365
1775658221978,realistic,-1.78760953802925
1775658221978,bad,-1.78402894806825
1775658221978,ideal,-1.7989745741118
1775658221978,good,-1.7980749068913
1775658221978,realistic,-1.7966354393385
1775658221978,bad,-1.7930367704565
1775658221978,ideal,-1.80801076226265
1775658221978,good,-1.807106576044275
1775658221978,realistic,-1.805659878094875
1775658221978,bad,-1.802043133221375
1775658221978,ideal,-1.81421660754531
1775658221978,good,-1.813309317783585
1775658221978,realistic,-1.811857654164825
1775658221978,bad,-1.808228495117925
1775658228044,ideal,-1.90495946204397
1775658228044,good,-1.904006791778895
1775658228044,realistic,-1.902482519354775
1775658228044,bad,-1.898671838294475
1775658252287,ideal,-2.00630518084557
1775658252287,good,-2.005301827584495
1775658252287,realistic,-2.003696462366775
1775658252287,bad,-1.999683049322475
1775658252287,ideal,-2.17710212962257
1775658252287,good,-2.176013360803995
1775658252287,realistic,-2.174271330694275
1775658252287,bad,-2.169916255419975
1775658252287,ideal,-2.30968680038397
1775658252287,good,-2.308531725968895
1775658252287,realistic,-2.306683606904775
1775658252287,bad,-2.302063309244475
1775658252287,ideal,-2.48241129407487
1775658252287,good,-2.481169840137045
1775658252287,realistic,-2.479183513836525
1775658252287,bad,-2.474217698085225
1775658252287,ideal,-2.49179632669287
1775658252287,good,-2.490550179300045
1775658252287,realistic,-2.488556343471525
1775658252287,bad,-2.483571753900225
1775658318025,ideal,-2.58251530806711
1775658318025,good,-2.581223792109885
1775658318025,realistic,-2.579157366578325
1775658318025,bad,-2.573991302749425
1775658352954,ideal,-2.66933164547628
1775658352954,good,-2.66799671266698
1775658352954,realistic,-2.6658608201721
1775658352954,bad,-2.6605210889349
1775658352954,ideal,-2.69911330295328
1775658352954,good,-2.69776347633648
1775658352954,realistic,-2.6956037537496
1775658352954,bad,-2.6902044472824
1775658352954,ideal,-2.71697095070928
1775658352954,good,-2.71561219348248
1775658352954,realistic,-2.7134381819196
1775658352954,bad,-2.7080031530124
1775658352954,ideal,-2.76278268552948
1775658352954,good,-2.76140101785318
1775658352954,realistic,-2.7591903495711
1775658352954,bad,-2.7536636788659
1775658353069,ideal,-2.78629983395892
1775658353069,good,-2.78490640535622
1775658353069,realistic,-2.7826769195919
1775658353069,bad,-2.7771032051811
1775658353069,ideal,-2.81261048977512
1775658353069,good,-2.81120390321292
1775658353069,realistic,-2.8089533647134
1775658353069,bad,-2.8033270184646
1775658382179,ideal,-2.94972675303672
1775658382179,good,-2.94825159462852
1775658382179,realistic,-2.9458913411754
1775658382179,bad,-2.9399907075426
1775658407061,ideal,-2.9696915488788
1775658407061,good,-2.9682064060758
1775658407061,realistic,-2.965830177591
1775658407061,bad,-2.959889606379
1775658410740,ideal,-4.182573592782
1775658410740,good,-4.181694769737
1775658410740,realistic,-4.180288652865
1775658410740,bad,-4.176773360685
1775658413494,ideal,-4.25723219222517
1775658413494,good,-4.256316032413095
1775658413494,realistic,-4.254850176713775
1775658413494,bad,-4.251185537465475
1775658464452,ideal,-4.34606467217517
1775658464452,good,-4.345104087238095
1775658464452,realistic,-4.343567151338775
1775658464452,bad,-4.339724811590475
1775658464452,ideal,-4.40025633167517
1775658464452,good,-4.399268645488095
1775658464452,realistic,-4.397688347588775
1775658464452,bad,-4.393737602840475
1775658661495,ideal,-1.38360860239417
1775658661495,good,-4.079423080504595
