ts,profile,equity
1775658747268,ideal,-0.2488676965866
1775658747268,good,-0.2489921055531
1775658747268,realistic,-0.2491911598995
1775658747268,bad,-0.2496887957655
1775658760020,ideal,-0.4975045780194
1775658760020,good,-0.4977532805679
1775658760020,realistic,-0.4981512046455
1775658760020,bad,-0.4991460148395
1775658860842,ideal,-0.7462268415252
1775658860842,good,-0.7465998803382
1775658860842,realistic,-0.747196742439
1775658860842,bad,-0.748688897691
1775658935738,ideal,-0.9950373901845
1775658935738,good,-0.99553480939575
1775658935738,realistic,-0.99633068013375
1775658935738,bad,-0.99832035697875
1775658952340,ideal,-1.2439321191765
1775658952340,good,-1.24455396086775
1775658952340,realistic,-1.24554890757375
1775658952340,bad,-1.24803627433875
1775659991928,ideal,-1.4925951418365
1775659991928,good,-1.49334129017775
1775659991928,realistic,-1.49453512752375
1775659991928,bad,-1.49751972088875
1775660181567,ideal,-1.7413449598521
1775660181567,good,-1.74221545823235
1775660181567,realistic,-1.74360825564075
1775660181567,bad,-1.74709024916175
1775660196216,ideal,-1.9901774594007
1775660196216,good,-1.99117234915245
1775660196216,realistic,-1.99276417275525
1775660196216,bad,-1.99674373176225
1775661594196,ideal,-12.6084621286881
1775661594196,good,-12.61476509915835
1775661594196,realistic,-12.62484985191075
1775661594196,bad,-12.65006173379175
1775662427028,ideal,-12.743152015779
1775662427028,good,-12.7495223177265
1775662427028,realistic,-12.7597148008425
1775662427028,bad,-12.7851960086325
1775662523373,ideal,-12.63557154106521564439530619
1775662523373,good,-13.00133551750046120310576174
1775662523373,realistic,-13.58655787979685409704249065
1775662523373,bad,-15.04961378553783633188431287
1775662753059,ideal,-12.77039785943691564439530619
1775662753059,good,-13.13622923555141120310576174
1775662753059,realistic,-13.72155943733460409704249065
1775662753059,bad,-15.18488494179258633188431287
1775662791253,ideal,-12.76616019332786570324535765
1775662791253,good,-13.1462249937644423207734747
1775662791253,realistic,-13.754328674462964908818462
1775662791253,bad,-15.27458787620927137893093019
1775662791989,ideal,-12.66233737365614214507161852
1775662791989,good,-13.39112106998370470363244222
1775662791989,realistic,-14.55717498410780479732976008
1775662791989,bad,-17.47230976941805503157305463
1775663082651,ideal,-12.66874215435614214507161852
1775663082651,good,-13.39752905243370470363244222
1775663082651,realistic,-14.56358808935780479732976008
1775663082651,bad,-17.47873568166805503157305463
1775663082717,ideal,-12.69115888680614214507161852
1775663082717,good,-13.41995699100870470363244222
1775663082717,realistic,-14.58603395773280479732976008
1775663082717,bad,-17.50122637454305503157305463
1775663083190,ideal,-12.70076605785614214507161852
1775663083190,good,-13.42956896468370470363244222
1775663083190,realistic,-14.59565361560780479732976008
1775663083190,bad,-17.51086524291805503157305463
1775663083255,ideal,-12.72318279030614214507161852
1775663083255,good,-13.45199690325870470363244222
1775663083255,realistic,-14.61809948398280479732976008
1775663083255,bad,-17.53335593579305503157305463
1775663084063,ideal,-12.72862685390114214507161852
1775663084063,good,-13.45744368834120470363244222
1775663084063,realistic,-14.62355062344530479732976008
1775663084063,bad,-17.53881796120555503157305463
1775663084063,ideal,-12.79747824642614214507161852
1775663084063,good,-13.52632949967870470363244222
1775663084063,realistic,-14.69249150488280479732976008
1775663084063,bad,-17.60789651789305503157305463
1775663145089,ideal,-12.70530752675602609329013069
1775663145089,good,-13.79639200630299471261291132
1775663145089,realistic,-15.54212717357814450352936014
1775663145089,bad,-19.90646509176601898082048219
1775663294813,ideal,-12.70328644167864921292949616
1775663294813,good,-13.79579506411850056726509391
1775663294813,realistic,-15.54380886002226273420205012
1775663294813,bad,-19.91384334978166815154444065
1775663294955,ideal,-12.68610721852094572986410266
1775663294955,good,-13.79072105555030033180864592
1775663294955,realistic,-15.55810319479726769491991496
1775663294955,bad,-19.97655854291468610269808754
1775663294955,ideal,-12.61536924081275491724189412
1775663294955,good,-13.76982807909300524463503656
