ts,profile,equity
1775658223679,ideal,-0.318466040472
1775658223679,good,-0.318625241652
1775658223679,realistic,-0.31887996354
1775658223679,bad,-0.31951676826
1775658223860,ideal,-0.800294946984
1775658223860,good,-0.800695014444
1775658223860,realistic,-0.80133512238
1775658223860,bad,-0.80293539222
1775658224334,ideal,-1.282123853496
1775658224334,good,-1.282764787236
1775658224334,realistic,-1.28379028122
1775658224334,bad,-1.28635401618
1775658224942,ideal,-1.763952760008
1775658224942,good,-1.764834560028
1775658224942,realistic,-1.76624544006
1775658224942,bad,-1.76977264014
1775658224942,ideal,-1.804640896008
1775658224942,good,-1.805543036028
1775658224942,realistic,-1.80698646006
1775658224942,bad,-1.81059502014
1775658225522,ideal,-1.990300860576
1775658225522,good,-1.991295812016
1775658225522,realistic,-1.99288773432
1775658225522,bad,-1.99686754008
1775658226904,ideal,-2.030988996576
1775658226904,good,-2.032004288016
1775658226904,realistic,-2.03362875432
1775658226904,bad,-2.03768992008
1775658228331,ideal,-2.75234895972
1775658228331,good,-2.75372485902
1775658228331,realistic,-2.7559262979
1775658228331,bad,-2.7614298951
1775658228331,ideal,-2.79303709572
1775658228331,good,-2.79443333502
1775658228331,realistic,-2.7966673179
1775658228331,bad,-2.8022522751
1775658229733,ideal,-2.83372523172
1775658229733,good,-2.83514181102
1775658229733,realistic,-2.8374083379
1775658229733,bad,-2.8430746551
1775658229865,ideal,-3.534741126864
1775658229865,good,-3.536508144024
1775658229865,realistic,-3.53933537148
1775658229865,bad,-3.54640344012
1775658231222,ideal,-3.575429262864
1775658231222,good,-3.577216620024
1775658231222,realistic,-3.58007639148
1775658231222,bad,-3.58722582012
1775658246876,ideal,-3.588408778248
1775658246876,good,-3.590202623868
1775658246876,realistic,-3.59307277686
1775658246876,bad,-3.60024815934
1775658248320,ideal,-3.629096914248
1775658248320,good,-3.630911099868
1775658248320,realistic,-3.63381379686
1775658248320,bad,-3.64107053934
1775658250656,ideal,-3.669785050248
1775658250656,good,-3.671619575868
1775658250656,realistic,-3.67455481686
1775658250656,bad,-3.68189291934
1775658252064,ideal,-4.393138732056
1775658252064,good,-4.395334862196
1775658252064,realistic,-4.39884867042
1775658252064,bad,-4.40763319098
1775658252287,ideal,-4.810599007416
1775658252287,good,-4.813003825956
1775658252287,realistic,-4.81685153562
1775658252287,bad,-4.82647080978
1775658252287,ideal,-4.851287143416
1775658252287,good,-4.853712301956
1775658252287,realistic,-4.85759255562
