ts,profile,equity
1775658165008,ideal,-0.0682529846724
1775658165008,good,-0.0682188513534
1775658165008,realistic,-0.068164238043
1775658165008,bad,-0.068027704767
1775658195135,ideal,-0.1365059693448
1775658195135,good,-0.1364377027068
1775658195135,realistic,-0.136328476086
1775658195135,bad,-0.136055409534
1775658225004,ideal,-0.2047589540172
1775658225004,good,-0.2046565540602
1775658225004,realistic,-0.204492714129
1775658225004,bad,-0.204083114301
1775658255061,ideal,-0.2730076330509
1775658255061,good,-0.27287110192815
1775658255061,realistic,-0.27265265213175
1775658255061,bad,-0.27210652764075
1775658285040,ideal,-0.3412520064459
1775658285040,good,-0.34108134631065
1775658285040,realistic,-0.34080829009425
1775658285040,bad,-0.34012564955325
1775658345034,ideal,-0.40949551871316
1775658345034,good,-0.40929072999606
1775658345034,realistic,-0.4089630680487
1775658345034,bad,-0.4081439131803
1775658375056,ideal,-0.47773816985268
1775658375056,good,-0.47749925298438
1775658375056,realistic,-0.4771169859951
1775658375056,bad,-0.4761613185219
1775658405031,ideal,-0.54597995986446
1775658405031,good,-0.54570691527561
1775658405031,realistic,-0.54527004393345
1775658405031,bad,-0.54417786557805
1775658435025,ideal,-0.6142208887485
1775658435025,good,-0.61391371686975
1775658435025,realistic,-0.61342224186375
1775658435025,bad,-0.61219355434875
1775658465046,ideal,-0.68246181763254
1775658465046,good,-0.68212051846389
1775658465046,realistic,-0.68157443979405
1775658465046,bad,-0.68020924311945
1775658525018,ideal,-0.75070188538884
1775658525018,good,-0.75032645936094
1775658525018,realistic,-0.7497257777163
1775658525018,bad,-0.7482240736047
1775658555061,ideal,-0.7950538044306
1775658555061,good,-0.7946561980071
1775658555061,realistic,-0.7940200277295
1775658555061,bad,-0.7924296020355
1775658585046,ideal,-0.83441434994676
1775658585046,good,-0.83399705931366
1775658585046,realistic,-0.8333293943007
1775658585046,bad,-0.8316602317683
1775659066373,ideal,-1.20881505511476
1775659066373,good,-1.20858492740166
1775659066373,realistic,-1.2082167230607
1775659066373,bad,-1.2072962122083
1775659083506,ideal,-1.35497260077876
1775659083506,good,-1.35481553722566
1775659083506,realistic,-1.3545642355407
1775659083506,bad,-1.3539359813283
1775659085157,ideal,-1.50113014644276
1775659085157,good,-1.50104614704966
1775659085157,realistic,-1.5009117480207
1775659085157,bad,-1.5005757504483
1775659087337,ideal,-1.64728769210676
1775659087337,good,-1.64727675687366
1775659087337,realistic,-1.6472592605007
1775659087337,bad,-1.6472155195683
1775659654027,ideal,-2.11381803951876
1775659654027,good,-2.11404032281566
1775659654027,realistic,-2.1143959760907
1775659654027,bad,-2.1152851092783
1775659654027,ideal,-2.14679487356676
1775659654027,good,-2.14703364198366
1775659654027,realistic,-2.1474156714507
1775659654027,bad,-2.1483707451183
1775660304495,ideal,-3.19744825122456
1775660304495,good,-3.19821224128596
1775660304495,realistic,-3.1994346253842
1775660304495,bad,-3.2024905856298
1775660349512,ideal,-3.87248850727956
1775660349512,good,-3.87358994997846
1775660349512,realistic,-3.8753522582967
1775660349512,bad,-3.8797580290923
1775660349512,ideal,-4.54752876333456
1775660349512,good,-4.54896765867096
1775660349512,realistic,-4.5512698912092
1775660349512,bad,-4.5570254725548
1775660349512,ideal,-4.70666191760136
1775660349512,good,-4.70818036360476
1775660349512,realistic,-4.7106098772102
1775660349512,bad,-4.7166836612238
1775660349512,ideal,-5.38170217365636
1775660349512,good,-5.38355807229726
1775660349512,realistic,-5.3865275101227
1775660349512,bad,-5.3939511046863
1775660370198,ideal,-5.62695207382836
1775660370198,good,-5.62893057289926
1775660370198,realistic,-5.6320961714127
1775660370198,bad,-5.6400101676963
1775660370198,ideal,-5.67193654842426
1775660370198,good,-5.67393753523491
1775660370198,realistic,-5.67713911413195
1775660370198,bad,-5.68514306137455
1775660370198,ideal,-5.91718009332546
1775660370198,good,-5.91930367738911
1775660370198,realistic,-5.92270141189095
1775660370198,bad,-5.93119574814555
1775660370198,ideal,-6.26268477744486
1775660370198,good,-6.26498107930701
1775660370198,realistic,-6.26865516228645
1775660370198,bad,-6.27784036973505
1775660370198,ideal,-6.49996339467906
1775660370198,good,-6.50237831212671
1775660370198,realistic,-6.50624218004295
1775660370198,bad,-6.51590184983355
1775660370198,ideal,-7.40004690438486
1775660370198,good,-7.40291177359701
1775660370198,realistic,-7.40749556433645
1775660370198,bad,-7.41895504118505
1775660473354,ideal,-7.9435586366883998230088496
1775660473354,good,-8.10100486099568256637168125
1775660473354,realistic,-8.3529188198873349557522124
1775660473354,bad,-8.9827037171164659292035399
1775660474017,ideal,-8.313688582479904247787610688
1775660474017,good,-8.56592631285886840707964575
1775660474017,realistic,-8.969506681465211061946902672
1775660474017,bad,-9.978457602981067699115044372
1775660474165,ideal,-10.73964898804813433628318608
1775660474165,good,-11.61318322017953212389380438
1775660474165,realistic,-13.01083799158976858407079652
1775660474165,bad,-16.50497492011535973451327477
1775660477856,ideal,-12.38914113777114318584070832
1775660477856,good,-13.68511577739590380530973313
1775660477856,realistic,-15.75867520079552079646017708
1775660477856,bad,-20.94257375929456327433628383
1775660478693,ideal,-15.94158398705264761061946963
1775660478693,good,-18.14735101647408964601769676
1775660478693,realistic,-21.67657826354839690265486741
1775660478693,bad,-30.49964638123416504424778871
1775660508768,ideal,-18.41656506234034672566371753
1775660508768,good,-21.04539202666245247787610338
1775660508768,realistic,-25.25151516957782168141592939
1775660508768,bad,-35.76682302686624469026548804
1775660606178,ideal,-18.64166305143604672566371753
1775660606178,good,-21.27060254224740247787610338
1775660606178,realistic,-25.47690572754557168141592939
1775660606178,bad,-35.99266369079099469026548804
1775660606178,ideal,-18.86674443671164672566371753
1775660606178,good,-21.49579644571200247787610338
1775660606178,realistic,-25.70227966011257168141592939
1775660606178,bad,-36.21848769611399469026548804
1775660994350,ideal,-18.27596178174040548139553065
1775660994350,good,-21.22783969512039968529544485
1775660994350,realistic,-25.9508443565283904115353164
1775660994350,bad,-37.75835601004836722713498865
1775660994350,ideal,-16.90504064886943759194206679
1775660994350,good,-20.57558164178158988028036648
1775660994350,realistic,-26.4484472304410335416216552
1775660994350,bad,-41.1306112020896426949748698
1775660994350,ideal,-16.69693453977401625100762634
1775660994350,good,-20.46711651698876031032126373
1775660994350,realistic,-26.49940768053235080522309282
1775660994350,bad,-41.58013558939132704247765827
1775660994350,ideal,-3.00611843864254672566371768
1775660994350,good,-14.98221083872015247787610227
1775660994350,realistic,-34.14395867884432168141593114
1775660994350,bad,-82.04832827915474469026548967
1775660994350,ideal,-3.10321445155534672566371768
1775660994350,good,-15.07925829391495247787610227
1775660994350,realistic,-34.24092844169032168141593114
1775660994350,bad,-82.14510381112874469026548967
1775661079498,ideal,-3.684600866593329026548673456
1775661079498,good,-15.74707173017620911504424377
1775661079498,realistic,-35.04702511190881725663717008
1775661079498,bad,-83.29690856624033761061947201
1775661079498,ideal,-4.929435688507098938053098288
1775661079498,good,-17.18536664404254539823008427
1775661079498,realistic,-36.79485617289925973451327629
1775661079498,bad,-85.81857999504104557522124202
1775661079498,ideal,-5.093383517885860000000000944
1775661079498,good,-17.35336190085050999999999577
1775661079498,realistic,-36.96932731359395000000000195
1775661079498,bad,-86.00924084545255000000000308
1775661079498,ideal,-5.230046019917860000000000944
1775661079498,good,-17.48995605796250999999999577
1775661079498,realistic,-37.10581211883395000000000195
1775661079498,bad,-86.14545227101255000000000308
1775661079498,ideal,-5.263294728845860000000000944
1775661079498,good,-17.52318813921050999999999577
1775661079498,realistic,-37.13901759579395000000000195
1775661079498,bad,-86.17859123725255000000000308
1775661079498,ideal,-5.314066622435860000000000944
1775661079498,good,-17.57393464177550999999999577
1775661079498,realistic,-37.18972347271895000000000195
1775661079498,bad,-86.22919555007755000000000308
1775661079498,ideal,-5.352849224363860000000000944
1775661079498,good,-17.61269784852350999999999577
1775661079498,realistic,-37.22845564717895000000000195
1775661079498,bad,-86.26785014381755000000000308
1775661079498,ideal,-5.465030818556860000000000944
1775661079498,good,-17.72482334069900999999999577
1775661079498,realistic,-37.34049137612645000000000195
1775661079498,bad,-86.37966146469505000000000308
1775661079498,ideal,-5.503805861996860000000000944
1775661079498,good,-17.76357899273900999999999577
1775661079498,realistic,-37.37921600192645000000000195
1775661079498,bad,-86.41830852489505000000000308
1775661079498,ideal,-5.581847970452860000000000944
1775661079498,good,-17.84158207233500999999999577
1775661079498,realistic,-37.45715663534645000000000195
1775661079498,bad,-86.49609304287505000000000308
1775661079498,ideal,-5.667278680892860000000000944
1775661079498,good,-17.92697005887500999999999577
1775661079498,realistic,-37.54247626364645000000000195
1775661079498,bad,-86.58124177557505000000000308
1775661284838,ideal,-6.011941639511860000000000944
1775661284838,good,-18.27146065154150999999999577
1775661284838,realistic,-37.88669107078895000000000195
1775661284838,bad,-86.92476711890755000000000308
1775661284838,ideal,-6.233299204142860000000000944
1775661284838,good,-18.49270751525000999999999577
1775661284838,realistic,-38.10776081302145000000000195
1775661284838,bad,-87.14539405745005000000000308
1775661284838,ideal,-6.356604598130860000000000944
1775661284838,good,-18.61595124420800999999999577
1775661284838,realistic,-38.23090587793145000000000195
1775661284838,bad,-87.26829246224005000000000308
1775661284838,ideal,-6.701267556749860000000000944
1775661284838,good,-18.96044183687450999999999577
1775661284838,realistic,-38.57512068507395000000000195
1775661284838,bad,-87.61181780557255000000000308
1775661284838,ideal,-6.912523832042860000000000944
1775661284838,good,-19.17159246290000999999999577
1775661284838,realistic,-38.78610227227145000000000195
1775661284838,bad,-87.82237679570005000000000308
1775661284906,ideal,-6.923495922185860000000000944
1775661284906,good,-19.18255906590050999999999577
1775661284906,realistic,-38.79706009584395000000000195
1775661284906,bad,-87.83331267070255000000000308
1775661284906,ideal,-6.930636488786860000000000944
1775661284906,good,-19.18969606150400999999999577
1775661284906,realistic,-38.80419137785145000000000195
1775661284906,bad,-87.84042966872005000000000308
1775661284906,ideal,-6.937254574904860000000000944
1775661284906,good,-19.19631083791700999999999577
1775661284906,realistic,-38.81080085873645000000000195
1775661284906,bad,-87.84702591078505000000000308
1775661290160,ideal,-7.045930515368860000000000944
1775661290160,good,-19.30493242954100999999999577
