ts,profile,equity
1775658330077,ideal,-0.3736909942542
1775658330077,good,-0.3738778023897
1775658330077,realistic,-0.3741766954065
1775658330077,bad,-0.3749239279485
1775658330077,ideal,-1.2176912780577
1775658330077,good,-1.21830000195195
1775658330077,realistic,-1.21927396018275
1775658330077,bad,-1.22170885575975
1775658345656,ideal,-1.6673235005205
1775658345656,good,-1.66815699557175
1775658345656,realistic,-1.66949058765375
1775658345656,bad,-1.67282456785875
1775658358765,ideal,-1.9373082046641
1775658358765,good,-1.93827666507435
1775658358765,realistic,-1.93982620173075
1775658358765,bad,-1.94370004337175
1775658572901,ideal,-2.3371122144771
1775658572901,good,-2.33828053691985
1775658572901,realistic,-2.34014985282825
1775658572901,bad,-2.34482314259925
1775658900269,ideal,-3.3358387642101
1775658900269,good,-3.33650762348535
1775658900269,realistic,-3.33757779832575
1775658900269,bad,-3.34025323542675
1775658915969,ideal,-3.7819133582895
1775658915969,good,-3.78280521026325
1775658915969,realistic,-3.78423217342125
1775658915969,bad,-3.78779958131625
1775658999613,ideal,-4.2775233444639
1775658999613,good,-4.27816734187365
1775658999613,realistic,-4.27919773772925
1775658999613,bad,-4.28177372736825
1775659023847,ideal,-4.3619351629518
1775659023847,good,-4.3626213578313
1775659023847,realistic,-4.3637192696385
1775659023847,bad,-4.3664640491565
1775659023847,ideal,-4.7263782119868
1775659023847,good,-4.7272465919538
1775659023847,realistic,-4.728635999901
1775659023847,bad,-4.732109519769
1775659112132,ideal,-4.7266982754867
1775659112132,good,-4.72756681545345
1775659112132,realistic,-4.72895647940025
1775659112132,bad,-4.73243063926725
1775659112132,ideal,-5.2215164463321
1775659112132,good,-5.22263234591235
1775659112132,realistic,-5.22441778524075
1775659112132,bad,-5.22888138356175
1775659583017,ideal,-5.3450545390101
1775659583017,good,-5.34623219528535
1775659583017,realistic,-5.34811644532575
1775659583017,bad,-5.35282707042675
1775659583017,ideal,-5.3538784544403
1775659583017,good,-5.35506052179105
1775659583017,realistic,-5.35695182955225
1775659583017,bad,-5.36168009895525
1775659583017,ideal,-5.3586298565307
1775659583017,good,-5.35981429910745
1775659583017,realistic,-5.36170940723025
1775659583017,bad,-5.36644717753725
1775660092551,ideal,-5.6005065835083
1775660092551,good,-5.60157006352905
1775660092551,realistic,-5.60327163156225
1775660092551,bad,-5.60752555164525
1775660092551,ideal,-5.6055810284163
1775660092551,good,-5.60664197070705
1775660092551,realistic,-5.60833947837225
1775660092551,bad,-5.61258324753525
1775660104384,ideal,-5.6937992850396
1775660104384,good,-5.6949043276386
1775660104384,realistic,-5.696672395797
1775660104384,bad,-5.701092566193
1775660104384,ideal,-5.8069568800332
1775660104384,good,-5.8081184901162
1775660104384,realistic,-5.809977066249
1775660104384,bad,-5.814623506581
1775660150549,ideal,-6.0471607311972
1775660150549,good,-6.0484424191902
1775660150549,realistic,-6.050493119979
1775660150549,bad,-6.055619871951
1775660201608,ideal,-6.2877266122527
1775660201608,good,-6.28912855913445
1775660201608,realistic,-6.29137167414525
1775660201608,bad,-6.29697946167225
1775661088965,ideal,-6.7377222751167
1775661088965,good,-6.73889917915845
1775661088965,realistic,-6.74078222562525
1775661088965,bad,-6.74548984179225
1775661088965,ideal,-6.7598799826887
1775661088965,good,-6.76104580566045
1775661088965,realistic,-6.76291112241525
1775661088965,bad,-6.76757441430225
1775661088965,ideal,-6.7828879661715
1775661088965,good,-6.78404228285025
1775661088965,realistic,-6.78588918953625
1775661088965,bad,-6.79050645625125
1775661240621,ideal,-7.0464714723315
1775661240621,good,-7.04775755441025
1775661240621,realistic,-7.04981528573625
1775661240621,bad,-7.05495961405125
1775661417847,ideal,-7.4514428304075
1775661417847,good,-7.45293135767625
1775661417847,realistic,-7.45531300130625
1775661417847,bad,-7.46126711038125
1775661496391,ideal,-7.8105258746559
1775661496391,good,-7.81219390754565
1775661496391,realistic,-7.81486276016925
1775661496391,bad,-7.82153489172825
1775661990254,ideal,-7.8777445882239
1775661990254,good,-7.87937900503365
1775661990254,realistic,-7.88199407192925
1775661990254,bad,-7.88853173916825
1775661990254,ideal,-8.3052659643444
1775661990254,good,-8.3066865777054
1775661990254,realistic,-8.308959559083
1775661990254,bad,-8.314642012527
1775662185788,ideal,-8.6323413111894
1775662185788,good,-8.6335983541629
1775662185788,realistic,-8.6356096229205
1775662185788,bad,-8.6406377948145
1775662185788,ideal,-8.6994736420374
1775662185788,good,-8.7006971121309
1775662185788,realistic,-8.7026546642805
1775662185788,bad,-8.7075485446545
1775662185788,ideal,-8.7217085541654
1775662185788,good,-8.7229209045789
1775662185788,realistic,-8.7248606652405
1775662185788,bad,-8.7297100668945
1775662185788,ideal,-8.8025247581913
1775662185788,good,-8.80369669241955
1775662185788,realistic,-8.80557178718475
1775662185788,bad,-8.81025952409775
1775662829806,ideal,-9.0724438707192
1775662829806,good,-9.0737507375172
1775662829806,realistic,-9.075841724394
1775662829806,bad,-9.081069191586
1775663239626,ideal,-9.424909110320581184454040719
1775663239626,good,-9.875308237690767437795599443
1775663239626,realistic,-10.59594684148306544314209338
1775663239626,bad,-12.39754335096381045650832817
1775663765112,ideal,-9.559885970294581184454040719
1775663765112,good,-10.01035257259976743779559944
1775663765112,realistic,-10.73109913628806544314209338
1775663765112,bad,-12.53296554550881045650832817
1775663880140,ideal,-9.694909477596181184454040719
1775663880140,good,-10.14544357815536743779559944
1775663880140,realistic,-10.86629813905006544314209338
1775663880140,bad,-12.66843454128681045650832817
1775664465375,ideal,-7.158221822620735885308741581
1775664465375,good,-8.10087035701267641215457378
1775664465375,realistic,-9.609108012039781255107905348
1775664465375,bad,-13.37970214960754336249123415
1775664465375,ideal,-7.005382051116008534881391154
1775664465375,good,-7.977198651735446924975086599
1775664465375,realistic,-9.532105212726548349124999365
1775664465375,bad,-13.41937161520430190949978116
1775664465375,ideal,-5.986826778563726483599339875
1775664465375,good,-7.156241909020408463436625053
1775664465375,realistic,-9.027306117751099631176281417
1775664465375,bad,-13.70496663957782755052542219
1775665052065,ideal,-6.481576653794726483599339875
1775665052065,good,-7.650744359828908463436625053
1775665052065,realistic,-9.521412689483599631176281417
1775665052065,bad,-14.19808351362032755052542219
1775665113444,ideal,-6.972980612934326483599339875
1775665113444,good,-8.142393971817508463436625053
1775665113444,realistic,-10.01345534603059963117628142
1775665113444,bad,-14.69110878156332755052542219
1775665113444,ideal,-6.981785804620526483599339875
1775665113444,good,-8.151203565219208463436625053
1775665113444,realistic,-10.02227198217709963117628142
1775665113444,bad,-14.69994302457182755052542219
1775665567907,ideal,-7.049201038876526483599339875
1775665567907,good,-8.218585085115208463436625053
1775665567907,realistic,-10.08959955909709963117628142
1775665567907,bad,-14.76713574405182755052542219
1775665567907,ideal,-7.238704764049826483599339875
1775665567907,good,-8.407994039471758463436625053
1775665567907,realistic,-10.27885688014684963117628142
1775665567907,bad,-14.95601398183457755052542219
1775665567907,ideal,-7.249303631352326483599339875
1775665567907,good,-8.418587606280508463436625053
1775665567907,realistic,-10.28944196616559963117628142
1775665567907,bad,-14.96657786587832755052542219
1775665567907,ideal,-7.476581930599526483599339875
1775665567907,good,-8.645752243645708463436625053
1775665567907,realistic,-10.51642474451959963117628142
1775665567907,bad,-15.19310599670432755052542219
1775665577449,ideal,-7.561016163569426483599339875
1775665577449,good,-8.730228685290358463436625053
1775665577449,realistic,-10.60096872004384963117628142
1775665577449,bad,-15.27781880692757755052542219
1775665577449,ideal,-7.977428269337426483599339875
1775665577449,good,-9.146848955478358463436625053
1775665577449,realistic,-11.01792205330384963117628142
1775665577449,bad,-15.69560479786757755052542219
1775665922258,ideal,-7.667459302627426483599339875
1775665922258,good,-9.213998696993358463436625053
1775665922258,realistic,-11.68846172797884963117628142
1775665922258,bad,-17.87461930544257755052542219
1775665922258,ideal,-8.061002028820426483599339875
1775665922258,good,-10.33068815116885846343662505
1775665922258,realistic,-13.96218594692634963117628142
1775665922258,bad,-23.04093043632007755052542219
1775666091279,ideal,-8.196011367288826483599339875
1775666091279,good,-10.46576498080825846343662505
1775666091279,realistic,-14.09737076243934963117628142
1775666091279,bad,-23.17638521651707755052542219
1775666330875,ideal,-8.443683083536726483599339875
1775666330875,good,-10.71331283642590846343662505
1775666330875,realistic,-14.34472044104859963117628142
1775666330875,bad,-23.42323945260532755052542219
1775666388065,ideal,-8.668836240163726483599339875
1775666388065,good,-10.93857854712040846343662505
1775666388065,realistic,-14.57016623825109963117628142
1775666388065,bad,-23.64913546607782755052542219
1775666397126,ideal,-8.803992055921726483599339875
1775666397126,good,-11.07380192727340846343662505
1775666397126,realistic,-14.70549772143609963117628142
1775666397126,bad,-23.78473720684282755052542219
1775669029119,ideal,-9.298647153112126483599339875
1775669029119,good,-11.56820964743980846343662505
1775669029119,realistic,-15.19950963836409963117628142
1775669029119,bad,-24.27775961567482755052542219
1775669039034,ideal,-8.720520745402367075826360239
1775669039034,good,-11.89057646228168384900109147
1775669039034,realistic,-16.96266560928859068608066148
1775669039034,bad,-29.64288847680585777877958624
1775671198095,ideal,-9.215164126936367075826360239
1775671198095,good,-12.38497247265068384900109147
1775671198095,realistic,-17.45666582579359068608066148
1775671198095,bad,-30.13589920865085777877958624
1775671216884,ideal,-10.57045708632736707582636024
1775671216884,good,-13.74094294301918384900109147
1775671216884,realistic,-18.81372031372609068608066148
1775671216884,bad,-31.49566374049335777877958624
1775671216884,ideal,-10.57518983668816707582636024
1775671216884,good,-13.74567805928198384900109147
1775671216884,realistic,-18.81845921543209068608066148
1775671216884,bad,-31.50041210580735777877958624
1775671216884,ideal,-10.58431716228826707582636024
1775671216884,good,-13.75480994763233384900109147
1775671216884,realistic,-18.82759840418284068608066148
1775671216884,bad,-31.50956954555910777877958624
1775671216884,ideal,-10.59344473093696707582636024
1775671216884,good,-13.76394207915278384900109147
1775671216884,realistic,-18.83673783629809068608066148
1775671216884,bad,-31.51872722916135777877958624
1775671834937,ideal,-11.08802343340936707582636024
1775671834937,good,-14.25827344280618384900109147
1775671834937,realistic,-19.33067345784109068608066148
1775671834937,bad,-32.01167349542835777877958624
1775671866669,ideal,-6.597613554955288261123683341
1775671866669,good,-10.38443250895225210311953004
1775671866669,realistic,-16.443342835347394250312885
1775671866669,bad,-31.59061865133524961829627198
