ts,profile,equity
1775658244823,ideal,-5.9632029146025
1775658244823,good,-5.96618391985875
1775658244823,realistic,-5.97095352826875
1775658244823,bad,-5.98287754929375
1775658248990,ideal,-12.3660104200425
1775658248990,good,-12.37219218889875
1775658248990,realistic,-12.38208301906875
1775658248990,bad,-12.40681009449375
1775658250985,ideal,-13.0478558613624
1775658250985,good,-13.0543784847684
1775658250985,realistic,-13.064814682218
1775658250985,bad,-13.090905175842
1775658250985,ideal,-13.1631561503091
1775658250985,good,-13.16973641233185
1775658250985,realistic,-13.18026483156825
1775658250985,bad,-13.20658587965925
1775658250985,ideal,-13.4669836526589
1775658250985,good,-13.47371579805615
1775658250985,realistic,-13.48448723069175
1775658250985,bad,-13.51141581228075
1775658250985,ideal,-14.0222878297866
1775658250985,good,-14.0292975717531
1775658250985,realistic,-14.0405131588995
1775658250985,bad,-14.0685521267655
1775658250985,ideal,-14.1709898737485
1775658250985,good,-14.17807395186975
1775658250985,realistic,-14.18940847686375
1775658250985,bad,-14.21774478934875
1775658251120,ideal,-15.0551728694874
1775658251120,good,-15.0626989507059
1775658251120,realistic,-15.0747406806555
1775658251120,bad,-15.1048450055295
1775658251120,ideal,-16.1985406373154
1775658251120,good,-16.2066382881039
1775658251120,realistic,-16.2195945293655
1775658251120,bad,-16.2519851325195
1775658251120,ideal,-16.7959181789334
1775658251120,good,-16.8043144587669
1775658251120,realistic,-16.8177485065005
1775658251120,bad,-16.8513336258345
1775658251120,ideal,-18.2787633991755
1775658251120,good,-18.28790095336425
1775658251120,realistic,-18.30252104006625
1775658251120,bad,-18.33907125682125
1775658251250,ideal,-19.6270380871929
1775658251250,good,-19.63684964392515
1775658251250,realistic,-19.65254813469675
1775658251250,bad,-19.69179436162575
1775658251688,ideal,-19.7105424747309
1775658251688,good,-19.72039577530815
1775658251688,realistic,-19.73616105623175
1775658251688,bad,-19.77557425854075
1775658251688,ideal,-19.8290544708906
1775658251688,good,-19.8389670156171
1775658251688,realistic,-19.8548270871795
1775658251688,bad,-19.8944772660855
1775658259354,ideal,-27.4408098825636
1775658259354,good,-27.4545275439726
1775658259354,realistic,-27.476475802227
1775658259354,bad,-27.531346447863
1775658293097,ideal,-28.0280498310684
1775658293097,good,-28.0420610537394
1775658293097,realistic,-28.064479010013
1775658293097,bad,-28.120523900697
1775658293531,ideal,-31.2405221970684
1775658293531,good,-31.2561393347394
1775658293531,realistic,-31.281126755013
1775658293531,bad,-31.343595305697
1775658349032,ideal,-31.2459910516206
1775658349032,good,-31.2616109231721
1775658349032,realistic,-31.2866027176545
1775658349032,bad,-31.3490822038605
1775658349505,ideal,-31.2466344462738
1775658349505,good,-31.2622546394583
1775658349505,realistic,-31.2872469485535
1775658349505,bad,-31.3497277212915
1775658350238,ideal,-31.3386398816814
1775658350238,good,-31.3543060683849
1775658350238,realistic,-31.3793719671105
1775658350238,bad,-31.4420367139245
1775658350591,ideal,-31.34539552554
1775658350591,good,-31.36106508939
1775658350591,realistic,-31.38613639155
1775658350591,bad,-31.44881464695
1775658351761,ideal,-36.1364338105938
1775658351761,good,-36.1544984145783
1775658351761,realistic,-36.1834017809535
1775658351761,bad,-36.2556601968915
1775658355106,ideal,-39.7761974797662
1775658355106,good,-39.7960816016817
1775658355106,realistic,-39.8278961967465
1775658355106,bad,-39.9074326844085
1775658355775,ideal,-39.7784484158634
1775658355775,good,-39.7983336630219
1775658355775,realistic,-39.8301500584755
1775658355775,bad,-39.9096910471095
1775658356134,ideal,-39.785201224155
1775658356134,good,-39.8050898470425
1775658356134,realistic,-39.8369116436625
1775658356134,bad,-39.9164661352125
1775658482844,ideal,-44.87774115348
1775658482844,good,-44.90017553718
1775658482844,realistic,-44.9360705511
1775658482844,bad,-45.0258080859
1775658485056,ideal,-45.0874848758364
1775658485056,good,-45.1100241104274
1775658485056,realistic,-45.146086885773
1775658485056,bad,-45.236243824137
1775658487141,ideal,-45.0878065686621
1775658487141,good,-45.11034596406735
1775658487141,realistic,-45.14640899671575
1775658487141,bad,-45.23656657833675
1775658487345,ideal,-50.6768977223739
1775658487345,good,-50.70223110455865
