ts,profile,equity
1775658757798,ideal,-28.808145477
1775658757798,good,-28.8225466695
1775658757798,realistic,-28.8455885775
1775658757798,bad,-28.9031933475
1775658787958,ideal,-41.8555576216368
1775658787958,good,-41.8764812157288
1775658787958,realistic,-41.909958966276
1775658787958,bad,-41.993653342644
1775658788905,ideal,-41.9093033366304
1775658788905,good,-41.9302537982064
1775658788905,realistic,-41.963774536728
1775658788905,bad,-42.047576383032
1775658789199,ideal,-43.3831516043418
1775658789199,good,-43.4048388426963
1775658789199,realistic,-43.4395384240635
1775658789199,bad,-43.5262873774815
1775658789274,ideal,-56.8448536353876
1775658789274,good,-56.8732703788566
1775658789274,realistic,-56.918737168407
1775658789274,bad,-57.032404142283
1775658789274,ideal,-61.7593874076
1775658789274,good,-61.7902609266
1775658789274,realistic,-61.839658557
1775658789274,bad,-61.963152633
1775658905262,ideal,-117.701360663909703626943005
1775658905262,good,-149.6385198996425119170984476
1775658905262,realistic,-200.7379746768150051813471494
1775658905262,bad,-328.4866116197462383419689106
1775658905402,ideal,-118.9669936208084891191709843
1775658905402,good,-151.6260016649540642487046653
1775658905402,realistic,-203.8804145355869844559585483
1775658905402,bad,-334.5164467121692849740932629
1775658905466,ideal,-121.5530704106922279792746112
1775658905466,good,-155.6870372405316062176165825
1775658905466,realistic,-210.3013841682746113989637296
1775658905466,bad,-346.8372514876321243523316048
1775658969994,ideal,-161.7771160146729279792746112
1775658969994,good,-195.9311908457140562176165825
1775658969994,realistic,-250.5777105753798613989637296
1775658969994,bad,-387.1940098995443743523316048
1775658971856,ideal,-161.9312849417928279792746112
1775658971856,good,-196.0854368418837062176165825
1775658971856,realistic,-250.7320798820291113989637296
1775658971856,bad,-387.3486874823926243523316048
1775658971856,ideal,-291.0431331449922279792746112
1775658971856,good,-325.2618280605816062176165825
1775658971856,realistic,-380.0117399255246113989637296
1775658971856,bad,-516.8865195878821243523316048
1775659021598,ideal,-291.9939066845277907103657598
1775659021598,good,-333.1160516182273147009228337
1775659021598,realistic,-398.9114835121465530858141454
1775659021598,bad,-563.4000632469446490480424306
1775659021670,ideal,-295.8815422809613925560290636
1775659021670,good,-365.231332297963472836251036
1775659021670,realistic,-476.1909963251668012846061878
1775659021670,bad,-753.590156393175122405494067
1775659022014,ideal,-295.8831060532303655210473056
1775659022014,good,-365.2442504288148638041512108
1775659022014,realistic,-476.2220814297500610571174549
1775659022014,bad,-753.6666589320880541895330651
1775659022147,ideal,-295.9349060096400949872765725
1775659022147,good,-365.6721635132671896158444996
1775659022147,realistic,-477.2517755190705410215531786
1775659022147,bad,-756.2008055335789195358248761
1775659022300,ideal,-295.9581671221410678419229226
1775659022300,good,-365.8643207096816302633595991
1775659022300,realistic,-477.7141664497465301376582772
1775659022300,bad,-757.3387807999087798234049724
1775659022330,ideal,-295.9609037236117705307048461
1775659022330,good,-365.8869274386715644571849049
1775659022330,realistic,-477.7685653827672347395529947
1775659022330,bad,-757.472660243006410445473219
1775659022330,ideal,-295.9636403250824732194867696
1775659022330,good,-365.9095341676614986510102107
1775659022330,realistic,-477.8229643157879393414477122
1775659022330,bad,-757.6065396861040410675414656
1775659022330,ideal,-295.9663769265531759082686931
1775659022330,good,-365.9321408966514328448355165
1775659022330,realistic,-477.8773632488086439433424297
1775659022330,bad,-757.7404191292016716896097122
1775659022330,ideal,-295.9691135280238785970506166
1775659022330,good,-365.9547476256413670386608223
1775659022330,realistic,-477.9317621818293485452371472
1775659022330,bad,-757.8742985722993023116779588
1775659022463,ideal,-296.1424967783462560934482007
1775659022463,good,-367.3870453837893406045926983
1775659022463,realistic,-481.3783231524982758224238904
1775659022463,bad,-766.3565175742706138670018697
1775659022463,ideal,-297.1601215823804130790691957
1775659022463,good,-375.7935190353320129656314202
1775659022463,realistic,-501.606954960054572784130976
1775659022463,bad,-816.140544771860972330379863
1775659022463,ideal,-302.7162044540413577888830956
1775659022463,good,-421.6916379503241219149523254
1775659022463,realistic,-612.0523315443765445166630932
1775659022463,bad,-1087.954065529507601020940001
1775659022463,ideal,-304.8941482816534548180396701
1775659022463,good,-439.6833646935988924579207157
1775659022463,realistic,-655.3461109527115926817303902
1775659022463,bad,-1194.502976600493343241254561
1775659022463,ideal,-305.0564873903262107489959199
1775659022463,good,-441.0244281526089173130576075
1775659022463,realistic,-658.5731333722612478155563093
1775659022463,bad,-1202.444896421392074071803048
1775659022463,ideal,-308.6140693022397061654965172
1775659022463,good,-470.4131758395233692859551756
1775659022463,realistic,-729.2917462991772302786890328
1775659022463,bad,-1376.488172448311882760523654
1775659022463,ideal,-308.8881203923772182849434313
1775659022463,good,-472.6770782712296364104608014
1775659022463,realistic,-734.7394108773935054112885975
1775659022463,bad,-1389.895242392803177913358066
1775659022463,ideal,-309.2093778578843517858785264
1775659022463,good,-475.3309467780122683784529527
1775659022463,realistic,-741.1254570502169349265720388
1775659022463,bad,-1405.611732730728601296869732
1775659022463,ideal,-314.3312207176048662721893452
1775659022463,good,-517.6418622322087479289940806
1775659022463,realistic,-842.9388886555749585798816645
1775659022463,bad,-1656.181454713990485207100594
1775659022463,ideal,-315.2854150089788073642578983
1775659022463,good,-525.524344201091874154581964
1775659022463,realistic,-861.9066309084727810191004771
1775659022463,bad,-1702.862347676925048180396728
1775659022463,ideal,-329.9878064103290028451420976
1775659022463,good,-646.9789956995133304810374906
1775659022463,realistic,-1154.164898562208254698470136
1775659022463,bad,-2422.129655718945565242051696
1775659022463,ideal,-330.2460243062431636937793113
1775659022463,good,-649.1121020563492640555538471
1775659022463,realistic,-1159.297826456519024634393121
1775659022463,bad,-2434.762137456943426081491252
1775659022463,ideal,-336.001585877964972253732709
1775659022463,good,-696.6580900380719333476407945
1775659022463,realistic,-1273.708496694243071097893752
1775659022463,bad,-2716.334513334670915473526082
1775660246869,ideal,-349.672383177702372253732709
1775660246869,good,-710.3357213696528333476407945
1775660246869,realistic,-1287.397062476773571097893752
1775660246869,bad,-2730.050415244575415473526082
1775660246869,ideal,-349.684486583899572253732709
1775660246869,good,-710.3478308263430333476407945
1775660246869,realistic,-1287.409181614252571097893752
1775660246869,bad,-2730.062558584026415473526082
1775660246869,ideal,-349.693404883202772253732709
1775660246869,good,-710.3567535839042333476407945
1775660246869,realistic,-1287.418111505026571097893752
1775660246869,bad,-2730.071506307832415473526082
1775660246869,ideal,-349.701367650437772253732709
1775660246869,good,-710.3647203317267333476407945
1775660246869,realistic,-1287.426084621789071097893752
1775660246869,bad,-2730.079495346944915473526082
1775660246869,ideal,-349.707419353536372253732709
1775660246869,good,-710.3707750600718333476407945
1775660246869,realistic,-1287.432144190528571097893752
1775660246869,bad,-2730.085567016670415473526082
1775660246869,ideal,-349.726211484210972253732709
1775660246869,good,-710.3895765849329333476407945
1775660246869,realistic,-1287.450960746088071097893752
1775660246869,bad,-2730.104421148975915473526082
1775660246869,ideal,-349.733537230067172253732709
1775660246869,good,-710.3969059929296333476407945
1775660246869,realistic,-1287.458296013509571097893752
1775660246869,bad,-2730.111771064959415473526082
1775660246869,ideal,-349.765069788317772253732709
1775660246869,good,-710.4284543143067333476407945
1775660246869,realistic,-1287.489869555889071097893752
1775660246869,bad,-2730.143407659844915473526082
1775660246869,ideal,-349.777491705204372253732709
1775660246869,good,-710.4408824409098333476407945
1775660246869,realistic,-1287.502307618038571097893752
1775660246869,bad,-2730.155870560860415473526082
1775660246933,ideal,-349.788639579333372253732709
1775660246933,good,-710.4520358878613333476407945
1775660246933,realistic,-1287.513469981506071097893752
1775660246933,bad,-2730.167055215617915473526082
1775660246933,ideal,-349.797557878636572253732709
1775660246933,good,-710.4609586454225333476407945
1775660246933,realistic,-1287.522399872280071097893752
1775660246933,bad,-2730.176002939423915473526082
1775660246933,ideal,-349.815075966553572253732709
1775660246933,good,-710.4784854906320333476407945
1775660246933,realistic,-1287.539940729157571097893752
1775660246933,bad,-2730.193578825471415473526082
1775660246933,ideal,-349.822083201720372253732709
1775660246933,good,-710.4854962287158333476407945
1775660246933,realistic,-1287.546957071908571097893752
1775660246933,bad,-2730.200609179890415473526082
1775660246933,ideal,-349.851386185145172253732709
1775660246933,good,-710.5148138607026333476407945
1775660246933,realistic,-1287.576298141594571097893752
1775660246933,bad,-2730.230008843824415473526082
1775660246933,ideal,-349.901710874070372253732709
1775660246933,good,-710.5651637069408333476407945
1775660246933,realistic,-1287.626688239533571097893752
1775660246933,bad,-2730.280499571015415473526082
1775660246933,ideal,-349.913177258888772253732709
1775660246933,good,-710.5766358238052333476407945
1775660246933,realistic,-1287.638169527671571097893752
1775660246933,bad,-2730.292003787337415473526082
1775660246933,ideal,-349.922095558191972253732709
1775660246933,good,-710.5855585813664333476407945
1775660246933,realistic,-1287.647099418445571097893752
1775660246933,bad,-2730.300951511143415473526082
1775660246933,ideal,-349.931013857495172253732709
1775660246933,good,-710.5944813389276333476407945
1775660246933,realistic,-1287.656029309219571097893752
1775660246933,bad,-2730.309899234949415473526082
1775660246933,ideal,-349.939932156798372253732709
1775660246933,good,-710.6034040964888333476407945
1775660246933,realistic,-1287.664959199993571097893752
1775660246933,bad,-2730.318846958755415473526082
1775660246994,ideal,-349.948850456101572253732709
1775660246994,good,-710.6123268540500333476407945
1775660246994,realistic,-1287.673889090767571097893752
1775660246994,bad,-2730.327794682561415473526082
1775660247070,ideal,-350.118616653551772253732709
1775660247070,good,-710.7821779176257333476407945
1775660247070,realistic,-1287.843875940144071097893752
1775660247070,bad,-2730.498120996439915473526082
1775660247493,ideal,-350.971588279764972253732709
1775660247493,good,-711.6355759443719333476407945
