ts,profile,equity
1775658094616,ideal,-0.3341051680995
1775658094616,good,-0.33393808209825
1775658094616,realistic,-0.33367074449625
1775658094616,bad,-0.33300240049125
1775658146921,ideal,-1.1405988928659
1775658146921,good,-1.64040653878065
1775658146921,realistic,-2.44009877224425
1775658146921,bad,-4.43932935590325
1775658147047,ideal,-1.5797441416019
1775658147047,good,-2.32265570935665
1775658147047,realistic,-3.51131421776425
1775658147047,bad,-6.48296048878325
1775658152397,ideal,-3.3355902406019
1775658152397,good,-4.07937955585665
1775658152397,realistic,-5.26944246026425
1775658152397,bad,-8.24459972128325
1775658152397,ideal,-5.0914363396019
1775658152397,good,-5.83610340235665
1775658152397,realistic,-7.02757070276425
1775658152397,bad,-10.00623895378325
1775658152397,ideal,-6.8472824386019
1775658152397,good,-7.59282724885665
1775658152397,realistic,-8.78569894526425
1775658152397,bad,-11.76787818628325
1775658237045,ideal,-6.872167817707111735165851723
1775658237045,good,-7.629294304774051902999867846
1775658237045,realistic,-8.840696684081156171534293646
1775658237045,bad,-11.86920263234891684287035814
1775658240194,ideal,-7.618729190863463790141403419
1775658240194,good,-8.723305982296108992995903214
1775658240194,realistic,-10.49062884858834131756310301
1775658240194,bad,-14.9089360143189221289811022
1775658404049,ideal,-14.94429879523279774018765642
1775658404049,good,-19.94708004682559557948988971
1775658404049,realistic,-27.95153004937407212237346451
1775658404049,bad,-47.9626550557452634795823977
1775658445706,ideal,-16.13068076418079774018765642
1775658445706,good,-21.13405508814359557948988971
1775658445706,realistic,-29.13945400648407212237346451
1775658445706,bad,-49.1529513023352634795823977
1775658550035,ideal,-16.15053310666178173593121105
1775658550035,good,-21.16548867006993099694697342
1775658550035,realistic,-29.18941757152296981457219474
1775658550035,bad,-49.2492398251555668586352442
1775658586462,ideal,-16.17762478935984973151105624
1775658586462,good,-21.20460378595771008430625265
1775658586462,realistic,-29.24777018051428664877856844
1775658586462,bad,-49.35568616690572805995935403
1775658644552,ideal,-16.18820390275944973151105624
1775658644552,good,-21.21518818785631008430625265
1775658644552,realistic,-29.25836304401128664877856844
1775658644552,bad,-49.36630018439872805995935403
1775658644687,ideal,-16.19878397034984973151105624
1775658644687,good,-21.22577354442271008430625265
1775658644687,realistic,-29.26895686293928664877856844
1775658644687,bad,-49.37691515923072805995935403
1775658644687,ideal,-16.20936403794024973151105624
1775658644687,good,-21.23635890098911008430625265
1775658644687,realistic,-29.27955068186728664877856844
1775658644687,bad,-49.38753013406272805995935403
1775658747067,ideal,-16.30988403773219920572871063
1775658747067,good,-21.34841939870737027111849696
1775658747067,realistic,-29.41007597626764397574215661
1775658747067,bad,-49.56421742016832823730130182
1775658751329,ideal,-54.16111423381134918282393938
1775658751329,good,-63.08145941791993314062379346
1775658751329,realistic,-77.35401171249366747310356011
1775658751329,bad,-113.0353924489280033043029623
1775658775870,ideal,-55.88404903186734918282393938
1775658775870,good,-64.80525551111593314062379346
1775658775870,realistic,-79.07918587791366747310356011
1775658775870,bad,-114.7640117949080033043029623
1775658775870,ideal,-57.60698382992334918282393938
1775658775870,good,-66.52905160431193314062379346
1775658775870,realistic,-80.80436004333366747310356011
1775658775870,bad,-116.4926311408880033043029623
1775658866729,ideal,-58.21077043908484965367281906
1775658866729,good,-67.2489532339489192645774766
1775658866729,realistic,-81.71004570573143064202492887
1775658866729,bad,-117.8627768851877090856435448
1775658915410,ideal,-68.74094044249459786894376775
1775658915410,good,-80.04055102288926623420518904
1775658915410,realistic,-98.11992795152073561862346494
1775658915410,bad,-143.3183702730994090796691348
1775658916426,ideal,-69.66498294817436153056556788
1775658916426,good,-81.16303813076243109741748194
1775658916426,realistic,-99.55992642290334240438054642
1775658916426,bad,-145.5521471532556206717881873
1775658916849,ideal,-76.2383555554681986819688083
1775658916849,good,-89.14808856034845672970024785
1775658916849,realistic,-109.8036613681568696060705541
1775658916849,bad,-161.4425933876779017969962963
1775658920366,ideal,-98.11343851835154771026479755
1775658920366,good,-114.8927975994979941948230191
1775658920366,realistic,-141.7397721293323085701161794
1775658920366,bad,-208.8572084539180945083490478
1775658920366,ideal,-119.8136352154848967385607868
1775658920366,good,-140.4627078335225316599457904
1775658920366,realistic,-173.5012240223827475341618046
1775658920366,bad,-256.0975144945332872197017993
1775658920366,ideal,-133.0673995836335000000000017
1775658920366,good,-155.9290841414672500000000015
1775658920366,realistic,-192.5077794340012500000000113
1775658920366,bad,-283.95451766533624999999999
1775658920366,ideal,-134.8046708098835000000000017
1775658920366,good,-157.6654865583422500000000015
1775658920366,realistic,-194.2427917558762500000000113
1775658920366,bad,-285.68605474971124999999999
1775658920366,ideal,-136.5418633018835000000000017
1775658920366,good,-159.4018102803422500000000015
1775658920366,realistic,-195.9777254458762500000000113
1775658920366,bad,-287.41751335971124999999999
1775658920366,ideal,-138.2790557938835000000000017
1775658920366,good,-161.1381340023422500000000015
1775658920366,realistic,-197.7126591358762500000000113
1775658920366,bad,-289.14897196971124999999999
1775658920366,ideal,-140.0162482858835000000000017
1775658920366,good,-162.8744577243422500000000015
1775658920366,realistic,-199.4475928258762500000000113
1775658920366,bad,-290.88043057971124999999999
1775658927031,ideal,-140.0214074218499000000000017
1775658927031,good,-162.8796142802246500000000015
1775658927031,realistic,-199.4527452536242500000000113
1775658927031,bad,-290.88557268712324999999999
1775658955080,ideal,-137.486942803141270060868669
1775658955080,good,-164.2043486748780467811822975
1775658955080,realistic,-206.9521980696568895336841133
1775658955080,bad,-313.8218215566039964149386052
1775658961286,ideal,-137.3998042545134357680800586
1775658961286,good,-164.2846004907244212472918611
1775658961286,realistic,-207.3002744686619980140307552
1775658961286,bad,-314.8394594135059399308779429
1775658961616,ideal,-136.2473711173247656349943261
1775658961616,good,-165.3459545453567096409780261
1775658961616,realistic,-211.9036880302078200505519561
1775658961616,bad,-328.2980217423355960744867326
1775658961616,ideal,-135.4778194816826401217373362
1775658961616,good,-166.0546869849064435623645935
1775658961616,realistic,-214.9776749900645290673682153
1775658961616,bad,-337.2851450029597428298772205
1775658980693,ideal,-134.5193787547240101826060034
1775658980693,good,-168.9562331256848403435468895
1775658980693,realistic,-224.0552001192221686010523173
1775658980693,bad,-361.8026176030654892448158358
1775658992625,ideal,-136.2562563097240101826060034
1775658992625,good,-170.6922420681848403435468895
1775658992625,realistic,-225.7898192817221686010523173
1775658992625,bad,-363.5337623155654892448158358
1775659004460,ideal,-137.9944723469740101826060034
1775659004460,good,-172.4295888235598403435468895
1775659004460,realistic,-227.5257751860971686010523173
1775659004460,bad,-365.2662410924404892448158358
1775659007476,ideal,-143.2536039606303633869960309
1775659007476,good,-181.5522522202659753276906745
1775659007476,realistic,-242.8300894356829544328021108
1775659007476,bad,-396.0246824742254021955806558
1775659025781,ideal,-143.2715723087418633869960309
1775659025781,good,-181.5702115824062253276906745
1775659025781,realistic,-242.8480344202692044328021108
1775659025781,bad,-396.0425915149266521955806558
1775659026401,ideal,-143.2963904691168633869960309
1775659026401,good,-181.5950173312187253276906745
1775659026401,realistic,-242.8728203105817044328021108
1775659026401,bad,-396.0673277589891521955806558
1775659084331,ideal,-145.0364173941168633869960309
1775659084331,good,-183.3341740687187253276906745
1775659084331,realistic,-244.6105847480817044328021108
1775659084331,bad,-397.8016114464891521955806558
1775659101466,ideal,-145.2114618982128633869960309
1775659101466,good,-183.5091310330547253276906745
1775659101466,realistic,-244.7854016488017044328021108
1775659101466,bad,-397.9760781881691521955806558
1775659101755,ideal,-145.2564165094920633869960309
1775659101755,good,-183.5540631625319253276906745
1775659101755,realistic,-244.8302978073957044328021108
1775659101755,bad,-398.0208844195551521955806558
1775659102028,ideal,-146.7769167246168633869960309
1775659102028,good,-185.0738029754687253276906745
1775659102028,realistic,-246.3488209768317044328021108
1775659102028,bad,-399.5363659802391521955806558
1775659107005,ideal,-146.7820873242900633869960309
1775659107005,good,-185.0789709893249253276906745
1775659107005,realistic,-246.3539848533807044328021108
1775659107005,bad,-399.5415195135201521955806558
1775659107107,ideal,-146.9925903917547633869960309
1775659107107,good,-185.2893687842013753276906745
1775659107107,realistic,-246.5642142121159544328021108
1775659107107,bad,-399.7513277819024021955806558
1775659107107,ideal,-147.1362734019042633869960309
1775659107107,good,-185.4329799384746253276906745
1775659107107,realistic,-246.7077103969872044328021108
1775659107107,bad,-399.8945365432686521955806558
1775659107107,ideal,-147.2675270859162633869960309
1775659107107,good,-185.5641679825166253276906745
1775659107107,realistic,-246.8387934170772044328021108
1775659107107,bad,-400.0253570034786521955806558
1775659107107,ideal,-147.3396171775137633869960309
1775659107107,good,-185.6362220218578753276906745
1775659107107,realistic,-246.9107897728084544328021108
1775659107107,bad,-400.0972091501849021955806558
1775659107107,ideal,-147.4818086685267633869960309
1775659107107,good,-185.7783424029033753276906745
1775659107107,realistic,-247.0527963779059544328021108
1775659107107,bad,-400.2389313154124021955806558
1775659107107,ideal,-147.5550919754334633869960309
1775659107107,good,-185.8515890608268253276906745
1775659107107,realistic,-247.1259843974562044328021108
1775659107107,bad,-400.3119727390296521955806558
1775659107107,ideal,-147.6905219130276633869960309
1775659107107,good,-185.9869512699065253276906745
1775659107107,realistic,-247.2612382409127044328021108
1775659107107,bad,-400.4469556684281521955806558
1775659107107,ideal,-147.7634074814979633869960309
1775659107107,good,-186.0598003883025753276906745
1775659107107,realistic,-247.3340290391899544328021108
1775659107107,bad,-400.5196006664084021955806558
1775659107234,ideal,-147.9533275848789633869960309
1775659107234,good,-186.2496255126360753276906745
1775659107234,realistic,-247.5237021970474544328021108
1775659107234,bad,-400.7088939080759021955806558
1775659109423,ideal,-148.0208436844578633869960309
1775659109423,good,-186.3171078474122253276906745
1775659109423,realistic,-247.5911305081392044328021108
1775659109423,bad,-400.7761871599566521955806558
1775659122672,ideal,-148.8213456174906687924918167
1775659122672,good,-187.4624745707965846412653282
1775659122672,realistic,-249.2882808960860499993029532
1775659122672,bad,-403.8527967093097133943969698
1775659126274,ideal,-149.1362555104131687924918167
1775659126274,good,-187.7772269772753346412653282
1775659126274,realistic,-249.6027813242547999993029532
1775659126274,bad,-404.1666671917034633943969698
1775659126584,ideal,-150.5625535562406687924918167
1775659126584,good,-189.2028117314215846412653282
