ts,profile,equity
1775658610914,ideal,-0.67625032302
1775658610914,good,-0.67658838057
1775658610914,realistic,-0.67712927265
1775658610914,bad,-0.67848150285
1775658831257,ideal,-0.6855857522325
1775658831257,good,-0.68592847656375
1775658831257,realistic,-0.68647683549375
1775658831257,bad,-0.68784773281875
1775658832817,ideal,-0.75093375672
1775658832817,good,-0.75130914852
1775658832817,realistic,-0.7519097754
1775658832817,bad,-0.7534113426
1775658845810,ideal,-1.3409325424755
1775658845810,good,-1.42361559241425
1775658845810,realistic,-1.55590847231625
1775658845810,bad,-1.88664067207125
1775658919451,ideal,-1.9566178549155
1775658919451,good,-2.03960868595425
1775658919451,realistic,-2.17239401561625
1775658919451,bad,-2.50435733977125
1775658932843,ideal,-2.649456123527224866234863415
1775658932843,good,-2.85689610129593473669388904
1775658932843,realistic,-3.188800065725870529428330055
1775658932843,bad,-4.018559976800710011264432555
1775658983102,ideal,-2.686309906810024866234863415
1775658983102,good,-2.89376830778573473669388904
1775658983102,realistic,-3.225701749346870529428330055
1775658983102,bad,-4.055535353249710011264432555
1775666612448,ideal,-3.098628354010024866234863415
1775666612448,good,-3.30629287298573473669388904
1775666612448,realistic,-3.638556103346870529428330055
1775666612448,bad,-4.469214179249710011264432555
1775668424084,ideal,-3.399842984890024866234863415
1775668424084,good,-3.60765808106573473669388904
1775668424084,realistic,-3.940162234946870529428330055
1775668424084,bad,-4.771422619649710011264432555
1775673467655,ideal,-3.406594307884624866234863415
1775673467655,good,-3.61441277904683473669388904
1775673467655,realistic,-3.946922332906370529428330055
1775673467655,bad,-4.778196217555210011264432555
1775673467655,ideal,-3.413345630879224866234863415
1775673467655,good,-3.62116747702793473669388904
1775673467655,realistic,-3.953682430865870529428330055
1775673467655,bad,-4.784969815460710011264432555
1775673467655,ideal,-3.423847688870824866234863415
1775673467655,good,-3.63167478499853473669388904
1775673467655,realistic,-3.964198138802870529428330055
1775673467655,bad,-4.795506523313710011264432555
1775673470035,ideal,-3.429098654854024866234863415
1775673470035,good,-3.63692837593973473669388904
1775673470035,realistic,-3.969455929676870529428330055
1775673470035,bad,-4.800774814019710011264432555
1775673471716,ideal,-3.429848801853424866234863415
1775673471716,good,-3.63767889793763473669388904
1775673471716,realistic,-3.970207051672370529428330055
1775673471716,bad,-4.801527436009210011264432555
1775673471716,ideal,-3.474857621817424866234863415
1775673471716,good,-3.68271021781163473669388904
1775673471716,realistic,-4.015274371402370529428330055
1775673471716,bad,-4.846684755379210011264432555
1775674842411,ideal,-3.508647145570864866234863415
1775674842411,good,-3.71651663294867473669388904
1775674842411,realistic,-4.049107812753170529428330055
1775674842411,bad,-4.880585762264410011264432555
1775674842411,ideal,-4.274239256075404866234863415
1775674842411,good,-4.48249146296456473669388904
