ts,profile,equity
1775658121023,ideal,-0.5293283445
1775658121023,good,-0.52959295575
1775658121023,realistic,-0.53001633375
1775658121023,bad,-0.53107477875
1775658145356,ideal,-3.2491093823
1775658145356,good,-4.42429908805
1775658145356,realistic,-6.30460261725
1775658145356,bad,-11.00536144025
1775658146309,ideal,-4.951031870457
1775658146309,good,-7.8347383340995
1775658146309,realistic,-12.4486686759275
1775658146309,bad,-23.9834945304975
1775658146309,ideal,-7.587807702215
1775658146309,good,-12.5879317702525
1775658146309,realistic,-20.5881302791125
1775658146309,bad,-40.5886265512625
1775658213948,ideal,-7.605642788519
1775658213948,good,-12.6057757723165
1775658213948,realistic,-20.6059885463925
1775658213948,bad,-40.6065204815825
1775658241052,ideal,-7.830602091383
1775658241052,good,-12.8308475323405
1775658241052,realistic,-20.8312402378725
1775658241052,bad,-40.8322220017025
1775658262821,ideal,-8.146366601657
1775658262821,good,-13.1467698932995
1775658262821,realistic,-21.1474151599275
1775658262821,bad,-41.1490283264975
1775658271064,ideal,-8.873009946266
1775658271064,good,-13.873776486931
1775658271064,realistic,-21.875002951995
1775658271064,bad,-41.878069114655
1775658349907,ideal,-9.441314284406
1775658349907,good,-14.442364920421
1775658349907,realistic,-22.444045938045
1775658349907,bad,-42.448248482105
1775658554746,ideal,-11.92842421910845161290322781
1775658554746,good,-21.92712663381506451612903202
1775658554746,realistic,-37.92505049734564516129032022
1775658554746,bad,-77.91986015617209677419354803
1775658601019,ideal,-12.34945460834845161290322781
1775658601019,good,-22.34836749615506451612903202
1775658601019,realistic,-38.34662811664564516129032022
1775658601019,bad,-78.34227966787209677419354803
1775658602230,ideal,-12.50681471407645161290322781
1775658602230,good,-22.50580626620306451612903202
1775658602230,realistic,-38.50419274960564516129032022
1775658602230,bad,-78.50015895811209677419354803
1775658639698,ideal,-12.53381741353645161290322781
1775658639698,good,-22.53282246431306451612903202
1775658639698,realistic,-38.53123054555564516129032022
1775658639698,bad,-78.52725074866209677419354803
1775658639698,ideal,-14.18036838288145161290322781
1775658639698,good,-24.18019654452056451612903202
1775658639698,realistic,-40.17992160314314516129032022
1775658639698,bad,-80.17923424969959677419354803
1775658750831,ideal,-14.18953604104645161290322781
1775658750831,good,-24.18936878559806451612903202
1775658750831,realistic,-40.18910117688064516129032022
1775658750831,bad,-80.18843215508709677419354803
1775658952340,ideal,-14.19927166778245161290322781
1775658952340,good,-24.19910927917406451612903202
1775658952340,realistic,-40.19884945740064516129032022
1775658952340,bad,-80.19819990296709677419354803
1775659038353,ideal,-50.82919502991371214930169553
1775659038353,good,-65.84379648445276119556709401
1775659038353,realistic,-89.86715881171523966959172419
1775659038353,bad,-149.925564629871435854653318
1775659059779,ideal,-51.335551230037246199480907
1775659059779,good,-66.42903168222682690643925655
1775659059779,realistic,-90.57860040573015603757260829
1775659059779,bad,-150.9525222144884788654060062
1775659066881,ideal,-53.2299771446220000000000023
1775659066881,good,-68.55172078117700000000000321
1775659066881,realistic,-93.06651059966499999999999671
1775659066881,bad,-154.3534851458849999999999995
1775659071925,ideal,-53.2427906714040000000000023
1775659071925,good,-68.56452789991400000000000321
1775659071925,realistic,-93.07930746552999999999999671
1775659071925,bad,-154.3662563795699999999999995
1775659077043,ideal,-53.3105442829710000000000023
1775659077043,good,-68.63224762789850000000000321
1775659077043,realistic,-93.14697297978249999999999671
1775659077043,bad,-154.4337863594924999999999995
1775659077043,ideal,-53.7250010600340000000000023
1775659077043,good,-69.04649713511900000000000321
1775659077043,realistic,-93.56089085525499999999999671
1775659077043,bad,-154.8468751555949999999999995
1775659077043,ideal,-54.9860727852360000000000023
1775659077043,good,-70.30693819832600000000000321
1775659077043,realistic,-94.82032285926999999999999671
1775659077043,bad,-156.1037845116299999999999995
1775659087252,ideal,-55.66775475598800000000000207
1775659087252,good,-75.69269069595800000000000365
1775659087252,realistic,-107.7325881999099999999999934
1775659087252,bad,-187.8323319597899999999999988
1775659118188,ideal,-55.79729354638000000000000207
1775659118188,good,-76.12045636233000000000000365
1775659118188,realistic,-108.6375168678499999999999934
1775659118188,bad,-189.9301681316499999999999988
1775659118188,ideal,-57.13127597652400000000000207
1775659118188,good,-77.45377166783400000000000365
1775659118188,realistic,-109.9697647739299999999999934
1775659118188,bad,-191.2597475391699999999999988
1775659131952,ideal,-57.59900925115600000000000207
1775659131952,good,-77.92127102904600000000000365
1775659131952,realistic,-110.4368898736699999999999934
1775659131952,bad,-191.7259369852299999999999988
1775659203118,ideal,-54.58452132224514969714450833
1775659203118,good,-78.15450913853728554946640118
1775659203118,realistic,-115.8664896446047029131814179
1775659203118,bad,-210.1464409097732463224689932
1775659203118,ideal,-54.00655559151412200749928209
1775659203118,good,-78.19922772343975007210845484
1775659203118,realistic,-116.9075031345207549754831196
1775659203118,bad,-213.6781916622232672339198154
1775659244641,ideal,-55.74829433408212200749928209
1775659244641,good,-79.94009542242775007210845484
1775659244641,realistic,-118.6469771637807549754831196
1775659244641,bad,-215.4141815171632672339198154
1775659295007,ideal,-55.71914479401197698837493914
1775659295007,good,-79.96250294759068674183144354
1775659295007,realistic,-118.7518759933166223473618389
1775659295007,bad,-215.7253086076314613611878613
1775659315312,ideal,-55.14216544362130747409713252
1775659315312,good,-80.55916848315240303947315996
1775659315312,realistic,-121.2263733464021559440747917
1775659315312,bad,-222.8943855045265382055789054
1775659458431,ideal,-55.31213869717030747409713252
1775659458431,good,-80.72905673307390303947315996
1775659458431,realistic,-121.3961255905196559440747917
1775659458431,bad,-223.0637977341340382055789054
1775659530077,ideal,-55.30316899607640978588587688
1775659530077,good,-80.72550983805176665236623082
1775659530077,realistic,-121.4012551852123376387347849
1775659530077,bad,-223.0906185531137651046562046
1775659592690,ideal,-51.02456043585749558524073543
1775659592690,good,-79.28730555219283390511209165
1775659592690,realistic,-124.5076977383293752169062464
1775659592690,bad,-237.558678203670728496391669
1775659592690,ideal,-50.0281522686450000000000003
1775659592690,good,-79.29851840275750000000000315
1775659592690,realistic,-126.1311042173374999999999915
1775659592690,bad,-243.2125687537874999999999984
1775659636914,ideal,-51.8903431123410000000000003
1775659636914,good,-81.16164015569350000000000315
1775659636914,realistic,-127.9957154250574999999999915
1775659636914,bad,-245.0809035984674999999999984
1775659667281,ideal,-51.92866419864580367628286985
1775659667281,good,-81.21887091434698634158795311
1775659667281,realistic,-128.0832016594688786060760701
1775659667281,bad,-245.2440285222736092672963987
1775659674316,ideal,-51.93960138564580367628286985
1775659674316,good,-81.22981356884698634158795311
1775659674316,realistic,-128.0941530619688786060760701
1775659674316,bad,-245.2550017947736092672963987
1775659674316,ideal,-51.95053776248380367628286985
1775659674316,good,-81.24075541277998634158795311
1775659674316,realistic,-128.1051036532538786060760701
1775659674316,bad,-245.2659742544386092672963987
1775659688927,ideal,-52.45358799665666614291483603
1775659688927,good,-83.04692347738384903940699796
1775659688927,realistic,-131.9962602465473416737944406
1775659688927,bad,-254.3696021694560732597630829
1775659717462,ideal,-52.67610911698166614291483603
1775659717462,good,-83.26955583602134903940699796
1775659717462,realistic,-132.2190705864848416737944406
1775659717462,bad,-254.5928574626435732597630829
1775659717598,ideal,-53.02238855902166614291483603
1775659717598,good,-83.61600838316134903940699796
1775659717598,realistic,-132.5658001017848416737944406
1775659717598,bad,-254.9402793983435732597630829
1775659859665,ideal,-53.36886639778739358741901167
1775659859665,good,-84.44387209715141448003420128
1775659859665,realistic,-134.1638812161338479082184878
1775659859665,bad,-258.46390401358993147867924
1775659895065,ideal,-53.39197995957539358741901167
1775659895065,good,-84.46699721340941448003420128
1775659895065,realistic,-134.1870248195438479082184878
1775659895065,bad,-258.48709383487993147867924
1775659925712,ideal,-53.40047468818139358741901167
1775659925712,good,-84.47549618853041448003420128
1775659925712,realistic,-134.1955305890888479082184878
1775659925712,bad,-258.49561659048493147867924
1775659925712,ideal,-53.52668208461339358741901167
1775659925712,good,-84.60176667604241448003420128
1775659925712,realistic,-134.3219020223288479082184878
1775659925712,bad,-258.62224038804493147867924
1775659925712,ideal,-53.59524667979039358741901167
1775659925712,good,-84.67036554666191448003420128
1775659925712,realistic,-134.3905557336563479082184878
1775659925712,bad,-258.69103120114243147867924
1775659941045,ideal,-54.33654085166853023553605491
1775659941045,good,-85.56815756309707879094274494
1775659941045,realistic,-135.5387443013827564795934316
1775659941045,bad,-260.4652111470969507012201848
1775659949479,ideal,-65.12711192582733837711860017
1775659949479,good,-99.6759707736456883763073291
1775659949479,realistic,-154.9541449301550483750092677
1775659949479,bad,-293.1495803214284483717641617
