ts,profile,equity
1775672922598,ideal,-1.0260557253045
1775672922598,good,-1.02554259481575
1775672922598,realistic,-1.02472158603375
1775672922598,bad,-1.02266906407875
1775682895119,ideal,-8.0450412627947
1775682895119,good,-10.32816084853145
1775682895119,realistic,-13.98115218571025
1775682895119,bad,-23.11363052865725
1775682910668,ideal,-10.9589137541045
1775682910668,good,-13.79541844061575
1775682910668,realistic,-18.33382593903375
1775682910668,bad,-29.67984468507875
1775683073498,ideal,-11.2412264953625
1775683073498,good,-14.07787231001875
1775683073498,realistic,-18.61650561346875
1775683073498,bad,-29.96308887209375
1775683081503,ideal,-11.2575026229371
1775683081503,good,-14.09415657402985
1775683081503,realistic,-18.63280289577825
1775683081503,bad,-29.97941870014925
1775683081503,ideal,-11.2887722206061
1775683081503,good,-14.12544180337135
1775683081503,realistic,-18.66411313579575
1775683081503,bad,-30.01079146685675
1775685784899,ideal,-11.3304681049004
1775685784899,good,-18.2418174696514
1775685784899,realistic,-29.299976453253
1775685784899,bad,-56.945373912257
1775685819689,ideal,-11.895744030479
1775685819689,good,-18.8073759766765
1775685819689,realistic,-29.8659870905925
1775685819689,bad,-57.5125148753825
1775686183862,ideal,-13.554874610702
1775686183862,good,-21.837467719957
1775686183862,realistic,-35.089616694765
1775686183862,bad,-68.219989131785
1775705372827,ideal,-21.1030637110574
1775705372827,good,-30.1868965137009
1775705372827,realistic,-44.7210289979305
1775705372827,bad,-81.0563602085045
1775705372827,ideal,-27.7843666333121
1775705372827,good,-37.49900367534235
1775705372827,realistic,-53.04242294259075
1775705372827,bad,-91.90097111071175
1775717369647,ideal,-28.186032554558
1775717369647,good,-37.900468723453
1775717369647,realistic,-53.443566593685
1775717369647,bad,-92.301311269265
1775717369647,ideal,-29.1693005206262
1775717369647,good,-38.8832449571917
1775717369647,realistic,-54.4255560556965
1775717369647,bad,-93.2813338019585
1775719219779,ideal,-31.03461604793313955167744849
1775719219779,good,-41.6199270197300323604633669
1775719219779,realistic,-58.55642457460506085452083644
1775719219779,bad,-100.8976684617926320896645103
1775719236518,ideal,-31.68373134503313955167744849
1775719236518,good,-42.2693668095800323604633669
1775719236518,realistic,-59.20638355285506085452083644
1775719236518,bad,-101.5489254110426320896645103
1775721817329,ideal,-28.08368040036233576020825416
1775721817329,good,-39.01361317505686364008421998
1775721817329,realistic,-56.50150561456810824788576536
1775721817329,bad,-100.2212367133462197673896288
1775724458736,ideal,-28.11199300125023576020825416
1775724458736,good,-39.04193992941451364008421998
1775724458736,realistic,-56.52985501447735824788576536
1775724458736,bad,-100.2496427271344697673896288
1775724458736,ideal,-28.78702994014193576020825416
1775724458736,good,-39.71731431928546364008421998
1775724458736,realistic,-57.20576932591510824788576536
1775724458736,bad,-100.9269068424892197673896288
1775732741277,ideal,-29.28633236018183576020825416
1775732741277,good,-40.21636703817511364008421998
1775732741277,realistic,-57.70442252296435824788576536
1775732741277,bad,-101.4245612349374697673896288
