ts,profile,equity
1775658093068,ideal,-0.01268110211328
1775658093068,good,-0.01268744139648
1775658093068,realistic,-0.0126975842496
1775658093068,bad,-0.0127229413824
1775658215430,ideal,-0.3340905007392
1775658215430,good,-0.3342575125872
1775658215430,realistic,-0.334524731544
1775658215430,bad,-0.335192778936
1775658216895,ideal,-0.65549989936512
1775658216895,good,-0.65582758377792
1775658216895,realistic,-0.6563518788384
1775658216895,bad,-0.6576626164896
1775658217697,ideal,-0.97690929799104
1775658217697,good,-0.97739765496864
1775658217697,realistic,-0.9781790261328
1775658217697,bad,-0.9801324540432
1775658218368,ideal,-1.29831869661696
1775658218368,good,-1.29896772615936
1775658218368,realistic,-1.3000061734272
1775658218368,bad,-1.3026022915968
1775658252497,ideal,-1.31597615490246
1775658252497,good,-1.31663401140861
1775658252497,realistic,-1.31768658181845
1775658252497,bad,-1.32031800784305
1775658252497,ideal,-113.93492405512536
1775658252497,good,-113.99188012593876
1775658252497,realistic,-114.0830098392402
1775658252497,bad,-114.3108341224938
1775658259354,ideal,-237.76828423481736
1775658259354,good,-237.88714460486076
1775658259354,realistic,-238.0773211969302
1775658259354,bad,-238.5527626771038
1775658447930,ideal,-237.77531284581396
1775658447930,good,-237.89416970084886
1775658447930,realistic,-238.0843406689047
1775658447930,bad,-238.5597680890443
1775658562885,ideal,-237.78243587762262
1775658562885,good,-237.90128917042917
1775658562885,realistic,-238.09145443891965
1775658562885,bad,-238.56686761014585
1775658809092,ideal,-242.19989245702557
1775658809092,good,-242.320954036464495
1775658809092,realistic,-242.514652563566775
1775658809092,bad,-242.998898881322475
1775658954588,ideal,-242.29382740227837
1775658954588,good,-242.414842004849295
1775658954588,realistic,-242.608465368962775
1775658954588,bad,-243.092523779246475
1775658973149,ideal,-332.10952310951037
1775658973149,good,-332.275436580161295
1775658973149,realistic,-332.540898133202775
1775658973149,bad,-333.204552015806475
1775659202124,ideal,-332.37998395936407
1775659202124,good,-332.546032633399245
1775659202124,realistic,-332.811710511855525
1775659202124,bad,-333.475905207996225
1775659202124,ideal,-332.69991422992353
1775659202124,good,-332.866122837107355
1775659202124,realistic,-333.132056608601475
1775659202124,bad,-333.796891037336775
1775659482181,ideal,-334.24374147770853
1775659482181,good,-334.409178016854855
1775659482181,realistic,-334.673876479488975
1775659482181,bad,-335.335622636074275
1775659665927,ideal,-338.63407866371736
1775659665927,good,-338.80170993251076
1775659665927,realistic,-339.0699199625802
1775659665927,bad,-339.7404450377538
1775659844053,ideal,-339.27887883096396
1775659844053,good,-339.44683243537386
1775659844053,realistic,-339.7155582024297
1775659844053,bad,-340.3873726200693
1775659852194,ideal,-343.653061687803
1775659852194,good,-343.8232019463105
1775659852194,realistic,-344.0954263599225
1775659852194,bad,-344.7759873939525
1775659925712,ideal,-343.9566994952214
1775659925712,good,-344.1269915422749
1775659925712,realistic,-344.3994588175605
1775659925712,bad,-345.0806270057745
1775659939652,ideal,-433.3400399006838
1775659939652,good,-433.5550146813933
1775659939652,realistic,-433.8989743305285
1775659939652,bad,-434.7588734533665
1775660031200,ideal,-436.020381787869
1775660031200,good,-436.2366964715415
1775660031200,realistic,-436.5827999654175
1775660031200,bad,-437.4480587001075
1775660270722,ideal,-525.285436308885
1775660270722,good,-525.5463745950975
