ts,profile,equity
1775658677247,ideal,-0.21144645225
1775658677247,good,-0.211340707875
1775658677247,realistic,-0.211171516875
1775658677247,bad,-0.210748539375
1775658791102,ideal,-0.42400643175
1775658791102,good,-0.423794386125
1775658791102,realistic,-0.423455113125
1775658791102,bad,-0.422606930625
1775660363254,ideal,-0.63705231405
1775660363254,good,-0.636733724175
1775660363254,realistic,-0.636223980375
1775660363254,bad,-0.634949620875
1775662143090,ideal,-0.74390593905
1775662143090,good,-0.743533911675
1775662143090,realistic,-0.742938667875
1775662143090,bad,-0.741450558375
1775672766590,ideal,-0.94442103405
1775672766590,good,-0.944149244175
1775672766590,realistic,-0.943714380375
1775672766590,bad,-0.942627220875
1775673885133,ideal,-1.14794408052
1775673885133,good,-1.14777403182
1775673885133,realistic,-1.1475019539
1775673885133,bad,-1.1468217591
1775673888381,ideal,-1.35447417828
1775673888381,good,-1.35440737398
1775673888381,realistic,-1.3543004871
1775673888381,bad,-1.3540332699
1775673888381,ideal,-1.56097366992
1775673888381,good,-1.56101009472
1775673888381,realistic,-1.5610683744
1775673888381,bad,-1.5612140736
1775674828957,ideal,-1.77047886258
1775674828957,good,-1.77062001903
1775674828957,realistic,-1.77084586935
1775674828957,bad,-1.77141049515
1775674828957,ideal,-1.98298570545
1775674828957,good,-1.983233094075
1775674828957,realistic,-1.983628915875
1775674828957,bad,-1.984618470375
1775676451758,ideal,-2.0904309621
1775676451758,good,-2.09062461735
1775676451758,realistic,-2.09093446575
1775676451758,bad,-2.09170908675
1775686860139,ideal,-2.198468975175
1775686860139,good,-2.1986086006125
1775686860139,realistic,-2.1988320013125
1775686860139,bad,-2.1993905030625
1775729532774,ideal,-2.3070986199
1775729532774,good,-2.30718391965
1775729532774,realistic,-2.30732039925
1775729532774,bad,-2.30766159825
1775729769661,ideal,-2.416319896275
1775729769661,good,-2.4163505744625
1775729769661,realistic,-2.4163996595625
1775729769661,bad,-2.4165223723125
1775730285484,ideal,-2.634512748975
1775730285484,good,-2.6344343089125
1775730285484,realistic,-2.6343088048125
1775730285484,bad,-2.6339950445625
1775730530594,ideal,-2.6597181220416
1775730530594,good,-2.6596522821456
1775730530594,realistic,-2.659546938312
1775730530594,bad,-2.659283578728
1775730536155,ideal,-2.664933026814
1775730536155,good,-2.664869793849
1775730536155,realistic,-2.664768621105
1775730536155,bad,-2.664515689245
1775730538450,ideal,-3.536120754414
1775730538450,good,-3.535621840449
1775730538450,realistic,-3.534823578105
1775730538450,bad,-3.532827922245
1775730737466,ideal,-4.374851271975
1775730737466,good,-4.3747716394125
