ts,profile,equity
1775658639698,ideal,-0.0808839815616
1775658639698,good,-0.0809244154656
1775658639698,realistic,-0.080989109712
1775658639698,bad,-0.081150845328
1775658663827,ideal,-0.2112737322699
1775658663827,good,-0.39099114669465
1775658663827,realistic,-0.67853900977425
1775658663827,bad,-1.39740866747325
1775658748044,ideal,-0.2909137130357
1775658748044,good,-0.47138400687495
1775658748044,realistic,-0.76013647701775
1775658748044,bad,-1.48201765237475
1775658906180,ideal,-0.7260052628345
1775658906180,good,-1.08560191617075
1775658906180,realistic,-1.66095656150875
1775658906180,bad,-3.09934317485375
1775658958796,ideal,-0.8070620382365
1775658958796,good,-1.16661815507775
1775658958796,realistic,-1.74190794202375
1775658958796,bad,-3.18013240938875
1775659922752,ideal,-0.8359948083617
1775659922752,good,-1.37569378551595
1775659922752,realistic,-2.23921214896275
1775659922752,bad,-4.39800805757975
1775660183008,ideal,-0.9132141856823
1775660183008,good,-1.45437009863805
1775660183008,realistic,-2.32021955936725
1775660183008,bad,-4.48484321119025
1775660212135,ideal,-0.9623847728033
1775660212135,good,-1.68176866606155
1775660212135,realistic,-2.83278289527475
1775660212135,bad,-5.71031846830775
1775660450923,ideal,-1.0434095506061
1775660450923,good,-1.76275292337135
1775660450923,realistic,-2.91370231979575
1775660450923,bad,-5.79107581085675
1775660869630,ideal,-1.1245943164049
1775660869630,good,-1.84389708866715
1775660869630,realistic,-2.99478152428675
1775660869630,bad,-5.87199261333575
1775660973812,ideal,-1.072554568406845205479452045
1775660973812,good,-1.97206102855067054794520548
1775660973812,realistic,-3.41127136478079109589041096
1775660973812,bad,-7.009297205356092465753424646
1775661177654,ideal,-1.153739334205645205479452045
1775661177654,good,-2.05320519384647054794520548
1775661177654,realistic,-3.49235056927179109589041096
1775661177654,bad,-7.090214007835092465753424646
1775661593762,ideal,-1.234763833064245205479452045
1775661593762,good,-2.13418917235157054794520548
1775661593762,realistic,-3.57326971521129109589041096
1775661593762,bad,-7.170971072360592465753424646
1775663302112,ideal,-1.315946551772545205479452045
1775663302112,good,-2.21533129158062054794520548
1775663302112,realistic,-3.65434687527354109589041096
1775663302112,bad,-7.251885834505842465753424646
1775665456638,ideal,-1.396967118417745205479452045
1775665456638,good,-2.29631133983882054794520548
1775665456638,realistic,-3.73526209411254109589041096
1775665456638,bad,-7.332638979796842465753424646
1775665831811,ideal,-1.780677063534017079568638862
1775665831811,good,-2.859586901429829233459632748
1775665831811,realistic,-4.585842642063128679685222968
1775665831811,bad,-8.901481993646377295249198456
1775666925148,ideal,-1.861697630179217079568638862
1775666925148,good,-2.940566949688029233459632748
1775666925148,realistic,-4.666757860902128679685222968
1775666925148,bad,-8.982235138937377295249198456
1775667358737,ideal,-1.942876925072417079568638862
1775667358737,good,-3.021705646814229233459632748
1775667358737,realistic,-4.747831601601128679685222968
1775667358737,bad,-9.063146488568377295249198456
1775667807725,ideal,-2.023892178280517079568638862
1775667807725,good,-3.102680384292579233459632748
1775667807725,realistic,-4.828741513911878679685222968
1775667807725,bad,-9.143894337960127295249198456
1775669017887,ideal,-2.762603322418282944708746983
1775669017887,good,-4.020857449371964539555361928
1775669017887,realistic,-6.034064052497855091309945902
