ts,profile,equity
1775660532858,ideal,-0.7493850645435
1775660532858,good,-0.74975968215225
1775660532858,realistic,-0.75035907032625
1775660532858,bad,-0.75185754076125
1775673960523,ideal,-0.8640710391519
1775673960523,good,-0.86450298828165
1775673960523,realistic,-0.86519410688925
1775673960523,bad,-0.86692190340825
1775673960523,ideal,-0.99668590197093
1775673960523,good,-0.997184145273255
1775673960523,realistic,-0.997981334556975
1775673960523,bad,-0.999974307766275
1775694892025,ideal,-1.35691967331873
1775694892025,good,-1.357597997490555
1775694892025,realistic,-1.358683316165475
1775694892025,bad,-1.361396612852775
1775694892025,ideal,-1.37941380324513
1775694892025,good,-1.380103372232955
1775694892025,realistic,-1.381206682613475
1775694892025,bad,-1.383964958564775
1775694949603,ideal,-1.49149423067553
1775694949603,good,-1.492127748239355
1775694949603,realistic,-1.493141376341475
1775694949603,bad,-1.495675446596775
1775694949603,ideal,-2.39130903871413
1775694949603,good,-2.391492558874455
1775694949603,realistic,-2.391786191130975
1775694949603,bad,-2.392520271772275
1775694949603,ideal,-2.39672201390253
1775694949603,good,-2.396902827033855
1775694949603,realistic,-2.397192128043975
1775694949603,bad,-2.397915380569275
1775694949603,ideal,-2.41264207925253
1775694949603,good,-2.412814930758855
1775694949603,realistic,-2.413091493168975
1775694949603,bad,-2.413782899194275
1775695035949,ideal,-8.831494890135362090917007684
1775695035949,good,-10.49945459343826919054254078
1775695035949,realistic,-13.16819011872292054994339448
1775695035949,bad,-19.84002893193454894844552837
1775695104806,ideal,-9.330779363265362090917007684
1775695104806,good,-10.99848937439326919054254078
1775695104806,realistic,-13.66682539219792054994339448
1775695104806,bad,-20.33766543670954894844552837
1775695201539,ideal,-10.07930474424216209091700768
1775695201539,good,-11.74664041781206919054254078
1775695201539,realistic,-14.41437749552392054994339448
1775695201539,bad,-21.08372018980354894844552837
1775695248738,ideal,-10.57913312256936209091700768
1775695248738,good,-12.24621883195726919054254078
1775695248738,realistic,-14.91355596697792054994339448
1775695248738,bad,-21.58189880452954894844552837
1775696461894,ideal,-10.65470985020016209091700768
1775696461894,good,-12.32175776366506919054254078
1775696461894,realistic,-14.98903442520892054994339448
1775696461894,bad,-21.65722607906854894844552837
1775710480457,ideal,-10.30123997364696209091700768
1775710480457,good,-11.99914511072886919054254078
1775710480457,realistic,-14.71579333005992054994339448
1775710480457,bad,-21.50741387838754894844552837
1775710480457,ideal,-8.76658013740446209091700768
1775710480457,good,-10.60063246513011919054254078
1775710480457,realistic,-13.53511618949117054994339448
1775710480457,bad,-20.87132550039379894844552837
1775725213036,ideal,-8.78485278214446209091700768
1775725213036,good,-10.61889597172011919054254078
1775725213036,realistic,-13.55336507504117054994339448
1775725213036,bad,-20.88953783334379894844552837
1775725213036,ideal,-8.78963852430456209091700768
1775725213036,good,-10.62367932053046919054254078
1775725213036,realistic,-13.55814459449192054994339448
1775725213036,bad,-20.89430777939554894844552837
1775725258354,ideal,-14.94313855697187716876733415
1775725258354,good,-17.28970886620911565965354025
1775725258354,realistic,-21.04422136098869724507147085
1775725258354,bad,-30.43050259793765120861629681
1775725365191,ideal,-14.99924368820097716876733415
1775725365191,good,-17.34578593926096565965354025
1775725365191,realistic,-21.10025354095694724507147085
1775725365191,bad,-30.48642254519690120861629681
1775725932644,ideal,-15.11166826078857716876733415
1775725932644,good,-17.45815428831756565965354025
1775725932644,realistic,-21.21253193236394724507147085
1775725932644,bad,-30.59847604247990120861629681
1775741619667,ideal,-15.85721167665597716876733415
1775741619667,good,-18.20407040135346565965354025
1775741619667,realistic,-21.95904436086944724507147085
1775741619667,bad,-31.34647925965940120861629681
1775742729909,ideal,-11.43069147525917716876733415
1775742729909,good,-14.88606715646466565965354025
1775742729909,realistic,-20.41466824639344724507147085
1775742729909,bad,-34.23617097121540120861629681
