ts,profile,equity
1775658248990,ideal,-15.7528218168765
1775658248990,good,-15.76069665281775
1775658248990,realistic,-15.77329639032375
1775658248990,bad,-15.80479573408875
1775658449331,ideal,-31.5055773940077
1775658449331,good,-31.52132703277695
1775658449331,realistic,-31.54652645480775
1775658449331,bad,-31.60952500988475
1775658675056,ideal,-90.41851605771741762017464988
1775658675056,good,-125.4409998059466304864114906
1775658675056,realistic,-181.4769738031133710723904328
1775658675056,bad,-321.5669087960302225373377956
1775658679341,ideal,-90.42749610936861762017464988
1775658679341,good,-125.4499843467258304864114906
1775658679341,realistic,-181.4859655264973710723904328
1775658679341,bad,-321.5759184759262225373377956
1775658679341,ideal,-90.43647616101981762017464988
1775658679341,good,-125.4589688875050304864114906
1775658679341,realistic,-181.4949572498813710723904328
1775658679341,bad,-321.5849281558222225373377956
1775658682215,ideal,-97.86245776236021762017464988
1775658682215,good,-132.8886627371964304864114906
1775658682215,realistic,-188.9305906969343710723904328
1775658682215,bad,-329.0354105962792225373377956
1775658682215,ideal,-113.6155140806276176201746499
1775658682215,good,-148.6495940086323304864114906
1775658682215,realistic,-204.7041218934398710723904328
1775658682215,bad,-344.8404416054587225373377956
1775658694929,ideal,-129.3678853709168176201746499
1775658694929,good,-164.4098399096445304864114906
1775658694929,realistic,-220.4769671716088710723904328
1775658694929,bad,-360.6447853265197225373377956
1775658732875,ideal,-145.1197595998136176201746499
1775658732875,good,-180.1695885007833304864114906
1775658732875,realistic,-236.2493147423348710723904328
1775658732875,bad,-376.4486303462137225373377956
1775658747268,ideal,-160.8719223003932176201746499
1775658747268,good,-195.9296257078119304864114906
1775658747268,realistic,-252.0219511596818710723904328
1775658747268,bad,-392.2527647893567225373377956
1775658748044,ideal,-176.6245041247808176201746499
1775658748044,good,-211.6900822481685304864114906
1775658748044,realistic,-267.7950072455888710723904328
1775658748044,bad,-408.0573197391397225373377956
1775658750839,ideal,-192.3764253295709176201746499
1775658750839,good,-227.4498778386838804864114906
1775658750839,realistic,-283.5674018532646210723904328
1775658750839,bad,-423.8612118897164725373377956
1775658750839,ideal,-208.1293577110559176201746499
1775658750839,good,-243.2106851113813804864114906
1775658750839,realistic,-299.3408089519021210723904328
1775658750839,bad,-439.6661185532039725373377956
1775658750912,ideal,-208.7258037149036176201746499
1775658750912,good,-243.8074292785983304864114906
1775658750912,realistic,-299.9380301805098710723904328
1775658750912,bad,-440.2645324352887225373377956
1775658750912,ideal,-211.0834142207192176201746499
1775658750912,good,-246.1662183539529304864114906
1775658750912,realistic,-302.2987049671268710723904328
1775658750912,bad,-442.6299215000617225373377956
1775658750912,ideal,-213.7714231570076176201746499
1775658750912,good,-248.8555710259623304864114906
1775658750912,realistic,-304.9902076162898710723904328
1775658750912,bad,-445.3267990921087225373377956
1775658750912,ideal,-217.6929835977647176201746499
1775658750912,good,-252.7790918548621804864114906
1775658750912,realistic,-308.9168650662181210723904328
1775658750912,bad,-449.2612980946079725373377956
1775658750912,ideal,-221.2700588532614176201746499
1775658750912,good,-256.3579552903506304864114906
1775658750912,realistic,-312.4985895896933710723904328
1775658750912,bad,-452.8501753380502225373377956
1775658750912,ideal,-223.8818712522896176201746499
1775658750912,good,-258.9710733344493304864114906
1775658750912,realistic,-315.1137966659048710723904328
1775658750912,bad,-455.4706049945437225373377956
1775658756248,ideal,-239.6346324645476176201746499
1775658756248,good,-274.7317093523523304864114906
1775658756248,realistic,-330.8870323728398710723904328
1775658756248,bad,-471.2753399240587225373377956
1775658757798,ideal,-255.3874436593001176201746499
1775658757798,good,-290.4923953777360804864114906
