ts,profile,equity
1775660398549,ideal,-0.4902290171982
1775660398549,good,-0.4904740826937
1775660398549,realistic,-0.4908661874865
1775660398549,bad,-0.4918464494685
1775660518256,ideal,-0.5969643805891
1775660518256,good,-0.70537149081185
1775660518256,realistic,-0.87882286716825
1775660518256,bad,-1.31245130805925
1775660518256,ideal,-1.676581219123
1775660518256,good,-2.7656308494305
1775660518256,realistic,-4.5081102579225
1775660518256,bad,-8.8643087791525
1775674436343,ideal,-1.7217651360319
1775674436343,good,-2.81079216986165
1775674436343,realistic,-4.55323542398925
1775674436343,bad,-8.90934355930825
1775674467044,ideal,-1.8307619703043
1775674467044,good,-2.91973449481505
1775674467044,realistic,-4.66209053403225
1775674467044,bad,-9.01798063207525
1775674538048,ideal,-1.9373763151699
1775674538048,good,-3.02629552184465
1775674538048,realistic,-4.76856625252425
1775674538048,bad,-9.12424307922325
1775674549501,ideal,-2.0517582122143
1775674549501,good,-3.14062021650005
1775674549501,realistic,-4.88279942335725
1775674549501,bad,-9.23824744050025
1775712942793,ideal,-1.5491360827311
1775712942793,good,-2.88631130330885
1775712942793,realistic,-5.02579165623325
1775712942793,bad,-10.37449253854425
1775713303909,ideal,-1.0503550551227
1775713303909,good,-3.43310760167945
1775713303909,realistic,-7.24551167617025
1775713303909,bad,-16.77652186239725
1775725802585,ideal,-1.5201278869019
1775725802585,good,-3.90311527290665
1775725802585,realistic,-7.71589509051425
1775725802585,bad,-17.24784463453325
1775727229118,ideal,-2.0124945525443
1775727229118,good,-4.39572807265505
1775727229118,realistic,-8.20890170483225
1775727229118,bad,-17.74183578527525
1775728871492,ideal,1.131482959899733099297893853
1775728871492,good,-2.346499656470542978936810592
1775728871492,realistic,-7.911271842662984704112337004
1775728871492,bad,-21.82320230814408901705115328
1775733796087,ideal,0.651021210764533099297893853
1775733796087,good,-2.827201588443742978936810592
1775733796087,realistic,-8.392358067176984704112337004
1775733796087,bad,-22.30524926401008901705115328
