ts,profile,equity
1775658170257,ideal,-0.4518779285142
1775658170257,good,-0.4521038222997
1775658170257,realistic,-0.4524652523565
1775658170257,bad,-0.4533688274985
1775658171132,ideal,-0.4606073835561
1775658171132,good,-0.46083764119635
1775658171132,realistic,-0.46120605342075
1775658171132,bad,-0.46212708398175
1775658171196,ideal,-0.562651702839
1775658171196,good,-0.5629329724365
1775658171196,realistic,-0.5633830037925
1775658171196,bad,-0.5645080821825
1775658171196,ideal,-0.6005796799176
1775658171196,good,-0.6008799097116
1775658171196,realistic,-0.601360277382
1775658171196,bad,-0.602561196558
1775658171196,ideal,-0.9030001109094
1775658171196,good,-0.9034515206829
1775658171196,realistic,-0.9041737763205
1775658171196,bad,-0.9059794154145
1775658171616,ideal,-1.3537043712369
1775658171616,good,-1.35438108807915
1775658171616,realistic,-1.35546383502675
1775658171616,bad,-1.35817070239575
1775658173319,ideal,-1.8042351353721
1775658173319,good,-1.80513707255235
1775658173319,realistic,-1.80658017204075
1775658173319,bad,-1.81018792076175
1775658293771,ideal,-2.115215562341
1775658293771,good,-2.2021119281935
1775658293771,realistic,-2.3411461135575
1775658293771,bad,-2.6887315769675
1775658293824,ideal,-3.0119261138921
1775658293824,good,-3.34678699737235
1775658293824,realistic,-3.88256441094075
1775658293824,bad,-5.22200794486175
1775658300899,ideal,-3.3702875241744
1775658300899,good,-4.0388242121104
1775658300899,realistic,-5.108482912808
1775658300899,bad,-7.782629664552
1775658304313,ideal,-3.8340668023773
1775658304313,good,-4.83661047207055
1775658304313,realistic,-6.44068034357975
1775658304313,bad,-10.45085502235275
1775658767499,ideal,-4.2849714652773
1775658767499,good,-5.28774054222055
1775658767499,realistic,-6.89217106532975
1775658767499,bad,-10.90324737310275
1775658771821,ideal,-11.9243433316569
1775658771821,good,-13.59154681954915
1775658771821,realistic,-16.25907240017675
1775658771821,bad,-22.92788635174575
1775658773899,ideal,-20.4936432296939
1775658773899,good,-23.16073442517865
1775658773899,realistic,-27.42808033795425
1775658773899,bad,-38.09644511989325
1775658774014,ideal,-24.8628212160979
1775658774014,good,-28.19543742759265
1775658774014,realistic,-33.52762336598425
1775658774014,bad,-46.85808821196325
1775658774014,ideal,-25.3137272718469
1775658774014,good,-28.64611798521415
1775658774014,realistic,-33.97794312660175
1775658774014,bad,-47.30750598007075
1775658774693,ideal,-31.6487043483101
1775658774693,good,-35.64454354283535
1775658774693,realistic,-42.03788625407575
1775658774693,bad,-58.02124303217675
1775658778152,ideal,-32.76507003343420710498409329
1775658778152,good,-37.7634985861435318663838813
1775658778152,realistic,-45.76098427047845148462354195
1775658778152,bad,-65.75469848131575053022269357
1775659065020,ideal,-29.08259193096545710498409329
1775659065020,good,-35.0848724931279068663838813
1775659065020,realistic,-44.68852139258782648462354195
1775659065020,bad,-68.69764364123762553022269357
1775659065304,ideal,-29.30063553645545710498409329
1775659065304,good,-35.3075814873429068663838813
1775659065304,realistic,-44.91869500876282648462354195
1775659065304,bad,-68.94647881231262553022269357
1775659065632,ideal,-29.52761605848245710498409329
1775659065632,good,-35.5346754769374068663838813
1775659065632,realistic,-45.14597054646532648462354195
1775659065632,bad,-69.17420822028512553022269357
1775659081385,ideal,-30.44820974381604999999999996
1775659081385,good,-36.79400375898117500000000009
1775659081385,realistic,-46.94727418324537500000000008
1775659081385,bad,-72.33045024390587500000000005
1775659081814,ideal,-31.90935903914574999999999996
1775659081814,good,-38.59579092138512500000000009
1775659081814,realistic,-49.29408193296812500000000008
1775659081814,bad,-76.03980946192562500000000005
1775659081963,ideal,-32.47852098295704999999999996
1775659081963,good,-39.50596633347467500000000009
1775659081963,realistic,-50.74987889430287500000000008
1775659081963,bad,-78.85966029637337500000000005
1775659081963,ideal,-32.77757766183294999999999996
1775659081963,good,-39.80517251079032500000000009
1775659081963,realistic,-51.04932426912212500000000008
1775659081963,bad,-79.15970366495162500000000005
1775660153556,ideal,-33.44282942842734999999999996
1775660153556,good,-40.63768612387072500000000009
1775660153556,realistic,-52.14945683658012500000000008
1775660153556,bad,-80.92888361835362500000000005
1775660156911,ideal,-36.71215114977824999999999996
1775660156911,good,-44.24216028484887500000000009
1775660156911,realistic,-56.29017490096187500000000008
1775660156911,bad,-86.41021144124437500000000005
1775660161050,ideal,-38.37597902363684999999999996
1775660161050,good,-46.24019357585397500000000009
1775660161050,realistic,-58.82293685940137500000000008
1775660161050,bad,-90.27979506826987500000000005
1775660176020,ideal,-39.22493132377504999999999996
1775660176020,good,-47.25631585383767500000000009
1775660176020,realistic,-60.10653110193787500000000008
1775660176020,bad,-92.23206922218837500000000005
1775661688469,ideal,-39.37581690735754999999999996
1775661688469,good,-47.40727686512642500000000009
1775661688469,realistic,-60.25761279755662500000000008
1775661688469,bad,-92.38345262863212500000000005
1775661695008,ideal,-39.52702164525814999999999996
1775661695008,good,-47.55855719027852500000000009
1775661695008,realistic,-60.40901406231112500000000008
1775661695008,bad,-92.53515624239262500000000005
1775661696567,ideal,-39.67820585005294999999999996
1775661696567,good,-47.70981697206032500000000009
1775661696567,realistic,-60.56039476727212500000000008
1775661696567,bad,-92.68683925530162500000000005
1775671492999,ideal,-36.60129418974681466165413532
