ts,profile,equity
1775658262251,ideal,-0.126065528064
1775658262251,good,-0.126128548224
1775658262251,realistic,-0.12622938048
1775658262251,bad,-0.12648146112
1775658262251,ideal,-0.1313182584
1775658262251,good,-0.1313839044
1775658262251,realistic,-0.131488938
1775658262251,bad,-0.131751522
1775658648798,ideal,-0.2633124439584
1775658648798,good,-0.2634440738544
1775658648798,realistic,-0.263654681688
1775658648798,bad,-0.264181201272
1775658686436,ideal,-0.3349172080476
1775658686436,good,-0.3350846331666
1775658686436,realistic,-0.335352513357
1775658686436,bad,-0.336022213833
1775658686436,ideal,-0.3946579733115
1775658686436,good,-0.39485526284025
1775658686436,realistic,-0.39517092608625
1775658686436,bad,-0.39596008420125
1775658694806,ideal,-0.7855110702999
1775658694806,good,-0.78590374729965
1775658694806,realistic,-0.78653203049925
1775658694806,bad,-0.78810273849825
1775658694929,ideal,-0.9171845937387
1775658694929,good,-0.91764309433545
1775658694929,realistic,-0.91837669529025
1775658694929,bad,-0.92021069767725
1775658695261,ideal,-0.9456395535927
1775658695261,good,-0.94611227882445
1775658695261,realistic,-0.94686863919525
1775658695261,bad,-0.94875954012225
1775658695261,ideal,-1.1796413445927
1775658695261,good,-1.18023104732445
1775658695261,realistic,-1.18117457169525
1775658695261,bad,-1.18353338262225
1775658695605,ideal,-1.4416971552747
1775658695605,good,-1.44241785971145
1775658695605,realistic,-1.44357098681025
1775658695605,bad,-1.44645380455725
1775658695731,ideal,-1.5664296067767
1775658695731,good,-1.56721266496845
1775658695731,realistic,-1.56846555807525
1775658695731,bad,-1.57159779084225
1775658695731,ideal,-1.5732236928222
1775658695731,good,-1.5740101473777
1775658695731,realistic,-1.5752684746665
1775658695731,bad,-1.5784142928885
1775658760729,ideal,-1.835302512105
1775658760729,good,-1.8362199798675
1775658760729,realistic,-1.8376879282875
1775658760729,bad,-1.8413577993375
1775658760929,ideal,-2.3979133107648
1775658760929,good,-2.3991120276768
1775658760929,realistic,-2.401029974736
1775658760929,bad,-2.405824842384
1775658761331,ideal,-2.5294385385504
1775658761331,good,-2.5307030049264
1775658761331,realistic,-2.532726151128
1775658761331,bad,-2.537784016632
1775658761534,ideal,-2.6610133842576
1775658761534,good,-2.6623436249016
1775658761534,realistic,-2.664472009932
1775658761534,bad,-2.669792972508
1775658761622,ideal,-2.7920796507693
1775658761622,good,-2.79347541144255
1775658761622,realistic,-2.79570862851975
1775658761622,bad,-2.80129167121275
1775658767856,ideal,-3.0538450858878
1775658767856,good,-3.0553717031073
1775658767856,realistic,-3.0578142906585
1775658767856,bad,-3.0639207595365
1775658768070,ideal,-3.1851320630328
1775658768070,good,-3.1867243106148
1775658768070,realistic,-3.189271906746
1775658768070,bad,-3.195640897074
1775658778419,ideal,-3.4483562623458
1775658778419,good,-3.4500800957103
1775658778419,realistic,-3.4528382290935
1775658778419,bad,-3.4597335625515
1775658778756,ideal,-3.5327488799943
1775658778756,good,-3.53451490123005
1775658778756,realistic,-3.53734053520725
1775658778756,bad,-3.54440462015025
1775658778756,ideal,-3.5800644112083
1775658778756,good,-3.58185408547905
1775658778756,realistic,-3.58471756431225
1775658778756,bad,-3.59187626139525
1775658801984,ideal,-3.7115656762023
1775658801984,good,-3.71342108795805
1775658801984,realistic,-3.71638974676725
1775658801984,bad,-3.72381139379025
1775658802544,ideal,-3.8435242146327
1775658802544,good,-3.84544559246445
1775658802544,realistic,-3.84851979699525
1775658802544,bad,-3.85620530832225
1775658859572,ideal,-3.9752731641537
1775658859572,good,-3.97726040328795
1775658859572,realistic,-3.98043998590275
1775658859572,bad,-3.98838894243975
1775658859724,ideal,-4.3669885975749
1775658859724,good,-4.36917165526215
1775658859724,realistic,-4.37266454756175
1775658859724,bad,-4.38139677831075
1775658877312,ideal,-4.4984484722925
1775658877312,good,-4.50069724677375
1775658877312,realistic,-4.50429528594375
1775658877312,bad,-4.51329038386875
1775658905262,ideal,-4.5036717757443
1775658905262,good,-4.50592316135505
1775658905262,realistic,-4.50952537833225
1775658905262,bad,-4.51853092077525
1775658905262,ideal,-4.5088947011205
1775658905262,good,-4.51114869767175
1775658905262,realistic,-4.51475509215375
1775658905262,bad,-4.52377107835875
1775658905262,ideal,-4.5141171854085
1775658905262,good,-4.51637379267975
1775658905262,realistic,-4.51998436431375
1775658905262,bad,-4.52901079339875
1775658905262,ideal,-4.5193392916209
1775658905262,good,-4.52159850942315
1775658905262,realistic,-4.52521325790675
1775658905262,bad,-4.53425012911575
1775658905262,ideal,-5.0614762703355
1775658905262,good,-5.06400650242425
1775658905262,realistic,-5.06805487376625
1775658905262,bad,-5.07817580212125
1775658905604,ideal,-5.1929777513727
1775658905604,good,-5.19557372105445
1775658905604,realistic,-5.19972727254525
1775658905604,bad,-5.21011115127225
1775658933743,ideal,-5.4548568117117
1775658933743,good,-5.45758369474095
1775658933743,realistic,-5.46194670758775
1775658933743,bad,-5.47285423970475
1775658943009,ideal,-5.71662234585
1775658943009,good,-5.719480085475
1775658943009,realistic,-5.724052468875
1775658943009,bad,-5.735483427375
1775658954343,ideal,-6.1085768670792
1775658954343,good,-6.1116305447772
1775658954343,realistic,-6.116516429094
1775658954343,bad,-6.128731139886
1775658954641,ideal,-6.4998255211632
1775658954641,good,-6.5030747840712
1775658954641,realistic,-6.508273604724
1775658954641,bad,-6.521270656356
1775658954947,ideal,-6.6313408964787
1775658954947,good,-6.63465590392545
1775658954947,realistic,-6.63995991584025
1775658954947,bad,-6.65321994562725
1775658955297,ideal,-6.7622117654187
1775658955297,good,-6.76559219521545
1775658955297,realistic,-6.77100088289025
1775658955297,bad,-6.78452260207725
1775658963797,ideal,-6.9424007960187
1775658963797,good,-6.94587130231545
1775658963797,realistic,-6.95142411239025
1775658963797,bad,-6.96530613757725
1775658963797,ideal,-7.0239728571687
1775658963797,good,-7.02748414134045
1775658963797,realistic,-7.03310219601525
1775658963797,bad,-7.04714733270225
1775658963913,ideal,-7.1516643533613
1775658963913,good,-7.15523947051455
1775658963913,realistic,-7.16095965795975
1775658963913,bad,-7.17526012657275
1775658963913,ideal,-7.1554607364861
1775658963913,good,-7.15903775145135
1775658963913,realistic,-7.16476097539575
1775658963913,bad,-7.17906903525675
1775658964221,ideal,-7.5473087934267
1775658964221,good,-7.55108169324345
1775658964221,realistic,-7.55711833295025
1775658964221,bad,-7.57220993221725
1775658964642,ideal,-7.6789887846588
1775658964642,good,-7.6828275113058
1775658964642,realistic,-7.688969473941
1775658964642,bad,-7.704324380529
1775658965050,ideal,-8.072000747334
1775658965050,good,-8.076035940669
1775658965050,realistic,-8.082492250005
1775658965050,bad,-8.098633023345
1775659648817,ideal,-8.203256713278
1775659648817,good,-8.207357521473
1775659648817,realistic,-8.213918814585
1775659648817,bad,-8.230322047365
1775659657803,ideal,-8.334512679222
1775659657803,good,-8.338679102277
1775659657803,realistic,-8.345345379165
1775659657803,bad,-8.362011071385
1775659657982,ideal,-8.466072996024
1775659657982,good,-8.470305186084
1775659657982,realistic,-8.47707669018
1775659657982,bad,-8.49400545042
1775659658526,ideal,-8.471276576532
1775659658526,good,-8.475511367862
1775659658526,realistic,-8.48228703399
1775659658526,bad,-8.49922619931
1775659658526,ideal,-8.4764805351156
1775659658526,good,-8.4807179279046
1775659658526,realistic,-8.487497756367
1775659658526,bad,-8.504447327523
1775659658526,ideal,-8.4816836745354
1775659658526,good,-8.4859236683739
1775659658526,realistic,-8.4927076585155
1775659658526,bad,-8.5096676338695
1775659658526,ideal,-8.5976674386498
1775659658526,good,-8.6019654127743
1775659658526,realistic,-8.6088421713735
1775659658526,bad,-8.6260340678715
1775659658667,ideal,-8.623280926323
1775659658667,good,-8.6275917046305
1775659658667,realistic,-8.6344889499225
1775659658667,bad,-8.6517320631525
1775659658667,ideal,-8.628719093739
1775659658667,good,-8.6330325905865
1775659658667,realistic,-8.6399341855425
1775659658667,bad,-8.6571881729325
1775659658667,ideal,-8.688052658079
1775659658667,good,-8.6923958157765
1775659658667,realistic,-8.6993448680925
1775659658667,bad,-8.7167174988825
1775659658667,ideal,-8.859716624007
1775659658667,good,-8.8641455965245
1775659658667,realistic,-8.8712319525525
1775659658667,bad,-8.8889478426225
1775659658862,ideal,-8.991040643559
1775659658862,good,-8.9955352649565
1775659658862,realistic,-9.0027266591925
1775659658862,bad,-9.0207051447825
1775659659211,ideal,-9.003201175179
1775659659211,good,-9.0077018756265
1775659659211,realistic,-9.0149029963425
1775659659211,bad,-9.0329057981325
1775659659211,ideal,-9.122374385055
1775659659211,good,-9.1269346601925
1775659659211,realistic,-9.1342311004125
1775659659211,bad,-9.1524722009625
1775659659565,ideal,-9.3844478212614
1775659659565,good,-9.3891391069149
1775659659565,realistic,-9.3966451639605
1775659659565,bad,-9.4154103065745
1775659660074,ideal,-9.5156918058096
1775659660074,good,-9.5204487003336
1775659660074,realistic,-9.528059731572
1775659660074,bad,-9.547087309668
1775659666790,ideal,-9.6472324986876
1775659666790,good,-9.6520551504066
1775659666790,realistic,-9.659771393157
1775659666790,bad,-9.679062000033
1775659666996,ideal,-9.9091270511244
1775659666996,good,-9.9140806239354
1775659666996,realistic,-9.922006340433
1775659666996,bad,-9.941820631677
1775659940399,ideal,-10.0406459416428
1775659940399,good,-10.0456652607498
1775659940399,realistic,-10.053696171321
1775659940399,bad,-10.073773447749
1775659940681,ideal,-10.43194927266
1775659940681,good,-10.43716420431
1775659940681,realistic,-10.44550809495
1775659940681,bad,-10.46636782155
1775659941045,ideal,-10.62289635444
1775659941045,good,-10.62820674054
1775659941045,realistic,-10.6367033583
1775659941045,bad,-10.6579449027
1775659941045,ideal,-10.693213375032
1775659941045,good,-10.698558912612
1775659941045,realistic,-10.70711177274
1775659941045,bad,-10.72849392306
1775659941292,ideal,-10.8249277306356
1775659941292,good,-10.8303391122246
1775659941292,realistic,-10.838997322767
1775659941292,bad,-10.860642849123
1775659941527,ideal,-10.9558725943716
1775659941527,good,-10.9613494353006
1775659941527,realistic,-10.970112380787
1775659941527,bad,-10.992019744503
1775659942119,ideal,-11.2179814706646
1775659942119,good,-11.2235893398261
1775659942119,realistic,-11.2325619304845
1775659942119,bad,-11.2549934071305
1775659942351,ideal,-11.3443587310626
1775659942351,good,-11.3500297762191
1775659942351,realistic,-11.3591034484695
1775659942351,bad,-11.3817876290955
1775659942351,ideal,-11.3495623115706
1775659942351,good,-11.3552359579971
1775659942351,realistic,-11.3643137922795
1775659942351,bad,-11.3870083779855
1775659942764,ideal,-11.6008345959786
1775659942764,good,-11.6066338534251
1775659942764,realistic,-11.6159126653395
1775659942764,bad,-11.6391096951255
1775659942764,ideal,-11.605869914841
1775659942764,good,-11.6116716894435
1775659942764,realistic,-11.6209545288075
1775659942764,bad,-11.6441616272175
1775659942764,ideal,-11.6119907247582
1775659942764,good,-11.6177955591537
1775659942764,realistic,-11.6270832941865
1775659942764,bad,-11.6503026317685
1775659942764,ideal,-11.7429939201582
1775659942764,good,-11.7488642430537
1775659942764,realistic,-11.7582567596865
1775659942764,bad,-11.7817380512685
1775659943107,ideal,-11.8739971155582
1775659943107,good,-11.8799329269537
1775659943107,realistic,-11.8894302251865
1775659943107,bad,-11.9131734707685
1775659943711,ideal,-11.8790340412419
1775659943711,good,-11.88497237059665
1775659943711,realistic,-11.89447369756425
1775659943711,bad,-11.91822701498325
1775659943711,ideal,-11.9284021628919
1775659943711,good,-11.93436517137165
1775659943711,realistic,-11.94390598493925
1775659943711,bad,-11.96775801885825
1775659943711,ideal,-11.9446000738263
1775659943711,good,-11.95057117964205
1775659943711,realistic,-11.96012494894725
1775659943711,bad,-11.98400937221025
1775659943711,ideal,-11.9496372290559
1775659943711,good,-11.95561085294565
1775659943711,realistic,-11.96516865116925
1775659943711,bad,-11.98906314672825
1775659943711,ideal,-11.9946630084111
1775659943711,good,-12.00065914068885
1775659943711,realistic,-12.01025295233325
1775659943711,bad,-12.03423748144425
1775659943711,ideal,-11.9996987863653
1775659943711,good,-12.00569743602855
1775659943711,realistic,-12.01529527548975
1775659943711,bad,-12.03928987414275
1775659943711,ideal,-12.0056245812873
1775659943711,good,-12.01162619325555
1775659943711,realistic,-12.02122877240475
1775659943711,bad,-12.04523522027775
1775659944132,ideal,-12.2677661341143
1775659944132,good,-12.27389879065005
1775659944132,realistic,-12.28371104110725
1775659944132,bad,-12.30824166725025
1775660173449,ideal,-12.2718296366523
1775660173449,good,-12.27796432453305
1775660173449,realistic,-12.28777982514225
1775660173449,bad,-12.31231857666525
1775660173449,ideal,-12.3994214964216
1775660173449,good,-12.4056199674756
1775660173449,realistic,-12.415537521162
1775660173449,bad,-12.440331405378
1775660173633,ideal,-12.4034849989596
1775660173633,good,-12.4096855013586
1775660173633,realistic,-12.419606305197
1775660173633,bad,-12.444408314793
1775660173633,ideal,-12.5310726188811
1775660173633,good,-12.53733690233385
1775660173633,realistic,-12.54735975585825
1775660173633,bad,-12.57241688966925
1775660182171,ideal,-12.9224489184891
1775660182171,good,-12.92890885096185
1775660182171,realistic,-12.93924474291825
1775660182171,bad,-12.96508447280925
1775660182305,ideal,-13.2954961130091
1775660182305,good,-13.30214253178185
1775660182305,realistic,-13.31277680181825
1775660182305,bad,-13.33936247690925
1775660182305,ideal,-13.3130583997641
1775660182305,good,-13.31971359792435
1775660182305,realistic,-13.33036191498075
1775660182305,bad,-13.35698270762175
1775660195658,ideal,-13.4027959126779
1775660195658,good,-13.40949597062265
1775660195658,realistic,-13.42021606333425
1775660195658,bad,-13.44701629511325
1775660195658,ideal,-13.4441642696949
1775660195658,good,-13.45088500768215
1775660195658,realistic,-13.46163818846175
1775660195658,bad,-13.48852114041075
1775660196383,ideal,-13.7061472918221
1775660196383,good,-13.71299899512735
1775660196383,realistic,-13.72396172041575
1775660196383,bad,-13.75136853363675
1775660196514,ideal,-13.8377364098832
1775660196514,good,-13.8446538945912
1775660196514,realistic,-13.855721870124
1775660196514,bad,-13.883391808956
1775660196712,ideal,-13.8828278663712
1775660196712,good,-13.8897678922992
1775660196712,realistic,-13.900871933784
1775660196712,bad,-13.928632037496
1775660196712,ideal,-14.0812302749184
1775660196712,good,-14.0882694822144
1775660196712,realistic,-14.099532213888
1775660196712,bad,-14.127689043072
1775660196712,ideal,-14.099612283585
1775660196712,good,-14.1066606800475
1775660196712,realistic,-14.1179381143875
1775660196712,bad,-14.1461317002375
1775660196926,ideal,-14.3615110443633
1775660196926,good,-14.36869036402155
1775660196926,realistic,-14.38017727547475
1775660196926,bad,-14.40889455410775
1775660196995,ideal,-14.6236561979103
1775660196995,good,-14.63096656393605
1775660196995,realistic,-14.64266314957725
1775660196995,bad,-14.67190461368025
1775660197396,ideal,-14.6290662121968
1775660197396,good,-14.6363792826888
1775660197396,realistic,-14.648080195476
1775660197396,bad,-14.677332477444
1775660197396,ideal,-14.7044892427866
1775660197396,good,-14.7118400172531
1775660197396,realistic,-14.7236012563995
1775660197396,bad,-14.7530043542655
1775660197396,ideal,-14.7140356516866
1775660197396,good,-14.7213911984031
1775660197396,realistic,-14.7331600731495
1775660197396,bad,-14.7625822600155
1775660197396,ideal,-14.7235821956136
1775660197396,good,-14.7309425146476
1775660197396,realistic,-14.742719025102
1775660197396,bad,-14.772160301238
1775660197396,ideal,-14.7289919803542
1775660197396,good,-14.7363550037397
1775660197396,realistic,-14.7481358411565
1775660197396,bad,-14.7775879346985
1775660197396,ideal,-14.7385390643892
1775660197396,good,-14.7459068603622
1775660197396,realistic,-14.757695333919
1775660197396,bad,-14.787166517811
1775660197396,ideal,-14.7439490021604
1775660197396,good,-14.7513195025614
1775660197396,realistic,-14.763112303203
1775660197396,bad,-14.792594304807
1775660197396,ideal,-14.7493590929622
1775660197396,good,-14.7567322978677
1775660197396,realistic,-14.7685294257165
1775660197396,bad,-14.7980222453385
1775660197396,ideal,-14.7547689542181
1775660197396,good,-14.76214486351335
1775660197396,realistic,-14.77394631838575
1775660197396,bad,-14.80344995556675
1775660197809,ideal,-14.8862023366383
1775660197809,good,-14.89364394948405
1775660197809,realistic,-14.90555053003725
1775660197809,bad,-14.93531698142025
1775660197875,ideal,-14.9661231976143
1775660197875,good,-14.97360476290005
1775660197875,realistic,-14.98557526735725
1775660197875,bad,-15.01550152850025
1775660197875,ideal,-15.1477615180143
1775660197875,good,-15.15533388430005
1775660197875,realistic,-15.16744967035725
1775660197875,bad,-15.19773913550025
1775660198603,ideal,-15.4266652281024
1775660198603,good,-15.4343770183584
1775660198603,realistic,-15.446715882768
1775660198603,bad,-15.477563043792
1775660198603,ideal,-15.4316853969354
1775660198603,good,-15.4393996967739
1775660198603,realistic,-15.4517425765155
1775660198603,bad,-15.4825997758695
1775660198603,ideal,-15.4746993865131
1775660198603,good,-15.48243518904585
1775660198603,realistic,-15.49481247309825
1775660198603,bad,-15.52575568322925
1775660198603,ideal,-15.479719784892
1775660198603,good,-15.487458097122
1775660198603,realistic,-15.49983939669
1775660198603,bad,-15.53079264561
1775660198603,ideal,-15.538785995772
1775660198603,good,-15.546553835202
1775660198603,realistic,-15.55898237829
1775660198603,bad,-15.59005373601
1775660198653,ideal,-15.5441962396044
1775660198653,good,-15.5519667836154
1775660198653,realistic,-15.564399654033
1775660198653,bad,-15.595481830077
1775660198653,ideal,-15.5489699166489
1775660198653,good,-15.55674284702115
1775660198653,realistic,-15.56917953561675
1775660198653,bad,-15.60027125710575
1775660198653,ideal,-15.5543802369966
1775660198653,good,-15.5621558719881
1775660198653,realistic,-15.5745968879745
1775660198653,bad,-15.6056994279405
1775660198653,ideal,-15.6648144229173
1775660198653,good,-15.67264526396055
1775660198653,realistic,-15.68517460962975
1775660198653,bad,-15.71649797380275
1775660198653,ideal,-15.6702245902344
1775660198653,good,-15.6780581358204
1775660198653,realistic,-15.690591808758
1775660198653,bad,-15.721925991102
1775660198992,ideal,-15.7749782487768
1775660198992,good,-15.7828641607188
1775660198992,realistic,-15.795481619826
1775660198992,bad,-15.827025267594
1775660198992,ideal,-15.801757379532
1775660198992,good,-15.809656678362
1775660198992,realistic,-15.82229555649
1775660198992,bad,-15.85389275181
1775660215490,ideal,-16.064369006355
1775660215490,good,-16.0723995847425
1775660215490,realistic,-16.0852485101625
1775660215490,bad,-16.1173708237125
1775666089585,ideal,-16.3265691113901
1775666089585,good,-16.33473076361535
1775666089585,realistic,-16.34778940717575
1775666089585,bad,-16.38043601607675
1775666290262,ideal,-16.5885376811274
1775666290262,good,-16.5968302914459
1775666290262,realistic,-16.6100984679555
1775666290262,bad,-16.6432689092295
1775667762562,ideal,-13.21588619188464696410902227
1775667762562,good,-14.14399391827781065485292788
1775667762562,realistic,-15.6289662805068725600431771
1775667762562,bad,-19.3413971860795273230188
1775667762562,ideal,-12.54409550211691038049833594
1775667762562,good,-13.65459749229843253125843295
1775667762562,realistic,-15.43140067658886797247458845
1775667762562,bad,-19.87340863731495657551497702
1775667762562,ideal,-11.82781536269568130790680946
1775667762562,good,-13.13279070698267175047224961
1775667762562,realistic,-15.22075125784185645857695419
1775667762562,bad,-20.44065263498981822883871543
1775667763034,ideal,-9.11229856830996139137539264
1775667763034,good,-10.84347138985430750284878542
1775667763034,realistic,-13.61334790432526128120621446
1775667763034,bad,-20.53803919050264572709978685
1775667763034,ideal,-6.301954203326644906330180312
1775667763034,good,-8.474207588635746408482914544
1775667763034,realistic,-11.94981300513030881192729017
1775667763034,bad,-20.63882654636671482053822902
1775667763034,ideal,-3.577816720704779847206600264
1775667763034,good,-6.177620591135546083882867928
1775667763034,realistic,-10.3373067838247720625648973
1775667763034,bad,-20.73652226554783700926997051
1775667763306,ideal,-3.409741415451962002088755148
1775667763306,good,-6.033662557112355904309355022
1775667763306,realistic,-10.23193638376898614786231593
1775667763306,bad,-20.72762095041056175674471798
1775667763306,ideal,-0.517570815442547187273940358
1775667763306,good,-3.562276527665823805543922938
1775667763306,realistic,-8.433805667223066394775896195
1775667763306,bad,-20.61262851611617286785582907
1775667763306,ideal,2.105959432392080085453332346
1775667763306,good,-1.320446117555234411604529012
1775667763306,realistic,-6.802694997470937606897108333
1775667763306,bad,-20.50831719726019559512855632
1775667763306,ideal,5.312675224302198940672187537
1775667763306,good,1.41809009781564735046056637
1775667763306,realistic,-4.813246104562835193878028668
1775667763306,bad,-20.39158661050904155472451589
1775667763576,ideal,5.746392775361095734846457201
1775667763576,good,1.816479578864075686723505442
1775667763576,realistic,-4.471381535531156390273218524
1775667763576,bad,-20.19103432151923658276502813
1775667763576,ideal,19.49316544884124999951541089
1775667763576,good,14.43940346368370213408825467
1775667763576,realistic,6.353384287431625549404804186
1775667763576,bad,-13.86166365319856591230382376
1775667763576,ideal,21.11960626531211297766892213
1775667763576,good,15.93336401761530839507427619
1775667763576,realistic,7.635376421300421062922842226
1775667763576,bad,-13.10959256948679726745574466
1775667763723,ideal,36.26546828450831297766892219
1775667763723,good,29.90478353730200839507427619
1775667763723,realistic,19.72768794177192106292284222
1775667763723,bad,-5.7150510470532972674557446
1775667764049,ideal,36.42758949517707331964354984
1775667764049,good,29.33320171674484830130703959
1775667764049,realistic,17.98218127125328827196862278
1775667764049,bad,-10.39536984247561180137742142
1775667764049,ideal,36.43541456190824061142512731
1775667764049,good,28.77488746399877662452821997
1775667764049,realistic,16.5180441073436342454931678
1775667764049,bad,-14.12406428429422170209446503
1775667905497,ideal,38.45974331313515609964061551
1775667905497,good,30.49405934654354200051026261
1775667905497,realistic,17.74896499999695944190169753
1775667905497,bad,-14.11377086636949695461971754
1775667905497,ideal,39.1216491718469540794385953
1775667905497,good,31.05618639260722550219376429
1775667905497,realistic,18.15144594582365977860203423
1775667905497,bad,-14.11040517113525453037729329
1775667905497,ideal,45.01812719653788774947226528
1775667905497,good,36.06380149462453936302429176
1775667905497,realistic,21.73688037156318194470753363
1775667905497,bad,-14.08042243609021160108436395
1775667905828,ideal,49.51514101322040644156545581
1775667905828,good,39.26426445796556761255204214
1775667905828,realistic,22.86286196955782548613057943
1775667905828,bad,-18.14064425146152982992307938
1775667905978,ideal,48.93059536023750644156545581
1775667905978,good,38.68001113627541761255204214
1775667905978,realistic,22.27907637793607548613057943
1775667905978,bad,-18.72326051791227982992307938
1775667906375,ideal,63.56319260643863858352577959
1775667906375,good,52.02131910082148133426739533
1775667906375,realistic,33.55432149183402973545398038
1775667906375,bad,-12.61317253063459926157956136
1775667906578,ideal,64.78377490988816996797144972
1775667906578,good,52.74269048336091950304842127
1775667906578,realistic,33.47695540091731875917157559
1775667906578,bad,-14.68738230519168310052054319
1775667906578,ideal,66.16496014800211337668628698
1775667906578,good,53.5589791530765995361427401
1775667906578,realistic,33.3894095611957773912730649
1775667906578,bad,-17.03451441850627797090112789
1775667906578,ideal,66.76777063829297934469511212
1775667906578,good,53.92993995445039435136612676
1775667906578,realistic,33.38941086030225836203974998
1775667906578,bad,-17.96191187506808161127619685
1775667906915,ideal,74.82649367305788080539532132
1775667906915,good,60.69393012000652001795550844
1775667906915,realistic,38.08182843512434275805180687
1775667906915,bad,-18.44842577708110039170745193
1775668205949,ideal,79.15185911828199949748851185
1775668205949,good,63.72283055324314826748325882
1775668205949,realistic,39.03638484918098629947485267
1775668205949,bad,-22.67972941097441862054616736
1775668206623,ideal,93.906442028368967849376014
1775668206623,good,77.18562428704391734340189875
1775668206623,realistic,50.43231590092383653384331375
1775668206623,bad,-16.45095506437636549005315574
1775668206686,ideal,101.8411555472999466372548018
1775668206686,good,83.82603453472911077774533305
1775668206686,realistic,55.00184091461577340253018238
1775668206686,bad,-17.05864313566757003550770112
1775668206897,ideal,107.0728980287670641888430238
1775668206897,good,88.22706087369546204136694261
1775668206897,realistic,58.07372142558089860540521157
1775668206897,bad,-17.30962719470550998449912287
1775668206897,ideal,109.7654560485449292479666038
1775668206897,good,90.49208420124166236596698923
1775668206897,realistic,59.65468924555643535476760444
1775668206897,bad,-17.43879814365663217323086436
1775668206897,ideal,109.992818140434848097955011
1775668206897,good,90.68291777958023644433471473
