ts,profile,equity
1775658256489,ideal,-0.1253523000249
1775658256489,good,-0.12528961133715
1775658256489,realistic,-0.12518930943675
1775658256489,bad,-0.12493855468575
1775658256489,ideal,-0.3501498585195
1775658256489,good,-0.34997474856825
1775658256489,realistic,-0.34969457264625
1775658256489,bad,-0.34899413284125
1775658256489,ideal,-0.4984555184541
1775658256489,good,-0.49820624083935
1775658256489,realistic,-0.49780739665575
1775658256489,bad,-0.49681028619675
1775658256489,ideal,-0.6746950015065
1775658256489,good,-0.67435758652275
1775658256489,realistic,-0.67381772254875
1775658256489,bad,-0.67246806261375
1775658306022,ideal,-0.7540767259857
1775658306022,good,-0.75369961219995
1775658306022,realistic,-0.75309623014275
1775658306022,bad,-0.75158777499975
1775658306022,ideal,-0.8792870749065
1775658306022,good,-0.87884734342275
1775658306022,realistic,-0.87814377304875
1775658306022,bad,-0.87638484711375
1775658360313,ideal,-1.2549304312065
1775658360313,good,-1.25430284047275
1775658360313,realistic,-1.25329869529875
1775658360313,bad,-1.25078833236375
1775665882764,ideal,-2.3765290666065
1775665882764,good,-2.37534056437275
1775665882764,realistic,-2.37343896079875
1775665882764,bad,-2.36868495186375
1775665920515,ideal,-2.5080274836621
1775665920515,good,-2.50677321906735
1775665920515,realistic,-2.50476639571575
1775665920515,bad,-2.49974933733675
1775665920515,ideal,-3.0437320813101
1775665920515,good,-3.04220991083535
1775665920515,realistic,-3.03977443807575
1775665920515,bad,-3.03368575617675
1775665920515,ideal,-3.1882179963465
1775665920515,good,-3.18662356846275
1775665920515,realistic,-3.18407248384875
1775665920515,bad,-3.17769477231375
1775665984092,ideal,-3.3700011174495
1775665984092,good,-3.36831577982325
1775665984092,realistic,-3.36561923962125
1775665984092,bad,-3.35887788911625
1775665984092,ideal,-3.5949065733603
1775665984092,good,-3.59310876051105
1775665984092,realistic,-3.59023225995225
1775665984092,bad,-3.58304100855525
1775666013000,ideal,-4.5567241713603
1775666013000,good,-4.55444535351105
1775666013000,realistic,-4.55079924495225
1775666013000,bad,-4.54168397355525
1775666647279,ideal,-4.6936722762603
1775666647279,good,-4.69132497066105
1775666647279,realistic,-4.68756928170225
1775666647279,bad,-4.67818005930525
1775666850146,ideal,-5.0783207071851
1775666850146,good,-5.07578103889785
1775666850146,realistic,-5.07171756963825
1775666850146,bad,-5.06155889648925
1775666850146,ideal,-5.6577034314603
1775666850146,good,-5.65487401386105
1775666850146,realistic,-5.65034694570225
1775666850146,bad,-5.63902927530525
1775697282770,ideal,7.0777735390952555555555556
1775697282770,good,6.7861467719722833333333333
1775697282770,realistic,6.3195439445755277777777778
1775697282770,bad,5.1530368760836388888888889
1775698143535,ideal,21.1040891257508111111111112
1775698143535,good,20.5186514641556166666666666
1775698143535,realistic,19.5819512056033055555555556
1775698143535,bad,17.2402005592225277777777778
1775716036093,ideal,20.8176441162128111111111112
1775716036093,good,20.2323497057726166666666666
1775716036093,realistic,19.2958786490683055555555556
1775716036093,bad,16.9547010073075277777777778
1775716036093,ideal,20.4668366017508111111111112
1775716036093,good,19.8817176301556166666666666
1775716036093,realistic,18.9455272756033055555555556
1775716036093,bad,16.6050513892225277777777778
1775717862980,ideal,46.2475928508508111111111112
1775717862980,good,44.7720007520056166666666666
1775717862980,realistic,42.4110533938533055555555556
1775717862980,bad,36.5086849984725277777777778
1775718140934,ideal,46.1818947431008111111111112
1775718140934,good,44.7063354998806166666666666
1775718140934,realistic,42.3454407107283055555555556
1775718140934,bad,36.4432037378475277777777778
1775737663885,ideal,46.1657627701408111111111112
1775737663885,good,44.6902115945206166666666666
1775737663885,realistic,42.3293297135283055555555556
1775737663885,bad,36.4271250110475277777777778
1775737665109,ideal,46.1197866472048111111111112
1775737665109,good,44.6442584642446166666666666
1775737665109,realistic,42.2834133715083055555555556
1775737665109,bad,36.3813006396675277777777778
1775737666318,ideal,46.1146781891008111111111112
1775737666318,good,44.6391525608806166666666666
1775737666318,realistic,42.2783115557283055555555556
1775737666318,bad,36.3762090428475277777777778
1775738377089,ideal,45.9794847332008111111111112
1775738377089,good,44.5040267152306166666666666
1775738377089,realistic,42.1432938864783055555555556
1775738377089,bad,36.2414618145975277777777778
1775742965816,ideal,51.6185976157130111111111112
1775742965816,good,49.9815469015233166666666666
1775742965816,realistic,47.3622657588198055555555556
1775742965816,bad,40.8140629020610277777777778
1775742965816,ideal,76.9636214503008111111111112
1775742965816,good,74.6002914750806166666666666
1775742965816,realistic,70.8189635147283055555555556
1775742965816,bad,61.3656436138475277777777778
