ts,profile,equity
1775658311787,ideal,-0.089966464695
1775658311787,good,-0.0900114389325
1775658311787,realistic,-0.0900833977125
1775658311787,bad,-0.0902632946625
1775658330181,ideal,-0.1798669687005
1775658330181,good,-0.17995688420175
1775658330181,realistic,-0.18010074900375
1775658330181,bad,-0.18046041100875
1775658342898,ideal,-0.2698822996668
1775658342898,good,-0.2700172138338
1775658342898,realistic,-0.270233076501
1775658342898,bad,-0.270772733169
1775658352954,ideal,-0.3598102096524
1775658352954,good,-0.3599900787834
1775658352954,realistic,-0.360277869393
1775658352954,bad,-0.360997345917
1775658360595,ideal,-0.4497871254372
1775658360595,good,-0.4500119740302
1775658360595,realistic,-0.450371731779
1775658360595,bad,-0.451271126151
1775658368082,ideal,-0.5381311057002
1775658368082,good,-0.5384001174507
1775658368082,realistic,-0.5388305362515
1775658368082,bad,-0.5399065832535
1775658376717,ideal,-0.6281291937186
1775658376717,good,-0.6284431955151
1775658376717,realistic,-0.6289455983895
1775658376717,bad,-0.6302016055755
1775658386918,ideal,-0.6730051111074
1775658386918,good,-0.6733415463759
1775658386918,realistic,-0.6738798428055
1775658386918,bad,-0.6752255838795
1775658398218,ideal,-0.76304744027226
1775658398218,good,-0.76342888770291
1775658398218,realistic,-0.76403920359195
1775658398218,bad,-0.76556499331455
1775658408647,ideal,-0.80795251449126
1775658408647,good,-0.80835640996941
1775658408647,realistic,-0.80900264273445
1775658408647,bad,-0.81061822464705
1775658417014,ideal,-0.89773034646726
1775658417014,good,-0.89817912188541
1775658417014,realistic,-0.89889716255445
1775658417014,bad,-0.90069226422705
1775658425348,ideal,-0.98748190218906
1775658425348,good,-0.98797554441171
1775658425348,realistic,-0.98876537196795
1775658425348,bad,-0.99073994085855
1775658433555,ideal,-1.07755268874426
1775658433555,good,-1.07809135735491
1775658433555,realistic,-1.07895322713195
1775658433555,bad,-1.08110790157455
1775658449133,ideal,-1.16735876386776
1775658449133,good,-1.16794232653716
1775658449133,realistic,-1.1688760268082
1775658449133,bad,-1.1712102774858
1775668361948,ideal,7.62857186726564
1775668361948,good,7.42414154992974
1775668361948,realistic,7.0970530421923
1775668361948,bad,6.2793317728487
1775668777787,ideal,7.58357910651284
1775668777787,good,7.37912629729494
1775668777787,realistic,7.0520018025463
1775668777787,bad,6.2341905656747
1775670024642,ideal,7.5385538960714
1775670024642,good,7.3340785787499
1775670024642,realistic,7.0069180710355
1775670024642,bad,6.1890168017495
1775671640364,ideal,7.45472475902744
1775671640364,good,7.20027604959604
1775671640364,realistic,6.7931581145058
1775671640364,bad,5.7753632767802
1775672355186,ideal,7.36708451808194
1775672355186,good,7.11267963753679
1775672355186,realistic,6.70563182866455
1775672355186,bad,5.68801230648395
1775672613132,ideal,7.27710376212926
1775672613132,good,7.02265390020241
1775672613132,realistic,6.61553412111945
1775672613132,bad,5.59773467341205
1775673340076,ideal,7.16960342429073
1775673340076,good,6.865166611142555
1775673340076,realistic,6.378067710105475
1775673340076,bad,5.160320457512775
1775673358211,ideal,6.69681530611633
1775673358211,good,6.292631017532155
1775673358211,realistic,5.645936155797475
1775673358211,bad,4.029199001460775
1775676317817,ideal,6.60691699404913
1775676317817,good,6.202687765296955
1775676317817,realistic,5.555920999293475
1775676317817,bad,3.939004084284775
1775676336855,ideal,6.51681629946352
1775676336855,good,6.11254202937232
1775676336855,realistic,5.4657031972264
1775676336855,bad,3.8486061168616
1775676584044,ideal,6.51104752743982
1775676584044,good,6.10677037353937
1775676584044,realistic,5.45992692729865
1775676584044,bad,3.84281831169685
1775676588199,ideal,6.42698827795162
1775676588199,good,6.02266910283067
1775676588199,realistic,5.37575842263715
1775676588199,bad,3.75848172215335
1775682522089,ideal,6.38198057421082
1775682522089,good,5.97763889973787
1775682522089,realistic,5.33069222058115
1775682522089,bad,3.71332552268935
1775683330792,ideal,6.33695108611402
1775683330792,good,5.93258690139907
1775683330792,realistic,5.28560420585515
1775683330792,bad,3.66814746699535
1775683375001,ideal,6.24693315272734
1775683375001,good,5.84252396804569
1775683375001,realistic,5.19546927255505
1775683375001,bad,3.57783253382845
1775683472538,ideal,6.22439470108837
1775683472538,good,5.819974249434295
1775683472538,realistic,5.172901526787775
1775683472538,bad,3.555219720171475
1775684140172,ideal,6.20187575770027
1775684140172,good,5.797444048825945
1775684140172,realistic,5.150353314627025
1775684140172,bad,3.532626479129725
1775685068094,ideal,6.19085249892517
1775685068094,good,5.736384204363095
1775685068094,realistic,5.009234933063775
1775685068094,bad,3.191361754815475
1775685076005,ideal,6.03567712537213
1775685076005,good,5.531200983927455
1775685076005,realistic,4.724039157615975
1775685076005,bad,2.706134591837275
1775694639151,ideal,3.068024834990881525262154434
1775694639151,good,2.46448098737799954242135367
1775694639151,realistic,1.498810831197388369876072451
1775694639151,bad,-0.915364559254139561487130606
1775701633289,ideal,3.062404791606961525262154434
1775701633289,good,2.45885813453427954242135367
1775701633289,realistic,1.493183483217988369876072451
1775701633289,bad,-0.921003145072739561487130606
1775701959959,ideal,3.039920995746961525262154434
1775701959959,good,2.43636309902427954242135367
1775701959959,realistic,1.470670464267988369876072451
1775701959959,bad,-0.943561122622739561487130606
1775713356600,ideal,2.987471090706961525262154434
1775713356600,good,2.33397543138427954242135367
1775713356600,realistic,1.288382376467988369876072451
1775713356600,bad,-1.325600260822739561487130606
1775713362630,ideal,3.069640360746661525262154434
1775713362630,good,2.40361462277322954242135367
1775713362630,realistic,1.337973442015738369876072451
1775713362630,bad,-1.326129509877989561487130606
1775727408439,ideal,3.064016467292881525262154434
1775727408439,good,2.39798791793499954242135367
1775727408439,realistic,1.332342238962388369876072451
1775727408439,bad,-1.331771958469139561487130606
1775735451839,ideal,3.024649501457721525262154434
1775735451839,good,2.34614309801193954242135367
1775735451839,realistic,1.260532852498688369876072451
1775735451839,bad,-1.453492761284439561487130606
1775737964069,ideal,3.002145003257721525262154434
1775737964069,good,2.32364985431193954242135367
1775737964069,realistic,1.238057615998688369876072451
1775737964069,bad,-1.475922979784439561487130606
1775741661116,ideal,-3.798361032847499942802669205
1775741661116,good,-4.670365276075878017159199238
1775741661116,realistic,-6.065572065241282936129647279
1775741661116,bad,-9.553589038154795233555767413
1775742675131,ideal,-15.0787064617883045185891325
1775742675131,good,-16.14331376859843664442326025
1775742675131,realistic,-17.84668545949464804575786463
1775742675131,bad,-22.10511468673517654909437562
1775744370192,ideal,-15.44621436435575999999999999
1775744370192,good,-16.51483151124516
1775744370192,realistic,-18.2246189462682
1775744370192,bad,-22.49908753382580000000000002
1775744370192,ideal,-15.48219256927535999999999999
1775744370192,good,-16.55079172346376
1775744370192,realistic,-18.2605503701652
1775744370192,bad,-22.53494698691880000000000002
