ts,profile,equity
1775658637043,ideal,-0.11997959112
1775658637043,good,-0.12003956892
1775658637043,realistic,-0.1201355334
1775658637043,bad,-0.1203754446
1775658637102,ideal,-0.2250617163426
1775658637102,good,-0.2251742246991
1775658637102,realistic,-0.2253542380695
1775658637102,bad,-0.2258042714955
1775658640808,ideal,-0.450100307061
1775658640808,good,-0.4503253122135
1775658640808,realistic,-0.4506853204575
1775658640808,bad,-0.4515853410675
1775658642795,ideal,-0.675115376076
1775658642795,good,-0.675452866266
1775658642795,realistic,-0.67599285057
1775658642795,bad,-0.67734281133
1775658678944,ideal,-0.7625399394924
1775658678944,good,-0.7629211332234
1775658678944,realistic,-0.763531043193
1775658678944,bad,-0.765055818117
1775658678944,ideal,-0.9002062132416
1775658678944,good,-0.9006562263456
1775658678944,realistic,-0.901376247312
1775658678944,bad,-0.903176299728
1775658745974,ideal,-1.1252726375256
1775658745974,good,-1.1258351613396
1775658745974,realistic,-1.126735199442
1775658745974,bad,-1.128985294698
1775658747800,ideal,-1.3503142528488
1775658747800,good,-1.3509892749708
1775658747800,realistic,-1.352069310366
1775658747800,bad,-1.354769398854
1775658761331,ideal,-1.575330663132
1775658761331,good,-1.576118170962
1775658761331,realistic,-1.57737818349
1775658761331,bad,-1.58052821481
1775658770536,ideal,-1.80042076215
1775658770536,good,-1.801320792525
1775658770536,realistic,-1.802760841125
1775658770536,bad,-1.806360962625
1775658952079,ideal,-1.809347937228
1775658952079,good,-1.810252430298
1775658952079,realistic,-1.81169961921
1775658952079,bad,-1.81531759149
1775658952079,ideal,-1.810835799741
1775658952079,good,-1.8117410365935
1775658952079,realistic,-1.8131894155575
1775658952079,bad,-1.8168103629675
1775658952340,ideal,-1.8290869132338
1775658952340,good,-1.8300012738183
1775658952340,realistic,-1.8314642507535
1775658952340,bad,-1.8351216930915
1775658952340,ideal,-1.9807496987256
1775658952340,good,-1.9817398755396
1775658952340,realistic,-1.983324158442
1775658952340,bad,-1.987284865698
1775658952340,ideal,-2.0254847649498
1775658952340,good,-2.0264973048243
1775658952340,realistic,-2.0281173686235
1775658952340,bad,-2.0321675281215
1775658973149,ideal,-2.2505222754522
1775658973149,good,-2.2516473115827
1775658973149,realistic,-2.2534473693915
1775658973149,bad,-2.2579475139135
1775659647399,ideal,-2.475532897578
1775659647399,good,-2.476770416523
1775659647399,realistic,-2.478750446835
1775659647399,bad,-2.483700522615
1775659651851,ideal,-2.7006151290228
1775659651851,good,-2.7019651665798
1775659651851,realistic,-2.704125226671
1775659651851,bad,-2.709525376899
1775659921510,ideal,-2.9256695809128
1775659921510,good,-2.9271321231948
1775659921510,realistic,-2.929472190846
1775659921510,bad,-2.935322359974
1775659924660,ideal,-3.1506958571688
1775659924660,good,-3.1522708900908
1775659924660,realistic,-3.154790942766
1775659924660,bad,-3.161091074454
1775660167906,ideal,-3.3756935617116
1775660167906,good,-3.3773810709906
1775660167906,realistic,-3.380081085837
1775660167906,bad,-3.386831122953
1775660178359,ideal,-3.4211994970788
1775660178359,good,-3.4229097547758
1775660178359,realistic,-3.425646167091
1775660178359,bad,-3.432487197879
1775660178359,ideal,-3.6007607961576
1775660178359,good,-3.6025608165516
1775660178359,realistic,-3.605440849182
1775660178359,bad,-3.612640930758
1775660183080,ideal,-3.8257985677122
1775660183080,good,-3.8277110844927
1775660183080,realistic,-3.8307711113415
1775660183080,bad,-3.8384211784635
1775661845619,ideal,-3.820349918173874060822898031
1775661845619,good,-3.827114374222751222420989861
1775661845619,realistic,-3.837937503900954680977936795
1775661845619,bad,-3.864995328096463327370304113
1775661846029,ideal,-3.263844667600311091234346924
1775661846029,good,-3.766168557105710166964817957
1775661846029,realistic,-4.569886780314348688133572155
1775661846029,bad,-6.579182338335944991055456059
1775662525063,ideal,-2.203970235378033631484794028
1775662525063,good,-3.206513670003797495527727745
1775662525063,realistic,-4.810583165405019677996422783
1775662525063,bad,-8.820756903908075134168157199
1775662525751,ideal,-1.627945855960636493738819027
1775662525751,good,-2.81548834521076678592725064
1775662525751,realistic,-4.715556328010975253428742512
1775662525751,bad,-9.465726285011496422182468428
1775662525751,ideal,-1.4725979922991427549194988
1775662525751,good,-2.71003282802314752534287376
1775662525751,realistic,-4.68992856518155515802027504
1775662525751,bad,-9.63966790807757423971377432
1775662525751,ideal,-0.6477420790522733452593914
1775662525751,good,-2.15009202879685056648777528
1775662525751,realistic,-4.55385194838817412045319112
1775662525751,bad,-10.56325174736648300536672596
1775662525971,ideal,1.404427896205675491949911049
1775662525971,good,-0.597535751498680799045914645
1775662525971,realistic,-3.800677587825650864639237931
1775662525971,bad,-11.8085321786430760286225398
1775662527876,ideal,3.974245574350612880143113319
1775662527876,good,1.472850190732511806797854159
1775662527876,realistic,-2.529382423056449910554563215
1775662527876,bad,-12.53496395752885420393559872
1775665160606,ideal,7.03822622826753881932021541
1775665160606,good,4.037592815494227251043531132
1775665160606,realistic,-0.763420644943071258199166972
1775665160606,bad,-12.76595429603631753130590272
1775665453605,ideal,10.59391362836944758497316723
1775665453605,good,7.094457540396226952892070359
1775665453605,realistic,1.495327799639073941562311561
1775665453605,bad,-12.50249655225380858676207434
1775667360007,ideal,11.10416465020947334525939265
1775667360007,good,7.541854436180383899821110333
1775667360007,realistic,1.842158093733840787119854755
1775667360007,bad,-12.40708276238251699463327289
1775667360272,ideal,11.60722903793907620751341771
1775667360272,good,7.982949967235186523553966645
1775667360272,realistic,2.184103454108963029218841003
1775667360272,bad,-12.31301282870659570661896161
1775667360272,ideal,13.72548944198622540250447323
1775667360272,good,9.840277221212373285629100902
1775667360272,realistic,3.623937667974209898628500954
1775667360272,bad,-11.9169112151211985688729866
1775667360272,ideal,14.08482114750737030411449113
1775667360272,good,10.15534545768008944543828398
1775667360272,realistic,3.868184353956440071556348274
1775667360272,bad,-11.84971840535268336314847854
1775667360272,ideal,14.64178529106514490161001888
1775667360272,good,10.64370122420504949314251775
1775667360272,realistic,4.24676671722889683959451162
1775667360272,bad,-11.74556955021148479427549105
1775668341527,ideal,16.05334617424915205724508153
1775668341527,good,11.90026300035205605247465853
1775668341527,realistic,5.25532992211670244484197724
1775668341527,bad,-11.35700277347168157423971284
1775668341928,ideal,19.18096178827543076923077034
1775668341928,good,14.68444487864349487179487332
1775668341928,realistic,7.490017823232397435897433207
1775668341928,bad,-10.49604981529534615384615284
1775669797921,ideal,24.23303907544520518783542163
1775669797921,good,19.23827365901871308884913706
1775669797921,realistic,11.24664899273632573047107632
1775669797921,bad,-8.732412672969642665474059705
1775669799276,ideal,29.77217613088146243291592265
1775669799276,good,24.27957988556946556350626305
1775669799276,realistic,15.49142589307027057245080172
1775669799276,bad,-6.478959088177716905187834191
1775669799401,ideal,29.8366420534663998211091248
1775669799401,good,24.33872351667399150268336502
1775669799401,realistic,15.5420538578061381932021434
1775669799401,bad,-6.449620289363495080500893224
1775669799401,ideal,35.79973989257310822898032349
1775669799401,good,29.80950939384264087656529721
1775669799401,realistic,20.22514059587389311270124865
1775669799401,bad,-3.735781399047976296958853758
1775669799898,ideal,42.31485093244094257602862415
1775669799898,good,35.82718319556103902802623954
1775669799898,realistic,25.44691481655319335122241711
1775669799898,bad,-0.503756130966420840787118405
1775669809044,ideal,46.30649005855035277280858844
1775669809044,good,39.53535124890655670840787351
1775669809044,realistic,28.70152915347648300536672225
1775669809044,bad,1.616973914901298747763865558
1775669809044,ideal,49.31662982240576547406082463
1775669809044,good,42.33172230244746001788909004
1775669809044,realistic,31.1558702705141712880143071
1775669809044,bad,3.216240190680949463327371867
1775672355111,ideal,49.09153898524016547406082463
1775672355111,good,42.10651894236786001788909004
1775672355111,realistic,30.9304868737721712880143071
1775672355111,bad,2.990406702282949463327371867
1775672633871,ideal,48.86647256095616547406082463
1775672633871,good,41.88134000737386001788909004
1775672633871,realistic,30.7051279216421712880143071
1775672633871,bad,2.764597707312949463327371867
1775673664834,ideal,48.64162992142016547406082463
1775673664834,good,41.65638496899786001788909004
1775673664834,realistic,30.4799930451221712880143071
1775673664834,bad,2.539013235432949463327371867
1775673665012,ideal,48.64143094563296547406082463
1775673665012,good,41.65618589374266001788909004
1775673665012,realistic,30.4797938107181712880143071
1775673665012,bad,2.538813603156949463327371867
1775673811936,ideal,48.41641453534976547406082463
1775673811936,good,41.43105699775146001788909004
1775673811936,realistic,30.2544849375941712880143071
1775673811936,bad,2.313054787200949463327371867
1775673912922,ideal,48.19132443633176547406082463
1775673912922,good,41.20585437618846001788909004
1775673912922,realistic,30.0291022799591712880143071
1775673912922,bad,2.087222039385949463327371867
1775674230559,ideal,47.96626043353196547406082463
1775674230559,good,40.98067786388916001788909004
1775674230559,realistic,29.8037457524606712880143071
1775674230559,bad,1.861415473889449463327371867
1775674536323,ideal,47.74122292302956547406082463
1775674536323,good,40.75552785713076001788909004
1775674536323,realistic,29.5784157516926712880143071
1775674536323,bad,1.635635488097449463327371867
1775674547366,ideal,47.51621230090376547406082463
1775674547366,good,40.53040475219046001788909004
1775674547366,realistic,29.3531126742491712880143071
1775674547366,bad,1.409882479395949463327371867
1775674920048,ideal,47.49900478408856547406082463
1775674920048,good,40.51318863333726001788909004
1775674920048,realistic,29.3358827921351712880143071
1775674920048,bad,1.392618189129949463327371867
1775674920548,ideal,47.31891922017776547406082463
1775674920548,good,40.33301304464946001788909004
1775674920548,realistic,29.1555631638041712880143071
1775674920548,bad,1.211938461690949463327371867
1775674920548,ideal,47.29113006945896547406082463
1775674920548,good,40.30521000213366001788909004
1775674920548,realistic,29.1277378944131712880143071
1775674920548,bad,1.184057625111949463327371867
1775683334958,ideal,49.97894367243808071099383204
1775683334958,good,42.49359753004127911166919459
1775683334958,realistic,30.51704370220639655274976676
1775683334958,bad,0.5756591326191901554512198504
1775683655749,ideal,53.15896380067782688428166717
1775683655749,good,45.17460718700440048300406428
1775683655749,realistic,32.39963660512691824095989144
1775683655749,bad,0.4622101504332126358494825619
1775686885302,ideal,52.93395317855202688428166717
1775686885302,good,44.94948408206410048300406428
1775686885302,realistic,32.17433352768341824095989144
1775686885302,bad,0.2364571417317126358494825619
1775687244062,ideal,52.70887094710722688428166717
1775687244062,good,44.72428933200730048300406428
1775687244062,realistic,31.94895874784741824095989144
1775687244062,bad,0.0106322874477126358494825619
1775687268312,ideal,52.48381649521722688428166717
1775687268312,good,44.49912237539230048300406428
1775687268312,realistic,31.72361178367241824095989144
1775687268312,bad,-0.2151646956272873641505174381
1775687287470,ideal,52.25879021896122688428166717
1775687287470,good,44.27398360849630048300406428
1775687287470,realistic,31.49829303175241824095989144
1775687287470,bad,-0.4409334101072873641505174381
1775687419832,ideal,52.24833896712882688428166717
1775687419832,good,44.26352713208290048300406428
1775687419832,realistic,31.48782819600941824095989144
1775687419832,bad,-0.4514191441742873641505174381
1775687420237,ideal,52.22053469338602688428166717
1775687420237,good,44.23570895898310048300406428
1775687420237,realistic,31.45998778393841824095989144
1775687420237,bad,-0.4793151536732873641505174381
1775687420237,ideal,52.19894201271342688428166717
1775687420237,good,44.21410548412900048300406428
1775687420237,realistic,31.43836703839391824095989144
1775687420237,bad,-0.5009790759437873641505174381
1775687420237,ideal,52.15151699260602688428166717
1775687420237,good,44.16665675625310048300406428
1775687420237,realistic,31.39088037808841824095989144
1775687420237,bad,-0.5485605673232873641505174381
1775687420237,ideal,52.03379251441842688428166717
1775687420237,good,44.04887342759650048300406428
1775687420237,realistic,31.27300288868141824095989144
1775687420237,bad,-0.6666734586062873641505174381
1775687459273,ideal,51.80872527997242688428166717
1775687459273,good,43.82369368203550048300406428
1775687459273,realistic,31.04764312533641824095989144
1775687459273,bad,-0.8924832664112873641505174381
1775689234809,ideal,51.58368750841782688428166717
1775689234809,good,43.59854341409440048300406428
1775689234809,realistic,30.82231286317691824095989144
1775689234809,bad,-1.118263514116787364150517438
1775689252538,ideal,51.35867959583382688428166717
1775689252538,good,43.37342302005040048300406428
1775689252538,realistic,30.59701249879691824095989144
1775689252538,bad,-1.344013804336787364150517438
1775689285962,ideal,51.13360373766342688428166717
1775689285962,good,43.14823464645400048300406428
1775689285962,realistic,30.37164410051891824095989144
1775689285962,bad,-1.569832264318787364150517438
1775690596282,ideal,50.90855862964182688428166717
1775690596282,good,42.92307703837840048300406428
1775690596282,realistic,30.14630649235691824095989144
1775690596282,bad,-1.795619872696787364150517438
1775696816600,ideal,50.68354466784822688428166717
1775696816600,good,42.69795059210080048300406428
1775696816600,realistic,29.92100007090491824095989144
1775696816600,bad,-2.021376232084787364150517438
1775696844502,ideal,50.45846434478502688428166717
1775696844502,good,42.47275775137960048300406428
1775696844502,realistic,29.69562720193091824095989144
1775696844502,bad,-2.247199171690787364150517438
1775696859409,ideal,50.23341605912802688428166717
1775696859409,good,42.24759696408010048300406428
1775696859409,realistic,29.47028641200341824095989144
1775696859409,bad,-2.472989968188287364150517438
1775696877307,ideal,50.00840020695642688428166717
1775696877307,good,42.02246862647950048300406428
1775696877307,realistic,29.24497809771641824095989144
1775696877307,bad,-2.698748224191287364150517438
1775696878043,ideal,49.78331957783202688428166717
1775696878043,good,41.79727547954410048300406428
1775696878043,realistic,29.01960492228341824095989144
1775696878043,bad,-2.924571470868287364150517438
1775696902439,ideal,49.55827227337122688428166717
1775696902439,good,41.57211567393130048300406428
1775696902439,realistic,28.79426511482741824095989144
1775696902439,bad,-3.150361282932287364150517438
1775696910654,ideal,49.33325868965322688428166717
1775696910654,good,41.34698960591830048300406428
1775696910654,realistic,28.56895907194241824095989144
1775696910654,bad,-3.376117262997287364150517438
1775696944396,ideal,49.10818191329922688428166717
1775696944396,good,41.12180031367930048300406428
1775696944396,realistic,28.34358975428741824095989144
1775696944396,bad,-3.601936644192287364150517438
1775703090208,ideal,47.33332837593381558503681551
1775703090208,good,38.84546721848477230148604483
1775703090208,realistic,25.2648893665663030478048032
1775703090208,bad,-8.686555263229870086398276384
1775713043171,ideal,46.06393451551527491464919563
