ts,profile,equity
1775696664253,ideal,-0.0052079062104
1775696664253,good,-0.0052053017364
1775696664253,realistic,-0.005201134578
1775696664253,bad,-0.005190716682
1775696673102,ideal,-0.4183234745688
1775696673102,good,-0.4181142709908
1775696673102,realistic,-0.417779545266
1775696673102,bad,-0.416942730954
1775696673102,ideal,-0.7332033404979
1775696673102,good,-0.73283666549265
1775696673102,realistic,-0.73224998548425
1775696673102,bad,-0.73078328546325
1775696674036,ideal,-1.1830383584973
1775696674036,good,-1.18244672099055
1775696674036,realistic,-1.18150010097975
1775696674036,bad,-1.17913355095275
1775696674911,ideal,-1.6328733764967
1775696674911,good,-1.63205677648845
1775696674911,realistic,-1.63075021647525
1775696674911,bad,-1.62748381644225
1775696676247,ideal,-1.7580121897275
1775696676247,good,-1.75713300779625
1775696676247,realistic,-1.75572631670625
1775696676247,bad,-1.75220958898125
1775696677050,ideal,-1.7688498467625
1775696677050,good,-1.76796524491875
1775696677050,realistic,-1.76654988196875
1775696677050,bad,-1.76301147459375
1775696677182,ideal,-1.8554066009487
1775696677182,good,-1.85447871207045
1775696677182,realistic,-1.85299408986525
1775696677182,bad,-1.84928253435225
1775696677657,ideal,-2.0757722939937
1775696677657,good,-2.07473420022795
1775696677657,realistic,-2.07307325020275
1775696677657,bad,-2.06892087513975
1775696678259,ideal,-2.5256073119931
1775696678259,good,-2.52434425572585
1775696678259,realistic,-2.52232336569825
1775696678259,bad,-2.51727114062925
1775696679064,ideal,-2.6205451876197
1775696679064,good,-2.61923465291895
1775696679064,realistic,-2.61713779739775
1775696679064,bad,-2.61189565859475
1775696679132,ideal,-3.9649926683349
1775696679132,good,-3.96300977542215
1775696679132,realistic,-3.95983714676175
1775696679132,bad,-3.95190557511075
1775696679132,ideal,-4.3323169907745
1775696679132,good,-4.33015039896075
1775696679132,realistic,-4.32668385205875
1775696679132,bad,-4.31801748480375
1775696679132,ideal,-5.6819665468665
1775696679132,good,-5.67912499528275
1775696679132,realistic,-5.67457851274875
1775696679132,bad,-5.66321230641375
1775696679132,ideal,-7.0314716008647
1775696679132,good,-7.02795516177645
1775696679132,realistic,-7.02232885923525
1775696679132,bad,-7.00826310288225
1775696680083,ideal,-7.4813066188641
1775696680083,good,-7.47756521727435
1775696680083,realistic,-7.47157897473075
1775696680083,bad,-7.45661336837175
1775696681088,ideal,-7.9312861389573
1775696681088,good,-7.92731970260055
1775696681088,realistic,-7.92097340442975
1775696681088,bad,-7.90510765900275
1775696682034,ideal,-8.3812656590505
1775696682034,good,-8.37707418792675
1775696682034,realistic,-8.37036783412875
1775696682034,bad,-8.35360194963375
1775696683016,ideal,-8.8312451791437
1775696683016,good,-8.82682867325295
1775696683016,realistic,-8.81976226382775
1775696683016,bad,-8.80209624026475
1775696683976,ideal,-8.8761853303155
1775696683976,good,-8.87174634985425
1775696683976,realistic,-8.86464398111625
1775696683976,bad,-8.84688805927125
1775696695525,ideal,-9.0099484413417
1775696695525,good,-9.00544256594595
1775696695525,realistic,-8.99823316531275
1775696695525,bad,-8.98020966372975
1775696695525,ideal,-9.1335883164201
1775696695525,good,-9.12902060872035
1775696695525,realistic,-9.12171227640075
1775696695525,bad,-9.10344144560175
1775696695525,ideal,-9.4486100074785
1775696695525,good,-9.44388475742475
1775696695525,realistic,-9.43632435733875
1775696695525,bad,-9.41742335712375
1775696695525,ideal,-9.5644609956459
1775696695525,good,-9.55967780851065
1775696695525,realistic,-9.55202470909425
1775696695525,bad,-9.53289196055325
1775696695525,ideal,-9.8793382475979
1775696695525,good,-9.87439759034265
1775696695525,realistic,-9.86649253873425
1775696695525,bad,-9.84672990971325
1775696695525,ideal,-9.9951892357653
1775696695525,good,-9.99019064142855
1775696695525,realistic,-9.98219289048975
1775696695525,bad,-9.96219851314275
1775696695525,ideal,-10.1110402239327
1775696695525,good,-10.10598369251445
1775696695525,realistic,-10.09789324224525
1775696695525,bad,-10.07766711657225
1775696695525,ideal,-19.5619743180009
1775696695525,good,-19.55219137425315
1775696695525,realistic,-19.53653866425675
1775696695525,bad,-19.49740688926575
1775696695525,ideal,-19.6778253061683
1775696695525,good,-19.66798442533905
1775696695525,realistic,-19.65223901601225
1775696695525,bad,-19.61287549269525
1775696695525,ideal,-19.8115884171945
1775696695525,good,-19.80168064143075
1775696695525,realistic,-19.78582820020875
1775696695525,bad,-19.74619709715375
1775696695525,ideal,-22.972447836351
1775696695525,good,-22.9609593147285
1775696695525,realistic,-22.9425776801325
1775696695525,bad,-22.8966235936425
1775696695525,ideal,-23.0882988245184
1775696695525,good,-23.0767523658144
1775696695525,realistic,-23.058278031888
1775696695525,bad,-23.012092197072
1775696695525,ideal,-23.223502250424
1775696695525,good,-23.211888176484
1775696695525,realistic,-23.19330565818
1775696695525,bad,-23.14684936242
1775696695525,ideal,-23.255568730845
1775696695525,good,-23.2439386204575
1775696695525,realistic,-23.2253304438375
1775696695525,bad,-23.1788100022875
1775696695525,ideal,-23.340779840214
1775696695525,good,-23.329107115749
1775696695525,realistic,-23.310430756605
1775696695525,bad,-23.263739858745
1775696695525,ideal,-23.4512860820445
1775696695525,good,-23.43955809340575
1775696695525,realistic,-23.42079331158375
1775696695525,bad,-23.37388135702875
1775696695725,ideal,-23.4821921995845
1775696695725,good,-23.47044875479575
1775696695725,realistic,-23.45165924313375
1775696695725,bad,-23.40468546397875
1775696696196,ideal,-23.5636457056245
1775696696196,good,-23.55186152593575
1775696696196,realistic,-23.53300683843375
1775696696196,bad,-23.48587011967875
1775696697174,ideal,-24.0135174632745
1775696697174,good,-24.00150830271075
1775696697174,realistic,-23.98229364580875
1775696697174,bad,-23.93425700355375
