ts,profile,equity
1775659504952,ideal,-0.2136082131
1775659504952,good,-0.21371499585
1775659504952,realistic,-0.21388584825
1775659504952,bad,-0.21431297925
1775695857624,ideal,-22.4639072631
1775695857624,good,-22.45288667085
1775695857624,realistic,-22.43525372325
1775695857624,bad,-22.39117135425
1775713412998,ideal,-22.534356205932
1775713412998,good,-22.534672570762
1775713412998,realistic,-22.53517875449
1775713412998,bad,-22.53644421381
1775713412998,ideal,-22.600402089837
1775713412998,good,-22.6113468519295
1775713412998,realistic,-22.6288584712775
1775713412998,bad,-22.6726375196475
1775713412998,ideal,-22.6714914487266
1775713412998,good,-22.6937734880431
1775713412998,realistic,-22.7294247509495
1775713412998,bad,-22.8185529082155
1775713412998,ideal,-24.0074188781766
1775713412998,good,-24.2422763661181
1775713412998,realistic,-24.6180483468245
1775713412998,bad,-25.5574782985905
1775713412998,ideal,-24.0831214325121
1775713412998,good,-24.33002486254235
1775713412998,realistic,-24.72507035059075
1775713412998,bad,-25.71268407071175
1775713412998,ideal,-24.3042750289521
1775713412998,good,-24.58660695008235
1775713412998,realistic,-25.03833802389075
1775713412998,bad,-26.16766570841175
1775713412998,ideal,-24.3712214979381
1775713412998,good,-24.66418226653335
1775713412998,realistic,-25.13291949628575
1775713412998,bad,-26.30476257066675
1775713412998,ideal,-24.4464137207277
1775713412998,good,-24.75142017629695
1775713412998,realistic,-25.23943050520775
1775713412998,bad,-26.45945632748475
1775713412998,ideal,-24.5219461645479
1775713412998,good,-24.83899847716765
1775713412998,realistic,-25.34628217735925
1775713412998,bad,-26.61449142783825
1775713412998,ideal,-33.7070017094271
1775713412998,good,-35.48233189424485
1775713412998,realistic,-38.32286018995325
1775713412998,bad,-45.42418092922425
1775713412998,ideal,-33.7818537111861
1775713412998,good,-35.56922941290135
1775713412998,realistic,-38.42903053564575
1775713412998,bad,-45.57853334250675
1775713412998,ideal,-34.0040079577161
1775713412998,good,-35.82681265075635
1775713412998,realistic,-38.74330015962075
1775713412998,bad,-46.03451893178175
1775713412998,ideal,-34.0785197384445
1775713412998,good,-35.91336977830575
1775713412998,realistic,-38.84912984208375
1775713412998,bad,-46.18853000152875
1775713412998,ideal,-34.8981493264569
1775713412998,good,-36.86549818134915
1775713412998,realistic,-40.01325634917675
1775713412998,bad,-47.88265176874575
1775713412998,ideal,-35.1183022728069
1775713412998,good,-37.12107911857415
1775713412998,realistic,-40.32552207180175
1775713412998,bad,-48.33662945487075
1775713412998,ideal,-133.7511153436041
1775713412998,good,-151.66236490136435
1775713412998,realistic,-180.32036419378075
1775713412998,bad,-251.96536242482175
1775713412998,ideal,-133.8256271243325
1775713412998,good,-151.74892202891375
1775713412998,realistic,-180.42619387624375
1775713412998,bad,-252.11937349456875
1775713412998,ideal,-138.8510753962149
1775713412998,good,-157.57224245050215
1775713412998,realistic,-187.52610973736175
1775713412998,bad,-262.41077795451075
1775713412998,ideal,-163.0849363166457
1775713412998,good,-185.72367528700995
1775713412998,realistic,-221.94565763959275
1775713412998,bad,-312.50061352104975
1775713412998,ideal,-163.3080912132657
1775713412998,good,-185.98225967517995
1775713412998,realistic,-222.26092921424275
1775713412998,bad,-312.95760306189975
1775713412998,ideal,-163.3744372921977
1775713412998,good,-186.05923430144195
1775713412998,realistic,-222.35490951623275
1775713412998,bad,-313.09409755320975
1775713412998,ideal,-163.4409334686432
1775713412998,good,-186.1363591002512
1775713412998,realistic,-222.449040110824
1775713412998,bad,-313.230742637256
1775713412998,ideal,-163.5162958019481
1775713412998,good,-186.22376720556835
1775713412998,realistic,-222.55572145136075
1775713412998,bad,-313.38560706584175
1775713412998,ideal,-163.5913179142224
1775713412998,good,-186.3108349197784
1775713412998,realistic,-222.662062128668
1775713412998,bad,-313.540130150892
1775713412998,ideal,-163.6572137006139
1775713412998,good,-186.38735902839865
1775713412998,realistic,-222.75559155285425
1775713412998,bad,-313.67617286399325
1775713412998,ideal,-163.7238599745729
1775713412998,good,-186.46463399975515
1775713412998,realistic,-222.84987244004675
1775713412998,bad,-313.81296854077575
1775713412998,ideal,-163.7906563460454
1775713412998,good,-186.5420591436589
1775713412998,realistic,-222.9443036198405
1775713412998,bad,-313.9499148102945
1775713412998,ideal,-176.2416038256174
1775713412998,good,-200.9876306721609
1775713412998,realistic,-240.5812736266305
1775713412998,bad,-339.5653810128045
1775713412998,ideal,-176.3662903856994
1775713412998,good,-201.1321576074479
1775713412998,realistic,-240.7575451622455
1775713412998,bad,-339.8210140492395
1775713412998,ideal,-176.4332368546854
1775713412998,good,-201.2097329238989
1775713412998,realistic,-240.8521266346405
1775713412998,bad,-339.9581109114945
1775713412998,ideal,-176.5091095195362
1775713412998,good,-201.2976516158767
1775713412998,realistic,-240.9593189700215
1775713412998,bad,-340.1134873553835
1775729743467,ideal,-328.8120238375362
1775729743467,good,-367.8038767288767
1775729743467,realistic,-430.1908413550215
1775729743467,bad,-586.1582529203835
