ts,profile,equity
1775659428952,ideal,-0.0760603670316
1775659428952,good,-0.0760983896106
1775659428952,realistic,-0.076159225737
1775659428952,bad,-0.076311316053
1775659489129,ideal,-1.1893174739316
1775659489129,good,-1.1899120137606
1775659489129,realistic,-1.190863277487
1775659489129,bad,-1.193241436803
1775659510714,ideal,-1.1942821916766
1775659510714,good,-1.1948792133681
1775659510714,realistic,-1.1958344480745
1775659510714,bad,-1.1982225348405
1775659510714,ideal,-1.6405312496418
1775659510714,good,-1.6413513512463
1775659510714,realistic,-1.6426635138135
1775659510714,bad,-1.6459439202315
1775659510714,ideal,-1.732676410989
1775659510714,good,-1.7335425759615
1775659510714,realistic,-1.7349284399175
1775659510714,bad,-1.7383930998075
1775659682418,ideal,-6.850266317411399999999999798
1775659682418,good,-8.056037528439900000000000106
1775659682418,realistic,-9.985271466085500000000000269
1775659682418,bad,-14.80835631019949999999999986
1775659688312,ideal,-9.991797053205199999999999798
1775659688312,good,-13.08270502621820000000000011
1775659688312,realistic,-18.02815778303900000000000027
1775659688312,bad,-30.39178967509099999999999986
1775659688312,ideal,-10.9695304321673999999999998
1775659688312,good,-14.64714638008590000000000011
1775659688312,realistic,-20.53133189675550000000000027
1775659688312,bad,-35.24179568842949999999999986
1775659749173,ideal,-12.4146994085537999999999998
1775659749173,good,-16.09159262743830000000000011
1775659749173,realistic,-21.97462177765350000000000027
1775659749173,bad,-36.68219465319149999999999986
1775659886764,ideal,-13.9908832747205999999999998
1775659886764,good,-17.66698824402210000000000011
1775659886764,realistic,-23.54875619490450000000000027
1775659886764,bad,-38.25317607211049999999999986
1775659886764,ideal,-15.7489713327713999999999998
1775659886764,good,-19.42419708219990000000000011
1775659886764,realistic,-25.30455828128550000000000027
1775659886764,bad,-40.00546127899949999999999986
1775659980751,ideal,-15.8017185861125999999999998
1775659980751,good,-19.47697070389410000000000011
1775659980751,realistic,-25.35737409234450000000000027
1775659980751,bad,-40.05838256347049999999999986
1775660066954,ideal,-15.66150146198005740060140305
1775660066954,good,-19.69154416694105957233544951
1775660066954,realistic,-26.13961249487866304710992342
1775660066954,bad,-42.25978331472267173404610746
1775660066954,ideal,-15.64597877443180314066154338
1775660066954,good,-19.71149978777325552956899445
1775660066954,realistic,-26.21633340911957935182091574
1775660066954,bad,-42.47841746248538890745071822
1775660066954,ideal,-15.63784643345518075509522196
1775660066954,good,-19.72323557961568526561977962
1775660066954,realistic,-26.25985821347249248245907144
1775660066954,bad,-42.60141479811451052455730025
1775660066954,ideal,-15.63341927226527430671566967
1775660066954,good,-19.7308714684663818910791849
1775660066954,realistic,-26.28679498238815402606080883
1775660066954,bad,-42.67660376719258436351486791
1775660066954,ideal,-15.62916222159066785833611738
1775660066954,good,-19.73867755287062851653859018
1775660066954,realistic,-26.31390208291856556966254622
1775660066954,bad,-42.75196340803840820247243557
1775660066954,ideal,-15.6156408342224135983962577
1775660066954,good,-19.76063547433282447377213512
1775660066954,realistic,-26.39262689850948187437353854
1775660066954,bad,-42.97260545895112537587704633
1775660066954,ideal,-15.60412074703415933845639802
1775660066954,good,-19.78459569642502043100568006
1775660066954,realistic,-26.47335561545039817908453086
1775660066954,bad,-43.19525541301384254928165709
1775660066954,ideal,-15.59884303326775289007684573
1775660066954,good,-19.79138060750796705646508534
1775660066954,realistic,-26.49944072629230972268626825
1775660066954,bad,-43.26959102325316638823922475
1775660066954,ideal,-15.58632229598949863013698606
1775660066954,good,-19.81433967928516301369863028
1775660066954,realistic,-26.57916749255822602739726056
1775660066954,bad,-43.49123702574088356164383551
1775660066954,ideal,-15.58087447170779218175743377
1775660066954,good,-19.82095439481455963915803556
1775660066954,realistic,-26.60508227178538757099899795
1775660066954,bad,-43.56540196421245740060140317
1775660066954,ideal,-15.5643511340695379218175741
1775660066954,good,-19.8399088653317555963915805
1775660066954,realistic,-26.68080123535130387570999026
1775660066954,bad,-43.78303216040017457400601393
1775660066954,ideal,-15.34960729916332181757433983
1775660066954,good,-20.42562337794449639158035435
1775660066954,realistic,-28.54724910399437570998997689
1775660066954,bad,-48.85131341911907400601403268
1775660066954,ideal,-15.10168627252856070831941162
1775660066954,good,-20.85323315358350741730705001
1775660066954,realistic,-30.05570816327142215168727057
1775660066954,bad,-53.06189568749120898763782155
1775660066954,ideal,-15.08716423507030644837955194
1775660066954,good,-20.87418992473070337454059495
1775660066954,realistic,-30.13343102818733845639826288
1775660066954,bad,-53.28153378682892616104243231
1775660066954,ideal,-14.95037194385587297026394884
1775660066954,good,-21.14116070684754336785833637
1775660066954,realistic,-31.04642272763421600400935542
1775660066954,bad,-55.80957777960089759438690276
1775660066954,ideal,-14.94616543013189669228199094
1775660066954,good,-21.14759791073895215502839985
1775660066954,realistic,-31.06988987971024089542265311
1775660066954,bad,-55.87561980213846274640828599
1775660066954,ideal,-14.94054749533489024390243865
1775660066954,good,-21.15404243071479878048780513
1775660066954,realistic,-31.0956343273226524390243905
1775660066954,bad,-55.94961406884228658536585365
1775660066954,ideal,-14.9311715737929519211493481
1775660066954,good,-21.17234095532386162712997018
1775660066954,realistic,-31.15821196577331715669896451
1775660066954,bad,-56.12288949189695598062145004
1775660066954,ideal,-14.92623408105714547276979581
1775660066954,good,-21.17946625751390825258937546
1775660066954,realistic,-31.1846377398447287003007019
1775660066954,bad,-56.1975664456717798195790177
1775660066954,ideal,-14.92302796520010410958904071
1775660066954,good,-21.18761408073461095890410984
1775660066954,realistic,-31.21095186558982191780821944
1775660066954,bad,-56.26929632772784931506849314
1775660066954,ideal,-14.91911113555609766120948842
1775660066954,good,-21.19576055624595758436351512
1775660066954,realistic,-31.23839962934973346140995683
1775660066954,bad,-56.3449973121091731540260608
1775660066954,ideal,-14.91478429159825629802873332
1775660066954,good,-21.2027870911138602906782495
1775660066954,realistic,-31.26359157033882667891747437
1775660066954,bad,-56.41560276840124264951553624
1775660066954,ideal,-14.91109786369801493484797822
1775660066954,good,-21.21045436218336299699298388
1775660066954,realistic,-31.28942475975991989642499191
1775660066954,bad,-56.48685075370131214500501168
1775660066954,ideal,-14.90157907668976067490811854
1775660066954,good,-21.23641688490555895422652882
1775660066954,realistic,-31.37215737805083620113598422
1775660066954,bad,-56.71150861091402931840962244
1775660066954,ideal,-14.77268720641183912462412253
1775660066954,good,-21.41193104649715026729034441
1775660066954,realistic,-32.03472119063364809555629828
1775660066954,bad,-58.59169655097489266622118276
1775660066954,ideal,-14.76317144608036588706982918
1775660066954,good,-21.42937994104781919478783856
1775660066954,realistic,-32.09531353299574448713665244
1775660066954,bad,-58.76014751286555771800868694
1775660066954,ideal,-14.75820418606492452388907408
1775660066954,good,-21.43576573971412190110257294
1775660066954,realistic,-32.11986422555283770464416998
1775660066954,bad,-58.83011044014962721349816238
1775660066954,ideal,-14.75428735642091807550952179
1775660066954,good,-21.44391221522546852656197822
1775660066954,realistic,-32.14731198931274924824590737
1775660066954,bad,-58.90581142453095105245573004
1775660066954,ideal,-13.09290629355021830938857246
1775660066954,good,-26.31894410662305776812562707
1775660066954,realistic,-47.48060460753960090210491164
1775660066954,bad,-100.3847558598309587370531242
1775660066954,ideal,-13.08238685645196404944871278
1775660066954,good,-26.34390547903025372535917201
1775660066954,realistic,-47.56233527515551720681590396
1775660066954,bad,-100.608409765468675910457735
1775660066954,ideal,-12.93669946018492241897761352
1775660066954,good,-26.62823639987876872702973668
1775660066954,realistic,-48.53469550338892281991313082
1775660066954,bad,-103.3008432621643080521216174
1775660066954,ideal,-12.93159185693381597059806123
1775660066954,good,-26.63519150651526535248914196
1775660066954,realistic,-48.56095094584558436351486821
