ts,profile,equity
1775658255749,ideal,-3.2506686912375
1775658255749,good,-3.25229370058125
1775658255749,realistic,-3.25489371553125
1775658255749,bad,-3.26139375290625
1775658344976,ideal,-6.4654800309387
1775658344976,good,-6.46871212453545
1775658344976,realistic,-6.47388347429025
1775658344976,bad,-6.48681184867725
1775658698745,ideal,-9.6722582903451
1775658698745,good,-9.67709345245785
1775658698745,realistic,-9.68482971183825
1775658698745,bad,-9.70417036028925
1775658764058,ideal,-14.5930350989151
1775658764058,good,-14.60033015745285
1775658764058,realistic,-14.61200225111325
1775658764058,bad,-14.64118248526425
1775658764058,ideal,-24.1847105179086
1775658764058,good,-24.1968004551801
1775658764058,realistic,-24.2161443548145
1775658764058,bad,-24.2645041039005
1775658767499,ideal,-25.7830956550134
1775658767499,good,-25.7959846250469
1775658767499,realistic,-25.8166069771005
1775658767499,bad,-25.8681628572345
1775658858487,ideal,-26.9304983896734
1775658858487,good,-26.9439609463569
1775658858487,realistic,-26.9655010370505
1775658858487,bad,-27.0193512637845
1775658878109,ideal,-27.3396957327774
1775658878109,good,-27.3533628472209
1775658878109,realistic,-27.3752302303305
1775658878109,bad,-27.4298986881045
1775658878109,ideal,-27.3515240934765
1775658878109,good,-27.36519712091775
1775658878109,realistic,-27.38707396482375
1775658878109,bad,-27.44176607458875
1775658878786,ideal,-30.1251148347033
1775658878786,good,-30.14017438021155
1775658878786,realistic,-30.16426965302475
1775658878786,bad,-30.22450783505775
1775658935738,ideal,-31.7826779670405
1775658935738,good,-31.79856612839175
1775658935738,realistic,-31.82398718655375
1775658935738,bad,-31.88753983195875
1775658935738,ideal,-33.4402410993777
1775658935738,good,-33.45695787657195
1775658935738,realistic,-33.48370472008275
1775658935738,bad,-33.55057182885975
1775658935738,ideal,-36.7154376297021
1775658935738,good,-36.73379167770735
1775658935738,realistic,-36.76315815451575
1775658935738,bad,-36.83657434653675
1775659047462,ideal,-57.63484095957590546733983839
1775659047462,good,-68.72997914712218416433410967
1775659047462,realistic,-86.48220024719623007952494216
1775659047462,bad,-130.8627529973813448675020273
1775659134727,ideal,-65.31814134004359169435215956
1775659134727,good,-83.48339028636934833887043234
1775659134727,realistic,-112.5477886004905589700996662
1775659134727,bad,-185.2087843857935855481727574
1775659136043,ideal,-65.59091666281389172835953655
1775659136043,good,-84.00717125108364472362466365
1775659136043,realistic,-113.4731785923152495160488644
1775659136043,bad,-187.1381969453942614971093729
1775659136043,ideal,-65.65505363672305575901849488
1775659136043,good,-84.13032654873601469511078603
1775659136043,realistic,-113.6907632079567489928584492
1775659136043,bad,-187.5918548560085847372276139
1775659820513,ideal,-91.99993004686968700395008779
1775659820513,good,-121.538602060436408503152223
1775659820513,realistic,-168.8004772821431629018756351
1775659820513,bad,-286.9551653364100488986841759
1775659926781,ideal,-110.4134544848112472754859133
1775659926781,good,-143.6218288750890973291129315
1775659926781,realistic,-196.7552278995336574149161559
1775659926781,bad,-329.5887254606450576294242287
1775660054844,ideal,-127.4942471477895282287388497
1775660054844,good,-164.3865079751014606063776921
1775660054844,realistic,-223.4141252988005524105998347
1775660054844,bad,-370.9831686080482819211552042
1775660178359,ideal,-167.4995112730215946686896698
1775660178359,good,-211.7630256057920513746828169
1775660178359,realistic,-282.584648538224782104271846
1775660178359,bad,-459.6387058693066089282444343
1775660410772,ideal,-174.644168190721962874408141
1775660410772,good,-220.5070076508767928898422592
1775660410772,realistic,-293.8875507871245209145368418
1775660410772,bad,-477.3389086277438409762733144
1775660410898,ideal,-180.0097960223904151620582313
1775660410898,good,-227.0737265236168650796557418
1775660410898,realistic,-302.3760153255791849478117521
1775660410898,bad,-490.6317373304849846182017943
1775660411330,ideal,-180.1303006663640565254924532
1775660411330,good,-227.221206025486913982263846
1775660411330,realistic,-302.5666546000834859130980681
1775660411330,bad,-490.9302760365749157401836396
1775660411531,ideal,-184.6079995424372566615219611
1775660411531,good,-232.7012338318160995212807712
1775660411531,realistic,-309.6504086948222480968948609
1775660411531,bad,-502.0233458523376195359301015
1775660515042,ideal,-194.4080345658168844324691974
1775660515042,good,-244.6541974850834395636591949
1775660515042,realistic,-325.0480581559099277735631842
1775660515042,bad,-526.0327098329761482983231744
1775660515574,ideal,-194.6051338524723929369293957
1775660515574,good,-244.8945966881329970125827306
1775660515574,realistic,-325.3577372251899635336280598
1775660515574,bad,-526.5155885678323798362413997
1775660516038,ideal,-194.873318127757756967588354
1775660516038,good,-245.221697243102066984068853
1775660516038,realistic,-325.7791038276529630104376446
1775660516038,bad,-527.1726202890302030763596407
1775660516440,ideal,-196.6762919302786380411750859
1775660516440,good,-247.4207588054242482381562781
1775660516440,realistic,-328.6119058056572245533261788
1775660516440,bad,-531.5897733062396653412509479
1775660517318,ideal,-201.3775945873895376147748976
1775660517318,good,-253.1548709437374627985455318
1775660517318,realistic,-335.9985131138941430925785396
1775660517318,bad,-543.1076185392858438276610769
1775660709113,ideal,-210.989644417743818568027834
1775660709113,good,-266.4545423295658260758102924
1775660709113,realistic,-355.1983789884810380882622184
1775660709113,bad,-577.0579706357690681193920524
1775660736359,ideal,-220.8646491719669779789154266
1775660736359,good,-279.9238371087231102414523779
1775660736359,realistic,-374.4185378075329218615114922
1775660736359,bad,-610.655289554557450911659298
1775660736491,ideal,-240.4799729069320953776126825
1775660736491,good,-306.6787181594745529337902544
1775660736491,realistic,-412.5967105635424850236743608
1775660736491,bad,-677.3916915737123152483846491
1775660765020,ideal,-251.7200199295889547885002751
1775660765020,good,-321.5123725493997870994323399
1775660765020,realistic,-433.1801367410971187969236346
1775660765020,bad,-712.3495472203404480406518947
1775660817790,ideal,-264.2486392053842938158892934
1775660817790,good,-337.7307120571616304954613247
1775660817790,realistic,-455.3020286200053691827765655
1775660817790,bad,-749.2303200271147159010646919
1775660837824,ideal,-271.8979922635024533889659147
1775660837824,good,-348.0811748019615128037774364
1775660837824,realistic,-469.9742668634960078674758616
1775660837824,bad,-774.7069970173322455267219498
1775660838020,ideal,-272.2701990798496021320009423
1775660838020,good,-348.5848138360982771980537333
1775660838020,realistic,-470.6881974460961573037381893
1775660838020,bad,-775.9466564710908575679493545
1775660863495,ideal,-280.8135324253962624035367678
1775660863495,good,-360.8027856411188160240144418
1775660863495,realistic,-488.7855907862749018167787101
1775660863495,bad,-808.7426036491651162986894073
1775660919417,ideal,-281.1277992301857323907186026
1775660919417,good,-361.2314388254327758482224623
1775660919417,realistic,-489.3972621778280453802286277
1775660919417,bad,-809.8118205588162192102440676
1775660921303,ideal,-285.1996439552535000000000006
1775660921303,good,-366.6835957096372500000000018
1775660921303,realistic,-497.0579185166512499999999934
1775660921303,bad,-822.9937255341862499999999993
1775660951899,ideal,-285.2762373535095000000000006
1775660951899,good,-366.7601508035332500000000018
1775660951899,realistic,-497.1344123235712499999999934
1775660951899,bad,-823.0700661236662499999999993
1775660951959,ideal,-285.3509159168091000000000006
1775660951959,good,-366.8347920200818500000000018
1775660951959,realistic,-497.2089937853182499999999934
