ts,profile,equity
1775663785812,ideal,-1.6771761536688
1775663785812,good,-1.6763373978408
1775663785812,realistic,-1.674995388516
1775663785812,bad,-1.671640365204
1775663785883,ideal,-2.494069066404
1775663785883,good,-2.492821782414
1775663785883,realistic,-2.49082612803
1775663785883,bad,-2.48583699207
1775667378847,ideal,-2.498757203844
1775667378847,good,-2.497512263454
1775667378847,realistic,-2.49552035883
1775667378847,bad,-2.49054059727
1775667378847,ideal,-6.679906066404
1775667378847,good,-6.680751282414
1775667378847,realistic,-6.68210362803
1775667378847,bad,-6.68548449207
1775667401260,ideal,-10.858406599404
1775667401260,good,-10.861340647914
1775667401260,realistic,-10.86603512553
1775667401260,bad,-10.87777131957
1775672217875,ideal,-15.029525656404
1775672217875,good,-15.034544847414
1775672217875,realistic,-15.04257555303
1775672217875,bad,-15.06265231707
1775674544848,ideal,-15.478547669037
1775674544848,good,-15.4833423041295
1775674544848,realistic,-15.4910137202775
1775674544848,bad,-15.5101922606475
1775674544848,ideal,-17.94597481989
1775674544848,good,-17.949535494615
1775674544848,realistic,-17.955232574175
1775674544848,bad,-17.969475273075
1775674544848,ideal,-17.954754003702
1775674544848,good,-17.958310287957
1775674544848,realistic,-17.964000342765
1775674544848,bad,-17.978225479785
1775674545593,ideal,-18.393551226702
1775674545593,good,-18.396888068457
1775674545593,realistic,-18.402227015265
1775674545593,bad,-18.415574382285
1775674545593,ideal,-18.959704113474
1775674545593,good,-18.962757822159
1775674545593,realistic,-18.967643756055
1775674545593,bad,-18.979858590795
1775674545593,ideal,-19.408739938344
1775674545593,good,-19.411569084204
1775674545593,realistic,-19.41609571758
1775674545593,bad,-19.42741230102
1775674545593,ideal,-20.880173292804
1775674545593,good,-20.882266574814
1775674545593,realistic,-20.88561582603
1775674545593,bad,-20.89398895407
1775674546465,ideal,-23.170499535924
1775674546465,good,-23.171447425734
1775674546465,realistic,-23.17296404943
1775674546465,bad,-23.17675560867
1775674546465,ideal,-23.233440235266
1775674546465,good,-23.234356648431
1775674546465,realistic,-23.235822909495
1775674546465,bad,-23.239488562155
1775674546465,ideal,-23.807207578842
1775674546465,good,-23.807837050947
1775674546465,realistic,-23.808844206315
1775674546465,bad,-23.811362094735
1775674547451,ideal,-26.733512200842
1775674547451,good,-26.732678227947
1775674547451,realistic,-26.731343871315
1775674547451,bad,-26.728007979735
1775674549194,ideal,-26.800819276734
1775674549194,good,-26.799951643569
1775674549194,realistic,-26.798563430505
1775674549194,bad,-26.795092897845
1775674549194,ideal,-27.336481222914
1775674549194,good,-27.335345705199
1775674549194,realistic,-27.333528876855
1775674549194,bad,-27.328986805995
1775674549194,ideal,-27.91588953807
1775674549194,good,-27.914464258245
1775674549194,realistic,-27.912183810525
1775674549194,bad,-27.906482691225
