ts,profile,equity
1775662973967,ideal,-1.407455554824
1775662973967,good,-1.408159141884
1775662973967,realistic,-1.40928488118
1775662973967,bad,-1.41209922942
1775662973967,ideal,-1.642940482392
1775662973967,good,-1.643761788372
1775662973967,realistic,-1.64507587794
1775662973967,bad,-1.64836110186
1775695857624,ideal,-36.986655848607
1775695857624,good,-40.6207807576245
1775695857624,realistic,-46.4353806120525
1775695857624,bad,-60.9718802481225
1775697072206,ideal,-38.623393055592
1775697072206,good,-42.258336169572
1775697072206,realistic,-48.07424515194
1775697072206,bad,-62.61401760786
