ts,profile,equity
1775658748044,ideal,-24.464844310464
1775658748044,good,-24.477074286624
1775658748044,realistic,-24.49664224848
1775658748044,bad,-24.54556215312
1775658756040,ideal,-24.504097256739
1775658756040,good,-24.5529755360865
1775658756040,realistic,-24.6311807830425
1775658756040,bad,-24.8266939004325
1775658762961,ideal,-24.685631312449
1775658762961,good,-24.8349161060715
1775658762961,realistic,-25.0737717758675
1775658762961,bad,-25.6709109503575
1775658763301,ideal,-25.308734692859
1775658763301,good,-25.8026580625065
1775658763301,realistic,-26.5929354539425
1775658763301,bad,-28.5686289325325
1775658773590,ideal,-25.3370845837466
1775658773590,good,-25.8309937756131
1775658773590,realistic,-26.6212484825995
1775658773590,bad,-28.5968852500655
1775658776211,ideal,-25.4004591706196
1775658776211,good,-25.9482814171686
1775658776211,realistic,-26.824797011647
1775658776211,bad,-29.016085997843
1775658786291,ideal,-25.6296860775196
1775658786291,good,-26.2561618413186
1775658786291,realistic,-27.258523063397
1775658786291,bad,-29.764426118593
1775658793289,ideal,-25.6661004623516
1775658793289,good,-26.3034225882306
1775658793289,realistic,-27.323137989637
1775658793289,bad,-29.872426493153
1775658796772,ideal,-26.85851741985596
1775658796772,good,-27.49643563499586
1775658796772,realistic,-28.5171047792197
1775658796772,bad,-31.0687776397793
1775658850953,ideal,-71.34819502301896
1775658850953,good,-88.50653428356636
1775658850953,realistic,-115.9598771004422
1775658850953,bad,-184.5932341426318
1775658851664,ideal,-71.42489506650196
1775658851664,good,-88.61171547325686
1775658851664,realistic,-116.1106281240647
1775658851664,bad,-184.8579097510843
1775658860311,ideal,-71.84264914010696
1775658860311,good,-89.19358729337436
1775658860311,realistic,-116.9550883386022
1775658860311,bad,-186.3588409516718
1775658861966,ideal,-72.49277331820096
1775658861966,good,-90.08512309170336
1775658861966,realistic,-118.2328827293072
1775658861966,bad,-188.6022818233168
1775658875559,ideal,-72.47057080650136
1775658875559,good,-90.11037305575476
1775658875559,realistic,-118.3340566545602
1775658875559,bad,-188.8932656515738
1775658876708,ideal,-72.13972938943816
1775658876708,good,-90.48662480603356
1775658876708,realistic,-119.8416574725862
1775658876708,bad,-193.2292391389678
1775658877716,ideal,-72.13367583678856
1775658877716,good,-90.49350925175996
1775658877716,realistic,-119.8692427157142
1775658877716,bad,-193.3085763755998
1775658877779,ideal,-71.70819229171576
1775658877779,good,-90.97739343400516
1775658877779,realistic,-121.8081152616682
1775658877779,bad,-198.8849198308258
