ts,profile,equity
1775658096624,ideal,-0.47381694444
1775658096624,good,-0.47405380554
1775658096624,realistic,-0.4744327833
1775658096624,bad,-0.4753802277
1775658308104,ideal,-0.88793785828908
1775658308104,good,-0.88796761751178
1775658308104,realistic,-0.8880152322681
1775658308104,bad,-0.8881342691589
1775658312267,ideal,-0.90687572555796
1775658312267,good,-0.90689601395286
1775658312267,realistic,-0.9069284753847
1775658312267,bad,-0.9070096289643
1775658796901,ideal,-1.37200323245796
1775658796901,good,-1.37225603810286
1775658796901,realistic,-1.3726605271347
1775658796901,bad,-1.3736717497143
1775658800975,ideal,-1.71747249254096
1775658800975,good,-1.76758698589336
1775658800975,realistic,-1.8477701752572
1775658800975,bad,-2.0482281486668
1775658878041,ideal,-18.27229861896596
1775658878041,good,-19.30737124088086
1775658878041,realistic,-20.9634874359447
1775658878041,bad,-25.1037779236043
1775659418143,ideal,-13.88477411900834
1775659418143,good,-15.27787371127919
1775659418143,realistic,-17.50683305891255
1775659418143,bad,-23.07923142799595
1775659418143,ideal,-9.49724961905072
1775659418143,good,-11.24837618167752
1775659418143,realistic,-14.0501786818804
1775659418143,bad,-21.0546849323876
1775659564350,ideal,-5.94531676854572
1775659564350,good,-7.93658001741002
1775659564350,realistic,-11.1226012155929
1775659564350,bad,-19.0876542110501
1775659609988,ideal,-6.39544727664572
1775659609988,good,-8.38693554576002
1775659609988,realistic,-11.5733167763429
1775659609988,bad,-19.5392698528001
1775659616903,ideal,-26.67956858332572
1775659616903,good,-29.68269361914002
1775659616903,realistic,-34.4876936764429
1775659616903,bad,-46.5001938197001
1775660021271,ideal,-27.19275314831544
1775660021271,good,-30.19613472510404
1775660021271,realistic,-35.0015452479658
1775660021271,bad,-47.0150715551202
1775660066406,ideal,-27.17896211616441
1775660066406,good,-30.193894849700435
1775660066406,realistic,-35.017787223358075
1775660066406,bad,-47.077518157502175
1775660066406,ideal,-27.1444658487514
1775660066406,good,-30.1882921261299
1775660066406,realistic,-35.0584141699355
1775660066406,bad,-47.2337192794495
1775660066406,ideal,-27.10996958133839
1775660066406,good,-30.182689402559365
1775660066406,realistic,-35.099041116512925
1775660066406,bad,-47.389920401396825
1775660066406,ideal,-26.98069267019906
1775660066406,good,-30.16169284694671
1775660066406,realistic,-35.25129312974295
1775660066406,bad,-47.97529383673355
1775660066518,ideal,-26.96690163804803
1775660066518,good,-30.159452971543105
1775660066518,realistic,-35.267535105135225
1775660066518,bad,-48.037740439115525
1775660066603,ideal,-26.93240537063502
1775660066603,good,-30.15385024797257
1775660066603,realistic,-35.30816205171265
1775660066603,bad,-48.19394156106285
1775660149174,ideal,-27.44409692768286
1775660149174,good,-30.66579759964001
1775660149174,realistic,-35.82051867477145
1775660149174,bad,-48.70732136260005
1775660149174,ideal,-27.95706820582374
1775660149174,good,-31.17902531213309
1775660149174,realistic,-36.33415668222805
1775660149174,bad,-49.22198510746545
1775660150677,ideal,-29.63323966427025333138001762
1775660150677,good,-33.55744356769940262818634628
1775660150677,realistic,-39.83616981318604150307647225
1775660150677,bad,-55.5329854269026386903017873
1775660156847,ideal,-33.02378456555033068268385592
1775660156847,good,-37.41017274961399311553862674
1775660156847,realistic,-44.42839384411585300810626027
1775660156847,bad,-61.9739465803705027395253443
1775660160139,ideal,-33.52863453675461068268385592
1775660160139,good,-37.91527509532897311553862674
1775660160139,realistic,-44.93389998904795300810626027
1775660160139,bad,-62.4804622233454027395253443
1775660162561,ideal,-33.74249553596155998317354461
1775660162561,good,-38.1785691372324865778461967
1775660162561,realistic,-45.27628689926596912932244026
1775660162561,bad,-63.02058130434967550801304937
1775660184304,ideal,-36.22239759723988272026283961
1775660184304,good,-41.03297662964822099396822986
1775660184304,realistic,-48.72990308150156223189685436
1775660184304,bad,-67.97221921113491532671841597
1775660242566,ideal,-49.09082544320247643509981078
1775660242566,good,-55.02786225104230970666304811
1775660242566,realistic,-64.52712114358604294116422764
1775660242566,bad,-88.27526837494537602741717719
1775660251182,ideal,-49.50981128601495643509981078
1775660251182,good,-55.44705754488598970666304811
1775660251182,realistic,-64.94665155907964294116422764
1775660251182,bad,-88.69563659456377602741717719
1775660251182,ideal,-49.92983805737151643509981078
1775660251182,good,-55.86729428763394970666304811
1775660251182,realistic,-65.36722425605384294116422764
1775660251182,bad,-89.11704917710357602741717719
1775660263240,ideal,-50.34244518689643643509981078
1775660263240,good,-56.28010767947116970666304811
1775660263240,realistic,-65.78036766759074294116422764
1775660263240,bad,-89.53101763788967602741717719
1775660281228,ideal,-51.75643225117596642125765772
1775660281228,good,-57.85431489359027154344384941
1775660281228,realistic,-67.61092712145315973894175586
1775660281228,bad,-92.00245769111038022768652278
1775660281228,ideal,-58.23570437828303632886044536
1775660281228,good,-65.06775919050103424744115964
1775660281228,realistic,-75.99904689004983091717030205
1775660281228,bad,-103.3272661389218225914931591
1775660281306,ideal,-60.29660827440463014993678195
1775660281306,good,-67.36218596627485841935786636
1775660281306,realistic,-78.66711027326722365043160091
1775660281306,bad,-106.9294210407481367281159384
1775660284139,ideal,-62.35675495335623754929069234
1775660284139,good,-69.74943490212016288299859639
