ts,profile,equity
1775658236788,ideal,-0.12585493137852
1775658236788,good,-0.12579199132482
1775658236788,realistic,-0.1256912872389
1775658236788,bad,-0.1254395270241
1775659056030,ideal,-4.56547092902892
1775659056030,good,-4.56762735310122
1775659056030,realistic,-4.5710776316169
1775659056030,bad,-4.5797033279061
1775659702899,ideal,-6.8114273168862
1775659702899,good,-6.8147064946017
1775659702899,realistic,-6.8199531789465
1775659702899,bad,-6.8330698898085
1775659960548,ideal,-6.84411700656681
1775659960548,good,-6.847412525858835
1775659960548,realistic,-6.852685356726075
1775659960548,bad,-6.865867433894175
1775660892566,ideal,-6.97455341916579
1775660892566,good,-6.977783707205265
1775660892566,realistic,-6.982952168068425
1775660892566,bad,-6.995873320226325
1775660972879,ideal,-29.48072396258179
1775660972879,good,-34.463713309161265
1775660972879,realistic,-42.436496263688425
1775660972879,bad,-62.368453650006325
1775661202291,ideal,-54.23571641136243000000000002
1775661202291,good,-59.80061712189350500000000002
1775661202291,realistic,-68.704458258743225
1775661202291,bad,-90.96406110086752499999999998
1775662305910,ideal,-54.67271131286643000000000002
1775662305910,good,-60.23783047715750500000000002
1775662305910,realistic,-69.142021140023225
1775662305910,bad,-91.40249779718752499999999998
1775664586137,ideal,-24.11945314025655000000000002
1775664586137,good,-34.66599174952292500000000002
1775664586137,realistic,-51.540453524349125
1775664586137,bad,-93.72660796141462499999999998
1775665214001,ideal,-20.41911234376615000000000002
1775665214001,good,-31.46339283180652500000000002
1775665214001,realistic,-49.134241612671125
1775665214001,bad,-93.31136356483262499999999998
1775666613653,ideal,-20.57268161147815000000000002
1775666613653,good,-31.61703886879852500000000002
1775666613653,realistic,-49.288010480511125
1775666613653,bad,-93.46543950979262499999999998
1775666817337,ideal,-36.18933006785965000000000002
1775666817337,good,-47.75669744738377500000000002
1775666817337,realistic,-66.264485254622375
1775666817337,bad,-112.533954772718875
1775667050578,ideal,-28.99099370523813000000000002
1775667050578,good,-42.47598240920845500000000002
1775667050578,realistic,-64.051964335560975
1775667050578,bad,-117.991919151442275
1775668318448,ideal,-29.31176405437971000000000002
1775668318448,good,-42.79691311145398500000000002
1775668318448,realistic,-64.373151602772825
1775668318448,bad,-118.313747831069925
1775668565298,ideal,-30.68905509050631000000000002
1775668565298,good,-44.17489265539708500000000002
1775668565298,realistic,-65.752232759222325
1775668565298,bad,-119.695583018785425
1775668885160,ideal,-30.86490653176191000000000002
1775668885160,good,-44.35083200479168500000000002
1775668885160,realistic,-65.928312761639325
1775668885160,bad,-119.872014653758425
1775668938475,ideal,-31.65041884881111000000000002
1775668938475,good,-45.13673699946388500000000002
1775668938475,realistic,-66.714846040508325
1775668938475,bad,-120.660118643119425
1775670172797,ideal,-31.76756648220282000000000002
