ts,profile,equity
1775658116049,ideal,-0.0053088120252
1775658116049,good,-0.0053061570882
1775658116049,realistic,-0.005301909189
1775658116049,bad,-0.005291289441
1775658146033,ideal,-0.0101752230483
1775658146033,good,-0.01017013441905
1775658146033,realistic,-0.01016199261225
1775658146033,bad,-0.01014163809525
1775658206066,ideal,-0.0150410896803
1775658206066,good,-0.01503356763105
1775658206066,realistic,-0.01502153235225
1775658206066,bad,-0.01499144415525
1775658236034,ideal,-0.0203481200619
1775658236034,good,-0.02033794396665
1775658236034,realistic,-0.02032166221425
1775658236034,bad,-0.02028095783325
1775658266008,ideal,-0.025210571877
1775658266008,good,-0.0251979640695
1775658266008,realistic,-0.0251777915775
1775658266008,bad,-0.0251273603475
1775658296009,ideal,-0.0300730236921
1775658296009,good,-0.03005798417235
1775658296009,realistic,-0.03003392094075
1775658296009,bad,-0.02997376286175
1775658356053,ideal,-0.0349354755072
1775658356053,good,-0.0349180042752
1775658356053,realistic,-0.034890050304
1775658356053,bad,-0.034820165376
1775658715560,ideal,-0.0553301786322
1775658715560,good,-0.0553229027127
1775658715560,realistic,-0.0553112612415
1775658715560,bad,-0.0552821575635
1775658762181,ideal,-1.4535910248822
1775658762181,good,-1.4542827395877
1775658762181,realistic,-1.4553894831165
1775658762181,bad,-1.4581563419385
1775658776012,ideal,-1.4584341260682
1775658776012,good,-1.4591234187387
1775658776012,realistic,-1.4602262870115
1775658776012,bad,-1.4629834576935
1775658800652,ideal,-1.5143265038565
1775658800652,good,-1.51498784474775
1775658800652,realistic,-1.51604599017375
1775658800652,bad,-1.51869135373875
1775658806053,ideal,-1.5196076734113
1775658806053,good,-1.52026637318955
1775658806053,realistic,-1.52132029283475
1775658806053,bad,-1.52395509194775
1775658870596,ideal,-2.294642374311299999999999992
1775658870596,good,-2.520026576339549999999999989
1775658870596,realistic,-2.88064129958474999999999999
1775658870596,bad,-3.782178107697750000000000004
1775658873515,ideal,-2.393409406953299999999999992
1775658873515,good,-2.618744215586549999999999989
1775658873515,realistic,-2.97927990939974999999999999
1775658873515,bad,-3.880619143932750000000000004
1775658873576,ideal,-2.710134421278899999999999992
1775658873576,good,-2.935310835726149999999999989
1775658873576,realistic,-3.29559309884174999999999999
1775658873576,bad,-4.196298756630750000000000004
1775658896055,ideal,-2.713332918944999999999999992
1775658896055,good,-2.949257653807499999999999989
1775658896055,realistic,-3.32673722958749999999999999
1775658896055,bad,-4.270436169037500000000000004
1775658939704,ideal,-2.805941186894999999999999992
1775658939704,good,-3.041912216632499999999999989
1775658939704,realistic,-3.41946586421249999999999999
1775658939704,bad,-4.363349983162500000000000004
1775658956021,ideal,-2.816065180684799999999999992
1775658956021,good,-3.062781067396799999999999989
1775658956021,realistic,-3.45752648613599999999999999
1775658956021,bad,-4.444390032984000000000000004
1775658986061,ideal,-2.826628888514199999999999992
1775658986061,good,-3.084089412299699999999999989
1775658986061,realistic,-3.49602625035649999999999999
1775658986061,bad,-4.525868345498500000000000004
1775659037646,ideal,-2.845976763315399999999999992
1775659037646,good,-3.103446959103899999999999989
1775659037646,realistic,-3.51539927236549999999999999
1775659037646,bad,-4.545280055519500000000000004
1775659106066,ideal,-2.838714651505773544212796541
1775659106066,good,-3.106938381659495686556434209
1775659106066,realistic,-3.536096349905451114306254483
1775659106066,bad,-4.60899127052033968368080518
1775659136043,ideal,-2.826954843367853774263120049
1775659136043,good,-3.106911621056000071890726086
1775659136043,realistic,-3.554842465357034148094895748
1775659136043,bad,-4.674669576109619338605319918
1775659166002,ideal,-2.816175019241427318475916598
1775659166002,good,-3.106887090502795758447160306
1775659166002,realistic,-3.572026404520985262401150241
1775659166002,bad,-4.734874689566459022286125094
1775659286010,ideal,-2.808492559470707548526240106
1775659286010,good,-3.110935639184500143781452183
1775659286010,realistic,-3.594844566726568296189791506
1775659286010,bad,-4.804616885581738677210639832
1775659316037,ideal,-2.801670161700681092739036655
1775659316037,good,-3.114866555878695830337886403
1775659316037,realistic,-3.615980786563519410496045999
1775659316037,bad,-4.868766363275578360891445008
1775659346012,ideal,-2.800223646491561322789360163
1775659346012,good,-3.12514793052600021567217828
1775659346012,realistic,-3.645026784981102444284687264
