ts,profile,equity
1775658162760,ideal,-0.024452788464
1775658162760,good,-0.024440559624
1775658162760,realistic,-0.02442099348
1775658162760,bad,-0.02437207812
1775658164538,ideal,-0.073355440977
1775658164538,good,-0.0733187559195
1775658164538,realistic,-0.0732600598275
1775658164538,bad,-0.0731133195975
1775658170999,ideal,-0.122265696969
1775658170999,good,-0.1222045518915
1775658170999,realistic,-0.1221067197675
1775658170999,bad,-0.1218621394575
1775658183534,ideal,-0.1467111743955
1775658183534,good,-0.14663780413425
1775658183534,realistic,-0.14652041171625
1775658183534,bad,-0.14622693067125
1775658192135,ideal,-0.1989868876614
1775658192135,good,-0.1988873743149
1775658192135,realistic,-0.1987281529605
1775658192135,bad,-0.1983300995745
1775658326714,ideal,-0.3278989160982
1775658326714,good,-0.3277349338437
1775658326714,realistic,-0.3274725622365
1775658326714,bad,-0.3268166332185
1775658336052,ideal,-0.585698281911
1775658336052,good,-0.5854053741885
1775658336052,realistic,-0.5849367218325
1775658336052,bad,-0.5837650909425
1775658359708,ideal,-0.7145439531219
1775658359708,good,-0.71418660967665
1775658359708,realistic,-0.71361486016425
1775658359708,bad,-0.71218548638325
1775658360857,ideal,-0.8433911675241
1775658360857,good,-0.84296938758435
1775658360857,realistic,-0.84229453968075
1775658360857,bad,-0.84060741992175
1775658367150,ideal,-1.1014643350656
1775658367150,good,-1.1009134927296
1775658367150,realistic,-1.100032144992
1775658367150,bad,-1.097828775648
1775658416415,ideal,-1.2303393269112
1775658416415,good,-1.2297240341892
1775658416415,realistic,-1.228739565834
1775658416415,bad,-1.226278394946
1775658450554,ideal,-1.2558803216904
1775658450554,good,-1.2552522559164
1775658450554,realistic,-1.254247350678
1775658450554,bad,-1.251735087582
1775658456945,ideal,-1.306951297452
1775658456945,good,-1.306297691082
1775658456945,realistic,-1.30525192089
1775658456945,bad,-1.30263749541
1775658469828,ideal,-1.332489538782
1775658469828,good,-1.331823160737
1775658469828,realistic,-1.330756955865
1775658469828,bad,-1.328091443685
1775658474717,ideal,-1.3377474749844
1775658474717,good,-1.3370784674454
