ts,profile,equity
1775660025270,ideal,-8.4305260395036
1775660025270,good,-8.4263099332626
1775660025270,realistic,-8.419564163277
1775660025270,bad,-8.402699738313
1775660025270,ideal,-67.275589300578
1775660025270,good,-67.241944777023
1775660025270,realistic,-67.188113539335
1775660025270,bad,-67.053535445115
1775660025270,ideal,-110.0118026901096
1775660025270,good,-109.9567857853836
1775660025270,realistic,-109.868758737822
1775660025270,bad,-109.648691118918
1775660025552,ideal,-120.7363118592096
1775660025552,good,-120.6759316272336
1775660025552,realistic,-120.579323256072
1775660025552,bad,-120.337802328168
1775660025552,ideal,-125.0910996814188
1775660025552,good,-125.0285416199658
1775660025552,realistic,-124.928448721641
1775660025552,bad,-124.678216475829
1775660026275,ideal,-129.2874620810508
1775660026275,good,-129.2228054186778
1775660026275,realistic,-129.119354758881
1775660026275,bad,-128.860728109389
1775660060565,ideal,-129.3374185757532
1775660060565,good,-129.2727369301362
1775660060565,realistic,-129.169246297149
1775660060565,bad,-128.910519714681
1775660060565,ideal,-129.3472914007932
1775660060565,good,-129.2826048177762
1775660060565,realistic,-129.179106284949
1775660060565,bad,-128.920359952881
1775660060565,ideal,-137.4203004360012
1775660060565,good,-137.3515765410042
1775660060565,realistic,-137.241618309009
1775660060565,bad,-136.966722729021
1775660060565,ideal,-147.7004782371516
1775660060565,good,-147.6266132250306
1775660060565,realistic,-147.508429205637
1775660060565,bad,-147.212969157153
1775660060565,ideal,-147.7547787748716
1775660060565,good,-147.6808866070506
1775660060565,realistic,-147.562659138537
1775660060565,bad,-147.267090467253
1775660060565,ideal,-148.0232208877092
1775660060565,good,-147.9491944719822
1775660060565,realistic,-147.830752206819
1775660060565,bad,-147.534646543911
1775660060565,ideal,-149.0331121610508
1775660060565,good,-148.9585806986778
1775660060565,realistic,-148.839330358881
1775660060565,bad,-148.541204509389
1775660096538,ideal,-150.3567338837508
1775660096538,good,-150.2815404781278
1775660096538,realistic,-150.161231029131
1775660096538,bad,-149.860457406639
1775660096538,ideal,-150.6129633426078
1775660096538,good,-150.5376417966273
1775660096538,realistic,-150.4171273230585
1775660096538,bad,-150.1158411391365
1775660096538,ideal,-150.7682419506738
1775660096538,good,-150.6928427498583
1775660096538,realistic,-150.5722040285535
1775660096538,bad,-150.2706072252915
1775660096538,ideal,-157.2096371864193
1775660096538,good,-157.13101664371755
1775660096538,realistic,-157.00522377539475
1775660096538,bad,-156.69074160458775
1775660096538,ideal,-157.6594710166563
1775660096538,good,-157.58062551204705
1775660096538,realistic,-157.45447270467225
1775660096538,bad,-157.13909068623525
1775660096538,ideal,-158.7895871457168
1775660096538,good,-158.7101764700088
1775660096538,realistic,-158.583119388876
1775660096538,bad,-158.265476686044
1775660096538,ideal,-161.5755145387788
1775660096538,good,-161.4947106207258
1775660096538,realistic,-161.365424351841
1775660096538,bad,-161.042208679629
1775660096538,ideal,-162.4752809769933
1775660096538,good,-162.39402708572655
1775660096538,realistic,-162.26402085969975
1775660096538,bad,-161.93900529463275
1775660096538,ideal,-162.4851587510433
1775660096538,good,-162.40389991990155
1775660096538,realistic,-162.27388579007475
1775660096538,bad,-161.94885046550775
1775660096538,ideal,-166.9848799417803
1775660096538,good,-166.90137079998105
1775660096538,realistic,-166.76775617310225
1775660096538,bad,-166.43371960590525
1775660096538,ideal,-167.8888938228363
1775660096538,good,-167.80493258367705
1775660096538,realistic,-167.67059460102225
1775660096538,bad,-167.33474964438525
1775660096538,ideal,-168.7886602610508
1775660096538,good,-168.7042490486778
1775660096538,realistic,-168.569191108881
1775660096538,bad,-168.231546259389
1775660097878,ideal,-169.1909819981073
1775660097878,good,-169.10636958462555
1775660097878,realistic,-168.97098972305475
1775660097878,bad,-168.63254006912775
1775660097878,ideal,-169.2481743098568
1775660097878,good,-169.1635332944988
1775660097878,realistic,-169.028107669926
1775660097878,bad,-168.689543608494
1775660097878,ideal,-169.4693376708363
1775660097878,good,-169.38458605167705
1775660097878,realistic,-169.24898346102225
1775660097878,bad,-168.90997698438525
1775660097878,ideal,-171.0240005285658
1775660097878,good,-170.9384714224803
1775660097878,realistic,-170.8016248527435
1775660097878,bad,-170.4595084284015
1775660097878,ideal,-171.0410890776723
1775660097878,good,-170.95555142560305
1775660097878,realistic,-170.81869118229225
1775660097878,bad,-170.47654057401525
1775660097878,ideal,-171.7728345792963
1775660097878,good,-171.68693098128705
1775660097878,realistic,-171.54948522447225
1775660097878,bad,-171.20587083243525
1775660097878,ideal,-172.1450291055003
1775660097878,good,-172.05893937300105
1775660097878,realistic,-171.92119580100225
1775660097878,bad,-171.57683687100525
1775660097878,ideal,-172.2860837189343
1775660097878,good,-172.19992344502005
1775660097878,realistic,-172.06206700675725
1775660097878,bad,-171.71742591110025
1775660097878,ideal,-172.5330280701843
1775660097878,good,-172.44674429939505
1775660097878,realistic,-172.30869026613225
1775660097878,bad,-171.96355518297525
1775660097878,ideal,-173.1105815188878
1775660097878,good,-173.0240089136073
1775660097878,realistic,-172.8854927451585
1775660097878,bad,-172.5392023240365
1775660097878,ideal,-188.5442083610508
1775660097878,good,-188.4499173986778
1775660097878,realistic,-188.299051858881
1775660097878,bad,-187.921888009389
1775660099703,ideal,-188.6852629744848
1775660099703,good,-188.5909014706968
1775660099703,realistic,-188.439923064636
1775660099703,bad,-188.062477049484
1775660099703,ideal,-190.1242579979088
1775660099703,good,-190.0291768526808
1775660099703,realistic,-189.877047020316
1775660099703,bad,-189.496722439404
1775660099703,ideal,-190.149047822952
1775660099703,good,-190.053954280332
1775660099703,realistic,-189.90180461214
1775660099703,bad,-189.52143044166
1775660099703,ideal,-192.124332686952
1775660099703,good,-192.028251304332
1775660099703,realistic,-191.87452109214
1775660099703,bad,-191.49019556166
1775660099703,ideal,-192.3895267600275
1775660099703,good,-192.29331275384625
1775660099703,realistic,-192.13937034395625
1775660099703,bad,-191.75451431923125
1775660099703,ideal,-192.3945639658848
1775660099703,good,-192.2983474405968
1775660099703,realistic,-192.144401000136
1775660099703,bad,-191.759534898984
1775660099703,ideal,-192.4040457651456
1775660099703,good,-192.3078244980096
1775660099703,realistic,-192.153870470592
1775660099703,bad,-191.768985402048
1775660099703,ideal,-207.8376726073086
1775660099703,good,-207.7337329830801
1775660099703,realistic,-207.5674295843145
1775660099703,bad,-207.1516710874005
1775660099703,ideal,-207.8969311532286
1775660099703,good,-207.7929618938001
1775660099703,realistic,-207.6266110787145
1775660099703,bad,-207.2107340410005
1775660099703,ideal,-208.2992528902851
1775660099703,good,-208.19508242974785
1775660099703,realistic,-208.02840969288825
1775660099703,bad,-207.61172785073925
1775660101283,ideal,-208.3042887194178
1775660101283,good,-208.2001157404623
1775660101283,realistic,-208.0334389741335
1775660101283,bad,-207.6167470583115
1775660101283,ideal,-208.3093240896423
1775660101283,good,-208.20514859249805
1775660101283,realistic,-208.03846779706725
1775660101283,bad,-207.62176580849025
1775660101283,ideal,-208.4981011066863
1775660101283,good,-208.39383120215205
1775660101283,realistic,-208.22699935489725
1775660101283,bad,-207.80991973676025
1775660101283,ideal,-211.1983430727618
1775660101283,good,-211.0927227771663
1775660101283,realistic,-210.9237303042135
1775660101283,bad,-210.5012491218315
1775660101283,ideal,-211.2033791313486
1775660101283,good,-211.0977563172201
1775660101283,realistic,-210.9287598146145
1775660101283,bad,-210.5062685581005
1775660101283,ideal,-214.6859794044621
1775660101283,good,-214.57861494186735
1775660101283,realistic,-214.40683180171575
1775660101283,bad,-213.97737395133675
1775660101283,ideal,-216.9077699574621
1775660101283,good,-216.79929437736735
1775660101283,realistic,-216.62573344921575
1775660101283,bad,-216.19183112883675
1775660101283,ideal,-216.9670177055421
1775660101283,good,-216.85851249564735
1775660101283,realistic,-216.68490415981575
1775660101283,bad,-216.25088332023675
1775660101283,ideal,-226.8594167099661
1775660101283,good,-226.74596431113135
1775660101283,realistic,-226.56444047299575
1775660101283,bad,-226.11063087765675
1775660101283,ideal,-228.0475761600402
1775660101283,good,-227.9335295626407
1775660101283,realistic,-227.7510550068015
1775660101283,bad,-227.2948686172035
1775660149112,ideal,-228.0757942517202
1775660149112,good,-228.0561468835207
1775660149112,realistic,-228.0247110944015
1775660149112,bad,-227.9461216216035
1775660216671,ideal,-232.0680196394217
1775660216671,good,-232.04637575922595
1775660216671,realistic,-232.01174555091275
