ts,profile,equity
1775674634886,ideal,-0.583555450563
1775674634886,good,-0.5832636144705
1775674634886,realistic,-0.5827966767225
1775674634886,bad,-0.5816293323525
1775674634886,ideal,-3.835641748194
1775674634886,good,-3.833723543679
1775674634886,realistic,-3.830654416455
1775674634886,bad,-3.822981598395
1775674634886,ideal,-5.79396392541
1775674634886,good,-5.791066363935
1775674634886,realistic,-5.786430265575
1775674634886,bad,-5.774840019675
1775674634886,ideal,-5.824364659047
1775674634886,good,-5.8214518941645
1775674634886,realistic,-5.8167914703525
1775674634886,bad,-5.8051404108225
1775674634886,ideal,-6.748863842223
1775674634886,good,-6.7454887352805
1775674634886,realistic,-6.7400885641725
1775674634886,bad,-6.7265881364025
1775682804920,ideal,-75.405102129573
1775682804920,good,-83.5231058660055
1775682804920,realistic,-96.5119118442975
1775682804920,bad,-128.9839267900275
1775682804920,ideal,-134.0720912707336
1775682804920,good,-149.1298408525676
1775682804920,realistic,-173.222240183502
1775682804920,bad,-233.453238510838
1775682824081,ideal,-134.47332334590256
1775682824081,good,-149.53127350365896
1775682824081,realistic,-173.6239937560692
1775682824081,bad,-233.8557943870948
1775682824081,ideal,-135.77317419658906
1775682824081,good,-150.83177414981171
1775682824081,realistic,-174.92553407496795
1775682824081,bad,-235.15993388785855
1775682824081,ideal,-135.8451192134152
1775682824081,good,-150.9037551319532
1775682824081,realistic,-174.997572601614
1775682824081,bad,-235.232116275766
1775682824081,ideal,-135.86837734051048
1775682824081,good,-150.92702488578668
1775682824081,realistic,-175.0208609582286
1775682824081,bad,-235.2554511393334
1775682824081,ideal,-136.32475935566188
1775682824081,good,-151.38363504631658
1775682824081,realistic,-175.4778361513641
1775682824081,bad,-235.7133389139829
1775682824081,ideal,-136.39278706638346
1775682824081,good,-151.45169676409211
1775682824081,realistic,-175.54595228042595
1775682824081,bad,-235.78159107126055
1775682824081,ideal,-136.69133953643776
1775682824081,good,-151.75039848053216
1775682824081,realistic,-175.8448927910832
1775682824081,bad,-236.0811285674608
1775682824081,ideal,-137.09273694226624
1775682824081,good,-152.15199654493184
1775682824081,realistic,-176.2468119091968
1775682824081,bad,-236.4838503198592
1775682824081,ideal,-137.36981032086124
1775682824081,good,-152.42920843251434
1775682824081,realistic,-176.5242454111593
1775682824081,bad,-236.7618378577717
1775682824081,ideal,-137.61957869479729
1775682824081,good,-152.679101665665515
1775682824081,realistic,-176.774338419054675
1775682824081,bad,-237.012430302527575
1775682824081,ideal,-138.28927387915171
1775682824081,good,-153.349131630655985
1775682824081,realistic,-177.444904033062825
1775682824081,bad,-237.684335039079925
1775682824081,ideal,-138.5142991026472
1775682824081,good,-153.5742693442652
1775682824081,realistic,-177.670221730854
1775682824081,bad,-237.910102697326
1775682824081,ideal,-138.62680810804882
1775682824081,good,-153.68683459292087
1775682824081,realistic,-177.78287696871615
1775682824081,bad,-238.02298290820435
1775682824081,ideal,-138.82865373210142
1775682824081,good,-153.88878111960497
1775682824081,realistic,-177.98498493961065
1775682824081,bad,-238.22549448962485
1775682824081,ideal,-139.30340790795022
1775682824081,good,-154.36377262507577
1775682824081,realistic,-178.46035617247665
1775682824081,bad,-238.70181504097885
1775682824081,ideal,-139.70444921697358
1775682824081,good,-154.76501441465753
1775682824081,realistic,-178.86191873095185
1775682824081,bad,-239.10417952168765
1775682834366,ideal,-144.20669093526358
1775682834366,good,-159.26950680367253
1775682834366,realistic,-183.37001219312685
1775682834366,bad,-243.62127566676265
1775690981665,ideal,-149.6388639265058270759133989
1775690981665,good,-165.0295890102529805587547873
1775690981665,realistic,-189.6547491442484261313010087
1775690981665,bad,-251.2176494792370400626665624
1775690981665,ideal,-166.9920343519233328259833647
1775690981665,good,-183.4384773285374716646286271
1775690981665,realistic,-209.7527860911200938064610472
1775690981665,bad,-275.5385579975766491610420977
1775690981665,ideal,-176.2282625308197848872354858
1775690981665,good,-193.2216134234223242718021898
1775690981665,realistic,-220.4109748515863872871089168
1775690981665,bad,-288.3843784219965448253757344
1775690981665,ideal,-182.5000035958114802998061134
1775690981665,good,-199.8712092885311920975964579
1775690981665,realistic,-227.6651383968827309740610098
1775690981665,bad,-297.1499611677615781652223897
1775690981665,ideal,-207.3770007227560387167410871
1775690981665,good,-226.2240708701032972843859278
1775690981665,realistic,-256.3793831058589109926176742
1775690981665,bad,-331.7676636952479452631970405
1775690981665,ideal,-211.5417295704425237627419494
1775690981665,good,-230.6406900972417351823394
1775690981665,realistic,-261.1990269401204734536953222
1775690981665,bad,-337.5948690473173191320851282
1775690981665,ideal,-279.5955767000597175475199381
1775690981665,good,-302.7319318314703152867458511
1775690981665,realistic,-339.7501000417272716695073143
1775690981665,bad,-432.2955205673696626264109737
1775690981665,ideal,-293.9370283691035684665034566
1775690981665,good,-317.920972401810828798670273
1775690981665,realistic,-356.2952828541424453301371818
1775690981665,bad,-452.2310589849714866588044556
1775690981665,ideal,-294.2736274811670918815852849
1775690981665,good,-318.2776945253531882082607405
1775690981665,realistic,-356.684201796050942330941472
1775690981665,bad,-452.7004699727953276376433026
1775690981665,ideal,-299.5129238519319011497063974
1775690981665,good,-323.8332572529942546295852728
1775690981665,realistic,-362.7457906946940201973914761
1775690981665,bad,-460.0271242989434341169069862
1775690981665,ideal,-314.1632512395944890448108166
1775690981665,good,-339.36794111565887341245969
1775690981665,realistic,-379.6954449173618884006978904
1775690981665,bad,-480.5142044216194258712933933
1775690981665,ideal,-318.6057224167616049253321177
1775690981665,good,-344.0801514350439292629272625
1775690981665,realistic,-384.8392378642956482030794971
1775690981665,bad,-486.7369539374249455534600856
1775690981665,ideal,-320.2987662741442561456093079
1775690981665,good,-345.8757934346457279793153691
1775690981665,realistic,-386.7990368914480829132450699
1775690981665,bad,-489.1071455334539702480693241
1775690981665,ideal,-351.8682173123848600000000016
1775690981665,good,-379.3435331395970099999999989
1775690981665,realistic,-423.3040384631364499999999981
1775690981665,bad,-533.2053017719850499999999986
1775690996923,ideal,-386.6546843721028600000000016
1775690996923,good,-417.6387893236100099999999989
1775690996923,realistic,-467.2133572460214499999999981
1775690996923,bad,-591.1497770520500499999999986
1775690996923,ideal,-392.7507639297988600000000016
1775690996923,good,-424.3575389755460099999999989
1775690996923,realistic,-474.9283790487414499999999981
1775690996923,bad,-601.3554792317300499999999986
1775690996923,ideal,-396.0096929366608600000000016
1775690996923,good,-427.9472512745630099999999989
1775690996923,realistic,-479.0473446152064499999999981
1775690996923,bad,-606.7975779668150499999999986
1775690996923,ideal,-414.8332494155128600000000016
1775690996923,good,-448.6874346005450099999999989
1775690996923,realistic,-502.8541308965964499999999981
1775690996923,bad,-638.2708716367250499999999986
1775690996923,ideal,-446.6835987875128600000000016
1775690996923,good,-483.7808074025450099999999989
1775690996923,realistic,-543.1363411865964499999999981
1775690996923,bad,-691.5251756467250499999999986
1775690996923,ideal,-449.9744780787558600000000016
1775690996923,good,-487.4057129593955099999999989
1775690996923,realistic,-547.2956887684189499999999981
1775690996923,bad,-697.0206282909775499999999986
1775694145424,ideal,-452.9475446841780600000000016
1775694145424,good,-490.3802658008732099999999989
1775694145424,realistic,-550.2726195875854499999999981
1775694145424,bad,-700.0035040543660499999999986
1775694145424,ideal,-453.1207794912114600000000016
1775694145424,good,-490.5535872079901099999999989
1775694145424,realistic,-550.4460795548359499999999981
1775694145424,bad,-700.1773104219505499999999986
1775694145424,ideal,-455.3753842449960600000000016
1775694145424,good,-492.8093190387362099999999989
1775694145424,realistic,-552.7036147087204499999999981
1775694145424,bad,-702.4393538836810499999999986
1775694169438,ideal,-457.8447542510565600000000016
1775694169438,good,-501.6985210661979599999999989
1775694169438,realistic,-571.8645479704241999999999981
1775694169438,bad,-747.2796152309897999999999986
1775694169438,ideal,-458.8922666241695600000000016
1775694169438,good,-505.4693407845934599999999989
1775694169438,realistic,-579.9926594412716999999999981
1775694169438,bad,-766.3009560829672999999999986
1775694169438,ideal,-458.9039904742590600000000016
1775694169438,good,-505.5115441286567099999999989
1775694169438,realistic,-580.0836299756929499999999981
1775694169438,bad,-766.5138445932835499999999986
1775694169438,ideal,-459.9910367604645600000000016
1775694169438,good,-509.4246774491259599999999989
1775694169438,realistic,-588.5185025509841999999999981
1775694169438,bad,-786.2530653056297999999999986
1775696099704,ideal,-460.8392916980400600000000016
1775696099704,good,-510.2725081743902099999999989
1775696099704,realistic,-589.3656545365504499999999981
1775696099704,bad,-787.0985204419510499999999986
1775696099704,ideal,-465.6140495664378600000000016
1775696099704,good,-515.0448781862825099999999989
1775696099704,realistic,-594.1342039780339499999999981
1775696099704,bad,-791.8575184574125499999999986
1775702593043,ideal,-457.8883839730229600000000016
1775702593043,good,-519.8109350455803599999999989
1775702593043,realistic,-618.8870167616721999999999981
1775702593043,bad,-866.5772210519017999999999986
1775703840061,ideal,-458.0269029512789600000000016
1775703840061,good,-519.9495232694763599999999989
1775703840061,realistic,-619.0257157785921999999999981
1775703840061,bad,-866.7161970513817999999999986
1775703840061,ideal,-458.0871177918389600000000016
1775703840061,good,-520.0097682114363599999999989
1775703840061,realistic,-619.0860088827921999999999981
1775703840061,bad,-866.7766105611817999999999986
1775703840061,ideal,-458.9878343679827300000000016
1775703840061,good,-520.9109350558145549999999989
1775703840061,realistic,-619.9878961563454749999999981
1775703840061,bad,-867.6802989076727749999999986
1775703840061,ideal,-459.0498153522508400000000016
1775703840061,good,-520.9729470243779399999999989
1775703840061,realistic,-620.0499576997812999999999981
1775703840061,bad,-867.7424843882896999999999986
1775703840061,ideal,-459.7810990910030900000000016
1775703840061,good,-521.7045963318858149999999989
1775703840061,realistic,-620.7821919172981749999999981
1775703840061,bad,-868.4761808808290749999999986
1775703840061,ideal,-459.8586303341510900000000016
1775703840061,good,-521.7821663329038149999999989
1775703840061,realistic,-620.8598239309081749999999981
1775703840061,bad,-868.5539679259190749999999986
1775703840061,ideal,-460.0131971358800000000000016
1775703840061,good,-521.9368104025799999999999989
1775703840061,realistic,-621.0145916292999999999999981
1775703840061,bad,-868.7090446960999999999999986
1775703840061,ideal,-460.0933839833926700000000016
1775703840061,good,-522.0170373354993449999999989
1775703840061,realistic,-621.0948826988700249999999981
1775703840061,bad,-868.7894961072967249999999986
1775703840061,ideal,-460.2073422727431200000000016
1775703840061,good,-522.1310525926009199999999989
1775703840061,realistic,-621.2089891043733999999999981
1775703840061,bad,-868.9038303838045999999999986
1775703840061,ideal,-460.2168830433656900000000016
1775703840061,good,-522.1405981326549149999999989
1775703840061,realistic,-621.2185422755176749999999981
1775703840061,bad,-868.9134026326745749999999986
1775703840061,ideal,-460.6671351837872900000000016
1775703840061,good,-522.5910753541305149999999989
1775703840061,realistic,-621.6693796266796749999999981
1775703840061,bad,-869.3651403080525749999999986
1775703840061,ideal,-460.8163330626463400000000016
1775703840061,good,-522.7403478170121899999999989
1775703840061,realistic,-621.8187714239975499999999981
1775703840061,bad,-869.5148304414609499999999986
1775714317542,ideal,-442.2982355016255624123569293
1775714317542,good,-505.3014281173516299800495664
1775714317542,realistic,-606.1065363025133380883577895
1775714317542,bad,-858.1193067654176083591283498
1775714317542,ideal,-441.3793120994579174171388629
1775714317542,good,-504.4352891632943790835141544
1775714317542,realistic,-605.3248524654327177497146246
1775714317542,bad,-857.5487607207785644152158026
1775714317542,ideal,-387.6781682376392042529385772
1775714317542,good,-453.8477016386033310297096891
1775714317542,realistic,-559.7189550801459338725434724
1775714317542,bad,-824.3970886840024409796279332
1775714317542,ideal,-375.6026083083856928141421848
1775714317542,good,-442.4758682609697688453430125
1775714317542,realistic,-549.4730841851042904952643411
1775714317542,bad,-816.9661239954405946200676654
1775714317542,ideal,-370.0209629860984833675095916
1775714317542,good,-437.2151122076586205817504949
1775714317542,realistic,-544.7257509621548401245359446
1775714317542,bad,-813.5023478483953889814995717
1775714317542,ideal,-369.0585611109382515886303123
1775714317542,good,-436.3079922544963590929237654
1775714317542,realistic,-543.9070820841893310997932949
1775714317542,bad,-812.9048066584217611169671214
1775714317542,ideal,-363.0295857785981547210538785
1775714317542,good,-430.625623231830657297899033
1775714317542,realistic,-538.7792831570026614208512848
1775714317542,bad,-809.1634329699326717282319171
1775714317542,ideal,-360.7525755048424202636747894
1775714317542,good,-428.4802962806856728232946994
1775714317542,realistic,-536.84464952203487691868656
1775714317542,bad,-807.7555326254078871571662144
1775714317542,ideal,-359.8900566081786716364496477
1775714317542,good,-427.6673218660078951275696452
1775714317542,realistic,-536.1109462785346527133616456
1775714317542,bad,-807.2200073098515466778416497
1775714317542,ideal,-359.027537711514923009224506
1775714317542,good,-426.854347451330117431844591
1775714317542,realistic,-535.3772430350344285080367312
1775714317542,bad,-806.684481994295206198517085
1775714317542,ideal,-347.696639241406900000000002
1775714317542,good,-416.1837789496741499999999987
1775714317542,realistic,-525.7632024829017499999999977
1775714317542,bad,-799.7117613159707499999999986
1775739902802,ideal,-347.908541001284500000000002
1775739902802,good,-416.3957866392457499999999987
1775739902802,realistic,-525.9753796599837499999999977
1775739902802,bad,-799.9243622118287499999999986
1775739902802,ideal,-347.913424212231400000000002
1775739902802,good,-416.4006722913098999999999987
1775739902802,realistic,-525.9802692178354999999999977
1775739902802,bad,-799.9292615341494999999999986
1775739902802,ideal,-348.003826602594100000000002
1775739902802,good,-416.4911198738293499999999987
1775739902802,realistic,-526.0707891078057499999999977
1775739902802,bad,-800.0199621927467499999999986
1775739902802,ideal,-348.091536388043500000000002
1775739902802,good,-416.5788735054022499999999987
1775739902802,realistic,-526.1586128931762499999999977
1775739902802,bad,-800.1079613626112499999999986
1775739902802,ideal,-348.181327821739300000000002
1775739902802,good,-416.6687098258375499999999987
1775739902802,realistic,-526.2485210323947499999999977
1775739902802,bad,-800.1980490487877499999999986
1775739902802,ideal,-348.530530148239300000000002
1775739902802,good,-417.0180867185875499999999987
1775739902802,realistic,-526.5981772311447499999999977
1775739902802,bad,-800.5484035125377499999999986
1775739902802,ideal,-349.217372475236500000000002
1775739902802,good,-417.7052723980777499999999987
1775739902802,realistic,-527.2859122746237499999999977
1775739902802,bad,-801.2375119659887499999999986
1775739902802,ideal,-349.303737940875700000000002
1775739902802,good,-417.7916810378149499999999987
1775739902802,realistic,-527.3723899929177499999999977
1775739902802,bad,-801.3241623806747499999999986
1775739902802,ideal,-349.392792451216300000000002
1775739902802,good,-417.8807800665070499999999987
1775739902802,realistic,-527.4615602509722499999999977
1775739902802,bad,-801.4135107121352499999999986
1775739902802,ideal,-351.253765441390300000000002
1775739902802,good,-419.7426833571160499999999987
1775739902802,realistic,-529.3249520222772499999999977
1775739902802,bad,-803.2806236851802499999999986
