ts,profile,equity
1775711775687,ideal,-0.43889305383
1775711775687,good,-0.438673563405
1775711775687,realistic,-0.438322378725
1775711775687,bad,-0.437444417025
1775711775687,ideal,-0.499961047788
1775711775687,good,-0.499711017258
1775711775687,realistic,-0.49931096841
1775711775687,bad,-0.49831084629
1775711775687,ideal,-0.810991614231
1775711775687,good,-0.8105860373085
1775711775687,realistic,-0.8099371142325
1775711775687,bad,-0.8083148065425
1775711775687,ideal,-1.354974510888
1775711775687,good,-1.354296888108
1775711775687,realistic,-1.35321269166
1775711775687,bad,-1.35050220054
1775712407436,ideal,-3.702976448648364779874213805
1775712407436,good,-4.154815156275566037735849062
1775712407436,realistic,-4.877757088479088050314465416
1775712407436,bad,-6.685111918987893081761006301
1775712407436,ideal,-6.2337220827546603773584905
1775712407436,good,-7.1823558582733867924528302
1775712407436,realistic,-8.7001698991033490566037736
1775712407436,bad,-12.4947050011782547169811321
1775712407436,ideal,-9.538198866141861635220125675
1775712407436,good,-11.13551409973550943396226417
1775712407436,realistic,-13.69121847348534591194968556
1775712407436,bad,-20.08047940785993710691823904
1775712414078,ideal,-9.574803527545101635220125675
1775712414078,good,-11.17210045514684943396226417
1775712414078,realistic,-13.72777553930964591194968556
1775712414078,bad,-20.11696324971663710691823904
1775712414078,ideal,-9.733574305987311635220125675
1775712414078,good,-11.33079183231958443396226417
1775712414078,realistic,-13.88633987445122091194968556
1775712414078,bad,-20.27520997978031210691823904
1775729141571,ideal,-59.90888015473323163522012562
1775729141571,good,-61.96534797893030443396226413
1775729141571,realistic,-65.25569649764562091194968564
1775729141571,bad,-73.48156779443391210691823901
1775744034944,ideal,-59.92016179330416163522012562
1775744034944,good,-61.97662397555355943396226413
1775744034944,realistic,-65.26696346715259591194968564
1775744034944,bad,-73.49281219615018710691823901
1775744337697,ideal,-59.96738448727608163522012562
1775744337697,good,-62.02382305345527943396226413
1775744337697,realistic,-65.31412475934199591194968564
1775744337697,bad,-73.53987902405878710691823901
1775744446929,ideal,-47.95854299062131433962264129
1775744446929,good,-50.77278882994346811320754716
1775744446929,realistic,-55.27558217285891415094339634
1775744446929,bad,-66.5325655301475292452830189
