ts,profile,equity
1775662960042,ideal,-0.0932807564208
1775662960042,good,-0.0933273874728
1775662960042,realistic,-0.093401997156
1775662960042,bad,-0.093588521364
1775668514426,ideal,0.1826278338624
1775668514426,good,0.1080312185184
1775668514426,realistic,-0.011323366032
1775668514426,bad,-0.309709827408
1775668514426,ideal,0.6753217450824
1775668514426,good,0.4676001577884
1775668514426,realistic,0.135245618118
1775668514426,bad,-0.695640731058
1775668516335,ideal,0.3376069846362
1775668516335,good,0.1297165737267
1775668516335,realistic,-0.2029080837285
1775668516335,bad,-1.0344697273665
1775674096606,ideal,0.2626547921052
1775674096606,good,0.0440397623682
1775674096606,realistic,-0.305744285211
1775674096606,bad,-1.180204404159
1775674096606,ideal,-1.7910352832442
1775674096606,good,-2.3035048688547
1775674096606,realistic,-3.1234562058315
1775674096606,bad,-5.1733345482735
1775674096606,ideal,-4.8890592411922
1775674096606,good,-5.8448130716727
1775674096606,realistic,-7.3740192004415
1775674096606,bad,-11.1970345223635
1775674097883,ideal,-5.1591110402521
1775674097883,good,-6.11499986963235
1775674097883,realistic,-7.64442199664075
1775674097883,bad,-11.46797731416175
1775683321250,ideal,-5.2177115610127
1775683321250,good,-6.17362968479445
1775683321250,realistic,-7.70309868284525
1775683321250,bad,-11.52677117797225
1775687764966,ideal,-8.0356024703033
1775687764966,good,-9.59022649981155
1775687764966,realistic,-12.07762494702475
1775687764966,bad,-18.29612106505775
1775687766102,ideal,-8.2958016327299
1775687766102,good,-9.85055573580465
1775687766102,realistic,-12.33816230072425
1775687766102,bad,-18.55717871302325
1775693558762,ideal,-11.153503087057
1775693558762,good,-12.9294336646995
1775693558762,realistic,-15.7709225889275
1775693558762,bad,-22.8746448994975
1775693558762,ideal,-12.88351902650276
1775693558762,good,-14.79233252475966
1775693558762,realistic,-17.8464341219707
1775693558762,bad,-25.4816881149983
1775693558762,ideal,-15.73413477383956
1775693558762,good,-17.86338935043846
1775693558762,realistic,-21.2701966729967
1775693558762,bad,-29.7872149793923
1775693559972,ideal,-15.74123308921876
1775693559972,good,-17.87049121426566
1775693559972,realistic,-21.2773042143407
1775693559972,bad,-29.7943367145283
1775698025139,ideal,-17.62705466232696
1775698025139,good,-19.88559307264436
1775698025139,realistic,-23.4992545291522
1775698025139,bad,-32.5334081704218
1775698026287,ideal,-17.79227975662056
1775698026287,good,-20.06650957267196
1775698026287,realistic,-23.7052772783542
1775698026287,bad,-32.8021965425598
1775698027429,ideal,-18.01721078483076
1775698027429,good,-20.29155304390766
1775698027429,realistic,-23.9305006584307
1775698027429,bad,-33.0278696947383
1775702164031,ideal,-18.03031604185806
1775702164031,good,-20.30466485225321
1775702164031,realistic,-23.94362294888545
1775702164031,bad,-33.04101819046605
1775702164031,ideal,-18.04406057971596
1775702164031,good,-20.31841626100586
1775702164031,realistic,-23.9573853510697
1775702164031,bad,-33.0548080762293
1775702165173,ideal,-15.05284187486956
1775702165173,good,-17.82854021404346
1775702165173,realistic,-22.2696575567217
1775702165173,bad,-33.3724509134173
1775706331740,ideal,-15.21480296711086
1775706331740,good,-17.99058227063801
1775706331740,realistic,-22.43182915628145
1775706331740,bad,-33.53494637039005
1775710863171,ideal,-15.31187850163552
1775710863171,good,-18.08770633322432
1775710863171,realistic,-22.5290308637664
1775710863171,bad,-33.6323421901216
1775717087412,ideal,-15.45743758129312
1775717087412,good,-18.29285883202592
1775717087412,realistic,-22.8295328331984
1775717087412,bad,-34.1712178361296
1775721479271,ideal,-15.5790625180133
1775721479271,good,-18.63014636279655
1775721479271,realistic,-23.51188051444975
1775721479271,bad,-35.71621589358275
1775721480397,ideal,-15.6254858718275
1775721480397,good,-18.67659292364625
1775721480397,realistic,-23.55836420655625
1775721480397,bad,-35.76279241383125
1775727721762,ideal,-15.6450483990506
1775727721762,good,-18.6961652301771
1775727721762,realistic,-23.5779521599795
1775727721762,bad,-35.7824194844855
1775732041824,ideal,-15.7264352481656
1775732041824,good,-18.7775927645796
1775732041824,realistic,-23.659444790842
1775732041824,bad,-35.864074856498
1775736208907,ideal,-16.72382501399060000000000008
1775736208907,good,-20.46189225746709999999999994
1775736208907,realistic,-26.44279984702950000000000012
1775736208907,bad,-41.39506882093550000000000022
1775736210586,ideal,-16.72876788436700000000000008
1775736210586,good,-20.46683759878449999999999994
1775736210586,realistic,-26.44774914185250000000000012
1775736210586,bad,-41.40002799952250000000000022
1775736210586,ideal,-16.96468613428214000000000008
1775736210586,good,-20.70287378423748999999999994
1775736210586,realistic,-26.68397402416605000000000012
1775736210586,bad,-41.63672462398745000000000022
