ts,profile,equity
1775700783734,ideal,-0.0172192641642
1775700783734,good,-0.0172278720747
1775700783734,realistic,-0.0172416447315
1775700783734,bad,-0.0172760763735
1775700783734,ideal,-0.0395405325252
1775700783734,good,-0.0395602988382
1775700783734,realistic,-0.039591924939
1775700783734,bad,-0.039670990191
1775700784438,ideal,-0.0618618008862
1775700784438,good,-0.0618927256017
1775700784438,realistic,-0.0619422051465
1775700784438,bad,-0.0620659040085
1775700784765,ideal,-0.0841830692472
1775700784765,good,-0.0842251523652
1775700784765,realistic,-0.084292485354
1775700784765,bad,-0.084460817826
1775700785637,ideal,-0.1065043376082
1775700785637,good,-0.1065575791287
1775700785637,realistic,-0.1066427655615
1775700785637,bad,-0.1068557316435
1775700785765,ideal,-0.1288256059692
1775700785765,good,-0.1288900058922
1775700785765,realistic,-0.128993045769
1775700785765,bad,-0.129250645461
1775700785901,ideal,-0.1511468743302
1775700785901,good,-0.1512224326557
1775700785901,realistic,-0.1513433259765
1775700785901,bad,-0.1516455592785
1775700786438,ideal,-0.156248878527
1775700786438,good,-0.1563269873445
1775700786438,realistic,-0.1564519614525
1775700786438,bad,-0.1567643967225
1775700786572,ideal,-0.178570146888
1775700786572,good,-0.178659414108
1775700786572,realistic,-0.17880224166
1775700786572,bad,-0.17915931054
1775700787176,ideal,-0.200891415249
1775700787176,good,-0.2009918408715
1775700787176,realistic,-0.2011525218675
1775700787176,bad,-0.2015542243575
1775700787246,ideal,-0.22321268361
1775700787246,good,-0.223324267635
1775700787246,realistic,-0.223502802075
1775700787246,bad,-0.223949138175
1775700787786,ideal,-0.245533951971
1775700787786,good,-0.2456566943985
1775700787786,realistic,-0.2458530822825
1775700787786,bad,-0.2463440519925
1775700788454,ideal,-0.2668985945451
1775700788454,good,-0.26703201715785
1775700788454,realistic,-0.26724549333825
1775700788454,bad,-0.26777918378925
