ts,profile,equity
1775698600677,ideal,-0.6997984138197
1775698600677,good,-0.69944844461895
1775698600677,realistic,-0.69888849389775
1775698600677,bad,-0.69748861709475
1775698600677,ideal,-0.8162723653695
1775698600677,good,-0.81586414754325
1775698600677,realistic,-0.81521099902125
1775698600677,bad,-0.81357812771625
1775698615117,ideal,-0.9410609866527
1775698615117,good,-0.94059036203445
1775698615117,realistic,-0.93983736264525
1775698615117,bad,-0.93795486417225
1775727639133,ideal,-1.1094965020197
1775727639133,good,-1.10911007831895
1775727639133,realistic,-1.10849180039775
1775727639133,bad,-1.10694610559475
1775727646001,ideal,-4.528406118910475650997632755
1775727646001,good,-4.994371721780594436929320228
1775727646001,realistic,-5.739916686372784494420020302
1775727646001,bad,-7.603779097853259638146770391
