ts,profile,equity
1775658131640,ideal,-1.3004557983117
1775658131640,good,-1.29980544034095
1775658131640,realistic,-1.29876486758775
1775658131640,bad,-1.29616343570475
1775658152465,ideal,-2.1622516546617
1775658152465,good,-2.16117031256595
1775658152465,realistic,-2.15944016521275
1775658152465,bad,-2.15511479682975
1775658194877,ideal,-3.2662318035411
1775658194877,good,-3.26570234114385
1775658194877,realistic,-3.26485520130825
1775658194877,bad,-3.26273735171925
1775658206486,ideal,-4.02474194986536
1775658206486,good,-4.02383315652876
1775658206486,realistic,-4.0223790871902
1775658206486,bad,-4.0187439138438
1775658206486,ideal,-4.38115708407906
1775658206486,good,-4.38007004752671
1775658206486,realistic,-4.37833078904295
1775658206486,bad,-4.37398264283355
1775658206486,ideal,-4.56797280216132
1775658206486,good,-4.56679233906462
1775658206486,realistic,-4.5649035981099
1775658206486,bad,-4.5601817457231
1775658246704,ideal,-4.65624270115002
1775658246704,good,-4.65501809427507
1775658246704,realistic,-4.65305872327515
1775658246704,bad,-4.64816029577535
1775658258113,ideal,-5.78507566439502
1775658258113,good,-5.78328652813257
1775658258113,realistic,-5.78042391011265
1775658258113,bad,-5.77326736506285
1775658269833,ideal,-7.15150250911782
1775658269833,good,-7.15039644966237
1775658269833,realistic,-7.14862675453365
1775658269833,bad,-7.14420251671185
1775658294239,ideal,-7.15732342670142
1775658294239,good,-7.15621445620497
1775658294239,realistic,-7.15444010341065
1775658294239,bad,-7.15000422142485
1775658295206,ideal,-8.68894323941142
1775658295206,good,-8.68859992568997
1775658295206,realistic,-8.68805062373565
1775658295206,bad,-8.68667736884985
1775658297026,ideal,-8.70662029923661
1775658297026,good,-8.719221195203135
1775658297026,realistic,-8.739382628749575
1775658297026,bad,-8.789786212615675
1775658297391,ideal,-8.94330710213161
1775658297391,good,-8.956026317835635
1775658297391,realistic,-8.976377062962075
1775658297391,bad,-9.027253925778175
1775658316480,ideal,-10.2014150133496
1775658316480,good,-10.2147631572236
1775658316480,realistic,-10.236120187422
1775658316480,bad,-10.289512762918
1775658410740,ideal,-10.5017734740298
1775658410740,good,-10.5152717671043
1775658410740,realistic,-10.5368690360235
1775658410740,bad,-10.5908622083215
1775658507733,ideal,-10.5067868014948
1775658507733,good,-10.5202876007318
1775658507733,realistic,-10.541888879511
1775658507733,bad,-10.595892076459
1775658507733,ideal,-10.5921021441514
1775658507733,good,-10.6056455925299
1775658507733,realistic,-10.6273151099355
1775658507733,bad,-10.6814889034495
1775658507733,ideal,-10.5971150215264
1775658507733,good,-10.6106609758424
1775658507733,realistic,-10.632334502748
1775658507733,bad,-10.686518320012
1775658507733,ideal,-10.6195747285696
1775658507733,good,-10.6331319104936
1775658507733,realistic,-10.654823401572
1775658507733,bad,-10.709052129268
1775658507733,ideal,-13.350155967616
1775658507733,good,-13.365078167156
1775658507733,realistic,-13.38895368642
1775658507733,bad,-13.44864248458
1775658507733,ideal,-13.4456928316681
1775658507733,good,-13.46066279008835
1775658507733,realistic,-13.48461472356075
1775658507733,bad,-13.54449455724175
1775658507733,ideal,-13.4507054839981
1775658507733,good,-13.46567794824335
1775658507733,realistic,-13.48963389103575
1775658507733,bad,-13.54952374801675
1775658507733,ideal,-13.8466225390756
1775658507733,good,-13.8617929222646
1775658507733,realistic,-13.886065535367
1775658507733,bad,-13.946747068123
1775658571545,ideal,-14.7850982663836
1775658571545,good,-14.7997993178426
1775658571545,realistic,-14.823321000177
1775658571545,bad,-14.882125206013
1775658613954,ideal,-14.94496406588251096596768649
1775658613954,good,-15.02876731662161753179786868
1775658613954,realistic,-15.1628525178041880371261602
1775658613954,bad,-15.49806552076061430044688897
1775658613954,ideal,-19.12678116832409384668270893
1775658613954,good,-21.22922363630242746648332764
1775658613954,realistic,-24.59313158506776125816431774
1775658613954,bad,-33.00290145698109573736679284
1775658634484,ideal,-20.41117303433189384668270893
1775658634484,good,-22.51425756982972746648332764
1775658634484,realistic,-25.87919282662626125816431774
1775658634484,bad,-34.29153096861759573736679284
1775658635558,ideal,-20.52556049226389384668270893
1775658635558,good,-22.62858782259172746648332764
1775658635558,realistic,-25.99343155111626125816431774
1775658635558,bad,-34.40554087242759573736679284
1775658648928,ideal,-22.27812331974089384668270893
1775658648928,good,-24.38202675626122746648332764
1775658648928,realistic,-27.74827225469376125816431774
1775658648928,bad,-36.16388600077509573736679284
1775658659986,ideal,-22.88689900624769384668270893
1775658659986,good,-24.99049799403502746648332764
1775658659986,realistic,-28.35625637449476125816431774
1775658659986,bad,-36.77065232564409573736679284
1775658660527,ideal,-23.49567469275449384668270893
1775658660527,good,-25.59896923180882746648332764
1775658660527,realistic,-28.96424049429576125816431774
1775658660527,bad,-37.37741865051309573736679284
1775658672749,ideal,-29.26470318318671384668270893
1775658672749,good,-34.16090810107159746648332764
1775658672749,realistic,-41.99483596968741125816431774
1775658672749,bad,-61.57965564122694573736679284
1775658680403,ideal,-29.37477080325911384668270893
1775658680403,good,-34.27092067632499746648332764
1775658680403,realistic,-42.10476047323041125816431774
1775658680403,bad,-61.68935996549394573736679284
1775658681152,ideal,-29.38196135216165384668270893
1775658681152,good,-34.27810762923388746648332764
1775658681152,realistic,-42.11194167254946125816431774
1775658681152,bad,-61.69652678083839573736679284
1775658706188,ideal,-29.41980209000015384668270893
1775658706188,good,-34.31592944291863746648332764
1775658706188,realistic,-42.14973320758821125816431774
1775658706188,bad,-61.73424261926214573736679284
1775658744994,ideal,-30.55004912306192384668270893
1775658744994,good,-35.49893641150983246648332764
1775658744994,realistic,-43.41715607302648625816431774
1775658744994,bad,-63.21270522681812073736679284
1775658744994,ideal,-31.15542013435418384668270893
1775658744994,good,-36.10461004778274246648332764
1775658744994,realistic,-44.02331390926843625816431774
1775658744994,bad,-63.82007356298267073736679284
1775658766299,ideal,-32.91021059676908384668270893
1775658766299,good,-37.86027772998489246648332764
1775658766299,realistic,-45.78038514313018625816431774
1775658766299,bad,-65.58065367599342073736679284
1775658767115,ideal,-34.20161196819764384668270893
1775658767115,good,-39.15232467298485246648332764
1775658767115,realistic,-47.07346500064438625816431774
1775658767115,bad,-66.87631581979322073736679284
1775658789485,ideal,-35.17648591149914384668270893
1775658789485,good,-40.12768595579010246648332764
1775658789485,realistic,-48.04960602665563625816431774
1775658789485,bad,-67.85440620381947073736679284
1775658793100,ideal,-35.64434604801578384668270893
1775658793100,good,-40.59577997559834246648332764
1775658793100,realistic,-48.51807425973043625816431774
1775658793100,bad,-68.32380997006067073736679284
1775658802266,ideal,-35.66210074374488384668270893
1775658802266,good,-40.61354354690019246648332764
1775658802266,realistic,-48.53585203194868625816431774
1775658802266,bad,-68.34162324456992073736679284
1775658803150,ideal,-36.10565081407049384668270893
1775658803150,good,-41.05731534791482746648332764
1775658803150,realistic,-48.97997860206576125816431774
1775658803150,bad,-68.78663673744309573736679284
1775658804387,ideal,-36.15759522750009384668270893
1775658804387,good,-41.14868866491842746648332764
1775658804387,realistic,-49.13443816478776125816431774
1775658804387,bad,-69.09881191446109573736679284
1775658808159,ideal,-37.44788785442409384668270893
1775658808159,good,-42.43962630915242746648332764
1775658808159,realistic,-50.42640783671776125816431774
1775658808159,bad,-70.39336165563109573736679284
1775658809686,ideal,-37.94467189551492384668270893
1775658809686,good,-42.93665869259533246648332764
1775658809686,realistic,-50.92383756792398625816431774
1775658809686,bad,-70.89178475624562073736679284
1775658809686,ideal,-38.32661057612655384668270893
1775658809686,good,-43.31878830436103746648332764
1775658809686,realistic,-51.30627266953621125816431774
1775658809686,bad,-71.27498358247414573736679284
1775658888245,ideal,-38.64103487969141969810327247
1775658888245,good,-44.03276046782570579033511522
1775658888245,realistic,-52.65952140884056353790606378
1775658888245,bad,-74.22642376137770790683343503
1775658888245,ideal,-38.67939026310978041947929222
1775658888245,good,-44.16558960198562737989818557
1775658888245,realistic,-52.94350854418698251656841509
1775658888245,bad,-74.88830589969037035824398874
1775658888245,ideal,-38.69366200454818567798348801
1775658888245,good,-44.19799684912161232509429508
1775658888245,realistic,-53.00493260043909496047158654
1775658888245,bad,-75.02227197873280154891481505
1775658888245,ideal,-38.69373034043430403870486403
1775658888245,good,-44.19815964376522224668385815
1775658888245,realistic,-53.00524652909469137945024889
1775658888245,bad,-75.0229637424183642113662256
1775658888245,ideal,-38.71032411267734438738106229
1775658888245,good,-44.24469937699188739057535145
1775658888245,realistic,-53.09969979989515619568621426
1775658888245,bad,-75.23720085715332820846337113
1775658888245,ideal,-38.86337367320690911269428696
1775658888245,good,-44.5922333449762259434857133
1775658888245,realistic,-53.75840881980713287275199561
1775658888245,bad,-76.67384750688440019591770122
1775658888650,ideal,-40.81378237096743125146407719
1775658888650,good,-48.67663995500677433807372479
1775658888650,realistic,-61.25721208946972327664916111
1775658888650,bad,-92.70864242562709562308775174
1775658888650,ideal,-40.82208528599137748792993528
1775658888650,good,-48.69495496856332602656741025
1775658888650,realistic,-61.29154646067844368838737035
1775658888650,bad,-92.78302519096623784293727043
1775658924122,ideal,-40.82709124559917748792993528
1775658924122,good,-48.69995842469062602656741025
1775658924122,realistic,-61.29654591123694368838737035
1775658924122,bad,-92.78801462760273784293727043
1775658924122,ideal,-40.83612106527397748792993528
1775658924122,good,-48.70898372855242602656741025
1775658924122,realistic,-61.30556398979794368838737035
1775658924122,bad,-92.79701464291173784293727043
1775658924122,ideal,-42.08648214303397748792993528
1775658924122,good,-49.95871950071242602656741025
1775658924122,realistic,-62.55429927299794368838737035
1775658924122,bad,-94.04324870371173784293727043
1775658924122,ideal,-42.10112401407397748792993528
1775658924122,good,-49.97335404935242602656741025
1775658924122,realistic,-62.56892210579794368838737035
1775658924122,bad,-94.05784224691173784293727043
1775658950709,ideal,-43.39509936723397748792993528
1775658950709,good,-51.26668228541242602656741025
1775658950709,realistic,-63.86121495449794368838737035
1775658950709,bad,-95.34754662721173784293727043
1775658952201,ideal,-44.79977617441957748792993528
1775658952201,good,-52.67206129056202602656741025
1775658952201,realistic,-65.26771747638994368838737035
1775658952201,bad,-96.75685794095973784293727043
1775658955625,ideal,-44.80893242280307748792993528
1775658955625,good,-52.68122211615427602656741025
1775658955625,realistic,-65.27688562551619368838737035
1775658955625,bad,-96.76604439892098784293727043
1775658955625,ideal,-44.81774966789947748792993528
1775658955625,good,-52.69004376899167602656741025
1775658955625,realistic,-65.28571433073919368838737035
1775658955625,bad,-96.77489073510798784293727043
1775658955625,ideal,-45.76763826463087748792993528
1775658955625,good,-53.64040721505157602656741025
1775658955625,realistic,-66.23683753572469368838737035
1775658955625,bad,-97.72791333740748784293727043
1775658955625,ideal,-46.08907738359967748792993528
1775658955625,good,-53.96200702144237602656741025
1775658955625,realistic,-66.55869444199069368838737035
1775658955625,bad,-98.05041299336148784293727043
1775658956098,ideal,-47.03145731741017748792993528
1775658956098,good,-54.90391567102912602656741025
1775658956098,realistic,-67.49984903681944368838737035
1775658956098,bad,-98.98968245129523784293727043
1775659057524,ideal,-47.36320686855307748792993528
1775659057524,good,-55.23583106377927602656741025
1775659057524,realistic,-67.83202977614119368838737035
1775659057524,bad,-99.32252655704598784293727043
1775659057524,ideal,-47.69152368228577748792993528
1775659057524,good,-55.56431200309372602656741025
1775659057524,realistic,-68.16077331638644368838737035
1775659057524,bad,-99.65192659961823784293727043
1775659057524,ideal,-47.80137127941217748792993528
1775659057524,good,-55.67421451303612602656741025
1775659057524,realistic,-68.27076368683444368838737035
1775659057524,bad,-99.76213662133023784293727043
1775659057524,ideal,-48.21485267365507748792993528
1775659057524,good,-56.08790260663627602656741025
1775659057524,realistic,-68.68478249940619368838737035
1775659057524,bad,-100.1769822313309878429372704
1775659080974,ideal,-47.37986860709693384668270876
1775659080974,good,-58.0353970275073674664833275
1775659080974,realistic,-75.08424250016406125816431762
1775659080974,bad,-117.7063561818057957373667927
1775659160903,ideal,-48.66714606310733384668270876
1775659160903,good,-59.3233179935437674664833275
1775659160903,realistic,-76.37319308224206125816431762
1775659160903,bad,-118.9978808039877957373667927
1775659386063,ideal,-48.83761146637073384668270876
1775659386063,good,-59.4938686124656674664833275
1775659386063,realistic,-76.54388004621756125816431762
1775659386063,bad,-119.1689086305972957373667927
1775659433395,ideal,-49.32036461559674384668270876
1775659433395,good,-60.0579999346317024664833275
1775659433395,realistic,-77.23821644508763625816431762
1775659433395,bad,-120.1887577212274707373667927
1775659433395,ideal,-50.11753954095119384668270876
1775659433395,good,-60.8555733677472774664833275
1775659433395,realistic,-78.03642749062101125816431762
1775659433395,bad,-120.9885627978053457373667927
1775659433395,ideal,-50.29778527388939384668270876
1775659433395,good,-61.0359092055309774664833275
1775659433395,realistic,-78.21690749615751125816431762
1775659433395,bad,-121.1694032227238457373667927
1775659626165,ideal,-50.31716422932299384668270876
1775659626165,good,-61.0552784695485774664833275
1775659626165,realistic,-78.23626125390951125816431762
1775659626165,bad,-121.1887182148118457373667927
1775659631018,ideal,-51.29024919990149384668270876
1775659631018,good,-62.0288498853233274664833275
1775659631018,realistic,-79.21061098199826125816431762
1775659631018,bad,-122.1650137236855957373667927
1775659631018,ideal,-51.45909929316749384668270876
1775659631018,good,-62.1977843867543274664833275
1775659631018,realistic,-79.37968053649326125816431762
1775659631018,bad,-122.3344209108405957373667927
1775659631018,ideal,-51.54352433980049384668270876
1775659631018,good,-62.2822516374698274664833275
1775659631018,realistic,-79.46421531374076125816431762
1775659631018,bad,-122.4191245044180957373667927
1775659631018,ideal,-51.60080155545299384668270876
1775659631018,good,-62.3395574860035774664833275
1775659631018,realistic,-79.52156697488451125816431762
1775659631018,bad,-122.4765906970868457373667927
1775659631018,ideal,-51.67549732161899384668270876
1775659631018,good,-62.4142905925845774664833275
1775659631018,realistic,-79.59635982612951125816431762
1775659631018,bad,-122.5515329099918457373667927
1775659634374,ideal,-51.80666014593839384668270876
1775659634374,good,-62.5455189852024774664833275
1775659634374,realistic,-79.72769312802501125816431762
1775659634374,bad,-122.6831284850813457373667927
1775659647191,ideal,-52.05862234341839384668270876
1775659647191,good,-62.7973551763824774664833275
1775659647191,realistic,-79.97932770912501125816431762
1775659647191,bad,-122.9342590409813457373667927
1775659647191,ideal,-53.10856651257839384668270876
1775659647191,good,-63.8467742684424774664833275
1775659647191,realistic,-81.02790667782501125816431762
1775659647191,bad,-123.9807377012813457373667927
1775659649988,ideal,-53.12975182966739384668270876
1775659649988,good,-63.8679489907539774664833275
1775659649988,realistic,-81.04906444849251125816431762
1775659649988,bad,-124.0018530928388457373667927
1775659653146,ideal,-53.17252032086432373845522744
1775659653146,good,-63.95806522951682207625355944
1775659653146,realistic,-81.21493708336081941673089083
1775659653146,bad,-124.357116717970812767924219
1775659665927,ideal,-54.91684394843084373845522744
1775659665927,good,-65.70326084449964207625355944
1775659665927,realistic,-82.96152787820971941673089083
1775659665927,bad,-126.107195462484912767924219
1775659679175,ideal,-55.15635808732058373845522744
1775659679175,good,-65.94265520236373207625355944
1775659679175,realistic,-83.20073058643276941673089083
1775659679175,bad,-126.345919046605362767924219
1775659679175,ideal,-55.98728099979452373845522744
1775659679175,good,-66.77316257027252207625355944
1775659679175,realistic,-84.03057308303731941673089083
1775659679175,bad,-127.174099364949312767924219
1775659679175,ideal,-56.22679513868426373845522744
1775659679175,good,-67.01255692813661207625355944
1775659679175,realistic,-84.26977579126036941673089083
1775659679175,bad,-127.412822949069762767924219
1775659683077,ideal,-57.97380731405282373845522744
1775659683077,good,-68.76044243492657207625355944
1775659683077,realistic,-86.01905862832456941673089083
1775659683077,bad,-129.165599111819562767924219
1775659690669,ideal,-57.98138845952042373845522744
1775659690669,good,-68.76801978906317207625355944
1775659690669,realistic,-86.02662991633156941673089083
1775659690669,bad,-129.173155234502562767924219
1775659690879,ideal,-58.04521681329602373845522744
1775659690879,good,-68.83181622227777207625355944
1775659690879,realistic,-86.09037527664856941673089083
1775659690879,bad,-129.236772912575562767924219
1775659690974,ideal,-58.40819472169232373845522744
1775659690974,good,-69.19461260541482207625355944
1775659690974,realistic,-86.45288121937081941673089083
1775659690974,bad,-129.598552754260812767924219
1775659698636,ideal,-71.51191642316107373845522743
1775659698636,good,-85.05323879493044707625355937
1775659698636,realistic,-106.7193545897614444167308909
1775659698636,bad,-160.8846440768389377679242191
1775659734914,ideal,-71.51686813330507373845522743
1775659734914,good,-85.05819298043444707625355937
1775659734914,realistic,-106.7243127358414444167308909
1775659734914,bad,-160.8896121243589377679242191
1775659734914,ideal,-71.80925883975307373845522743
1775659734914,good,-85.35072985300244707625355937
1775659734914,realistic,-107.0170834742014444167308909
1775659734914,bad,-161.1829675271989377679242191
1775659734914,ideal,-72.78710979083707373845522743
1775659734914,good,-86.32906963179644707625355937
1775659734914,realistic,-107.9962053773314444167308909
1775659734914,bad,-162.1640447411689377679242191
1775659843025,ideal,-72.97324007733307373845522743
1775659843025,good,-86.51510683453244707625355937
1775659843025,realistic,-108.1820936460514444167308909
1775659843025,bad,-162.3495606748489377679242191
1775659843094,ideal,-73.36602410481307373845522743
1775659843094,good,-86.90769443071244707625355937
1775659843094,realistic,-108.5743669521514444167308909
1775659843094,bad,-162.7410482557489377679242191
1775659843094,ideal,-73.59051528359587373845522743
1775659843094,good,-87.13207334145224707625355937
1775659843094,realistic,-108.7985662340224444167308909
1775659843094,bad,-162.9647984654479377679242191
1775659843094,ideal,-73.62888954720787373845522743
1775659843094,good,-87.17042841409424707625355937
1775659843094,realistic,-108.8368906011124444167308909
1775659843094,bad,-163.0030460686579377679242191
1775659843094,ideal,-74.07514598556637373845522743
1775659843094,good,-87.61646167959899707625355937
1775659843094,realistic,-109.2825667900511944167308909
1775659843094,bad,-163.4478295661816877679242191
1775659867388,ideal,11.76325888379362626154477257
1775659867388,good,-3.40791163683899707625355937
1775659867388,realistic,-27.6817844698511944167308909
1775659867388,bad,-88.3664665523816877679242191
1775659886579,ideal,10.88946336535612626154477257
1775659886579,good,-4.28127017012024707625355937
1775659886579,realistic,-28.5544438268824444167308909
1775659886579,bad,-89.2373779687879377679242191
1775659931364,ideal,10.59558081759952626154477257
1775659931364,good,-4.57529962976834707625355937
1775659931364,realistic,-28.8487083455569444167308909
1775659931364,bad,-89.5322301350284377679242191
1775659931364,ideal,10.30061575568338626154477257
1775659931364,good,-4.87041214472483707625355937
1775659931364,realistic,-29.1440567853779944167308909
1775659931364,bad,-89.8281683870108877679242191
1775659931647,ideal,10.25968068320596626154477257
1775659931647,good,-4.91136768064580707625355937
1775659931647,realistic,-29.1850450628086444167308909
1775659931647,bad,-89.8692385182157377679242191
1775659931647,ideal,10.21874561072854626154477257
1775659931647,good,-4.95232321656677707625355937
1775659931647,realistic,-29.2260333402392944167308909
1775659931647,bad,-89.9103086494205877679242191
1775659942764,ideal,10.20627317871394626154477257
1775659942764,good,-4.96478941111787707625355937
1775659942764,realistic,-29.2384895548487944167308909
1775659942764,bad,-89.9227399141760877679242191
1775659945592,ideal,10.39960869884662021861686943
1775659945592,good,-4.799395082869946404817125687
1775659945592,realistic,-29.11780113361645300231151831
1775659945592,bad,-89.91381626048271949604749923
1775659988315,ideal,9.67353669848362021861686943
1775659988315,good,-5.525830046640446404817125687
1775659988315,realistic,-29.84481683883895300231151831
1775659988315,bad,-90.64228381933521949604749923
1775659989938,ideal,9.44151035249362021861686943
1775659989938,good,-5.757972382605446404817125687
1775659989938,realistic,-30.07714475876395300231151831
1775659989938,bad,-90.87507569916021949604749923
1775659989938,ideal,8.94715476614662021861686943
1775659989938,good,-6.252575097319946404817125687
1775659989938,realistic,-30.57214287886645300231151831
1775659989938,bad,-91.37106233273271949604749923
1775659992011,ideal,8.55480906269662021861686943
1775659992011,good,-6.645116934394946404817125687
1775659992011,realistic,-30.96499852974145300231151831
1775659992011,bad,-91.76470251810771949604749923
1775659992011,ideal,8.19995104028362021861686943
1775659992011,good,-7.000152350340446404817125687
1775659992011,realistic,-31.32031777533895300231151831
1775659992011,bad,-92.12073133783521949604749923
1775659998185,ideal,6.21515617318983021861686943
1775659998185,good,-9.076332587793711404817125687
1775659998185,realistic,-33.54271460536737800231151831
1775659998185,bad,-94.70866964930154449604749923
1775660065064,ideal,5.45236972210497021861686943
1775660065064,good,-9.839500355840721404817125687
1775660065064,realistic,-34.30649248055382800231151831
1775660065064,bad,-95.47397279233659449604749923
1775660073163,ideal,5.44564769996937021861686943
1775660073163,good,-9.846225738315321404817125687
1775660073163,realistic,-34.31322323957082800231151831
1775660073163,bad,-95.48071699270959449604749923
1775660073163,ideal,4.94535131720067021861686943
1775660073163,good,-10.34677221925577140481712569
1775660073163,realistic,-34.81416987758607800231151831
1775660073163,bad,-95.98266402341184449604749923
1775660073163,ideal,4.94031025969077021861686943
1775660073163,good,-10.35181579679042140481712569
1775660073163,realistic,-34.81921748716032800231151831
1775660073163,bad,-95.98772171308509449604749923
1775660073259,ideal,4.54044879588927021861686943
1775660073259,good,-10.75187715134567140481712569
1775660073259,realistic,-35.21959866692157800231151831
1775660073259,bad,-96.38890245586134449604749923
1775660073259,ideal,3.52774982459487021861686943
1775660073259,good,-11.76508237087607140481712569
1775660073259,realistic,-36.23361388362957800231151831
1775660073259,bad,-97.40494266551334449604749923
1775660073259,ideal,3.52270807844727021861686943
