ts,profile,equity
1775658944498,ideal,-1.21794354
1775658944498,good,-1.21855239
1775658944498,realistic,-1.21952655
1775658944498,bad,-1.22196195
1775670588863,ideal,-1.5562446867
1775670588863,good,-1.55702265345
1775670588863,realistic,-1.55826740025
1775670588863,bad,-1.56137926725
1775670664213,ideal,-1.72553928885
1775670664213,good,-1.726401885975
1775670664213,realistic,-1.727782041375
1775670664213,bad,-1.731232429875
1775673670971,ideal,-3.43948200885
1775673670971,good,-3.441201405975
1775673670971,realistic,-3.443952441375
1775673670971,bad,-3.450830029875
1775674336800,ideal,-7.6583932031685
1775674336800,good,-8.86347581733975
1775674336800,realistic,-10.79160800001375
1775674336800,bad,-15.61193845669875
1775674336800,ideal,-9.5725658651089
1775674336800,good,-11.32362938913115
1775674336800,realistic,-14.12533102756675
1775674336800,bad,-21.12958512365575
1775674336800,ideal,-9.9231420559796
1775674336800,good,-11.7742006909286
1775674336800,realistic,-14.735894506847
1775674336800,bad,-22.140129046643
1775674336800,ideal,-16.76937519785
1775674336800,good,-20.573190067475
1775674336800,realistic,-26.659293858875
1775674336800,bad,-41.874553337375
1775679930683,ideal,-18.04650322115
1775679930683,good,-21.849679399025
1775679930683,realistic,-27.934761283625
1775679930683,bad,-43.147465995125
1775679930683,ideal,-18.0689804368076
1775679930683,good,-21.8721453738266
1775679930683,realistic,-27.957209273057
1775679930683,bad,-43.169869021133
1775679930683,ideal,-21.0261245536748
1775679930683,good,-24.8278106228618
1775679930683,realistic,-30.910508333561
1775679930683,bad,-46.117252610309
1775679943898,ideal,-24.9311427576748
1775679943898,good,-38.1942243368618
1775679943898,realistic,-59.415154863561
1775679943898,bad,-112.467481180309
1775679975090,ideal,-24.9779509891558
1775679975090,good,-38.2410091595453
1775679975090,realistic,-59.4619022321685
1775679975090,bad,-112.5141349137265
1775679991999,ideal,-25.0284038277058
1775679991999,good,-38.2914872194703
1775679991999,realistic,-59.5124206462935
1775679991999,bad,-112.5647542133515
1775680111041,ideal,-25.0391328132778
1775680111041,good,-38.3135690189723
1775680111041,realistic,-59.5526669480835
1775680111041,bad,-112.6504117708615
1775680127082,ideal,-25.0493447624794
1775680127082,good,-38.3237758611779
1775680127082,realistic,-59.5628656190955
1775680127082,bad,-112.6605900138895
1775682181158,ideal,-25.0726622174494
1775682181158,good,-38.4591990785729
1775682181158,realistic,-59.8776580563705
1775682181158,bad,-113.4238055008645
1775682183853,ideal,-25.66441238669259999999999999
1775682183853,good,-39.16660913092410000000000001
1775682183853,realistic,-60.7701239216945
1775682183853,bad,-114.7789108986205
1775682196522,ideal,-25.72048466999259999999999999
1775682196522,good,-39.22265337247410000000000001
1775682196522,realistic,-60.8261232964445
1775682196522,bad,-114.8347981063705
1775682205878,ideal,-25.77264131523579999999999999
1775682205878,good,-39.27483609082530000000000001
1775682205878,realistic,-60.8783477317685
1775682205878,bad,-114.8871268341265
1775682228264,ideal,-25.77777180112779999999999999
1775682228264,good,-39.27996914144730000000000001
1775682228264,realistic,-60.8834848859585
1775682228264,bad,-114.8922742472365
1775690662938,ideal,-26.80431660062779999999999999
1775690662938,good,-40.43163218969730000000000001
1775690662938,realistic,-62.2353371322085
1775690662938,bad,-116.7445994884865
1775690665626,ideal,-26.79135131558279999999999999
1775690665626,good,-40.5459781295398
1775690665626,realistic,-62.553381031871
1775690665626,bad,-117.571888287699
1775696937871,ideal,-27.03504448947179999999999999
1775696937871,good,-40.7897931256513
1775696937871,realistic,-62.7973909435385
1775696937871,bad,-117.8163854882565
1775696937871,ideal,-27.16557301995779999999999999
1775696937871,good,-40.9203869073523
1775696937871,realistic,-62.9280891271835
1775696937871,bad,-117.9473446767615
1775696943587,ideal,-27.98886076958279999999999999
1775696943587,good,-41.7440862185398
1775696943587,realistic,-63.752446936871
1775696943587,bad,-118.773348732699
1775733385474,ideal,-28.11395428328279999999999999
1775733385474,good,-41.8692422664898
1775733385474,realistic,-63.877703039621
1775733385474,bad,-118.898854972449
1775737153347,ideal,-30.53874646668279999999999999
1775737153347,good,-44.5708074083898
1775737153347,realistic,-67.022104915121
1775737153347,bad,-123.150348681949
1775742182112,ideal,-30.53012610418279999999999999
1775742182112,good,-44.93818822297313333333333335
1775742182112,realistic,-67.99108761303766666666666665
1775742182112,bad,-125.623336088199
