ts,profile,equity
1775723951191,ideal,-0.188832153879
1775723951191,good,-0.1889265510765
1775723951191,realistic,-0.1890775865925
1775723951191,bad,-0.1894551753825
1775723975801,ideal,-2.0792866781808
1775723975801,good,-2.0803261136328
1775723975801,realistic,-2.081989210356
1775723975801,bad,-2.086146952164
1775733035131,ideal,-2.323061948353600000000000006
1775733035131,good,-6.944616719237600000000000243
1775733035131,realistic,-14.3391043526520000000000001
1775733035131,bad,-32.82532343618799999999999975
1775733431723,ideal,-4.203053062416100000000000006
1775733431723,good,-8.823667649706350000000000243
1775733431723,realistic,-16.2166509893707500000000001
1775733431723,bad,-34.69910933853174999999999975
1775734035737,ideal,-4.450428931345300000000000006
1775734035737,good,-9.070919805958550000000000243
1775734035737,realistic,-16.4637052053397500000000001
1775734035737,bad,-34.94566870379274999999999975
1775734872853,ideal,-7.800664223066042216874717853
1775734872853,good,-14.79048160300949788690028609
1775734872853,realistic,-25.97418941091902695894119427
1775734872853,bad,-53.93345893069284963904346491
1775737346025,ideal,-7.869049544265842216874717853
1775737346025,good,-14.85883272470879788690028609
1775737346025,realistic,-26.04248581341752695894119427
1775737346025,bad,-54.00161853518934963904346491
1775737346025,ideal,-9.037352041025042216874717853
1775737346025,good,-16.02655095336599788690028609
1775737346025,realistic,-27.20926921311152695894119427
1775737346025,bad,-55.16606486247534963904346491
