ts,profile,equity
1775658092171,ideal,-4.189842801
1775658092171,good,-4.1919373035
1775658092171,realistic,-4.1952885075
1775658092171,bad,-4.2036665175
1775658339462,ideal,-36.364976541
1775658339462,good,-36.3831553935
1775658339462,realistic,-36.4122415575
1775658339462,bad,-36.4849569675
1775658642436,ideal,-37.093298451255
1775658642436,good,-37.1118413918925
1775658642436,realistic,-37.1415100969125
1775658642436,bad,-37.2156818594625
1775658642436,ideal,-47.839094670753
1775658642436,good,-47.8630094351355
1775658642436,realistic,-47.9012730581475
1775658642436,bad,-47.9969321156775
1775658678944,ideal,-59.30999357679
1775658678944,good,-59.339642643765
1775658678944,realistic,-59.387081150925
1775658678944,bad,-59.505677418825
1775658727807,ideal,-65.4110823325464
1775658727807,good,-65.4437813339124
1775658727807,realistic,-65.496099736098
1775658727807,bad,-65.626895741562
1775658727807,ideal,-67.0564458564498
1775658727807,good,-67.0899673750743
1775658727807,realistic,-67.1436018048735
1775658727807,bad,-67.2776878793715
1775658727807,ideal,-70.7775135491754
1775658727807,good,-70.8128952296139
1775658727807,realistic,-70.8695059183155
1775658727807,bad,-71.0110326400695
1775658730331,ideal,-71.187536780424
1775658730331,good,-71.223123431484
1775658730331,realistic,-71.28006207318
1775658730331,bad,-71.42240867742
1775658730331,ideal,-71.508117883824
1775658730331,good,-71.543864793384
1775658730331,realistic,-71.60105984868
1775658730331,bad,-71.74404748692
1775658730331,ideal,-78.7679975514204
1775658730331,good,-78.8073736749714
1775658730331,realistic,-78.870375472653
1775658730331,bad,-79.027879966857
1775658730399,ideal,-82.2421349689662
1775658730399,good,-82.2832478138817
1775658730399,realistic,-82.3490283657465
1775658730399,bad,-82.5134797454085
1775658743174,ideal,-84.55874072972265
1775658743174,good,-84.601011645904275
1775658743174,realistic,-84.668645111794875
1775658743174,bad,-84.837728776521375
1775658743174,ideal,-86.48549405833365
1775658743174,good,-86.528728158542775
1775658743174,realistic,-86.597902718877375
1775658743174,bad,-86.770839119713875
1775658743781,ideal,-97.94657576332305
1775658743781,good,-97.995539258505675
1775658743781,realistic,-98.073880850797875
1775658743781,bad,-98.269734831528375
1775658745881,ideal,-99.82572802362405
1775658745881,good,-99.875630907059175
1775658745881,realistic,-99.955475520555375
1775658745881,bad,-100.155087054295875
1775658745881,ideal,-108.04882141844505
1775658745881,good,-108.102835026432675
1775658745881,realistic,-108.189256799212875
1775658745881,bad,-108.405311231163375
1775658745881,ideal,-109.40475873568185
1775658745881,good,-109.459450176761475
1775658745881,realistic,-109.546956482488875
1775658745881,bad,-109.765722246807375
1775658925424,ideal,-118.78131286051965
1775658925424,good,-118.840691641193775
1775658925424,realistic,-118.935697690272375
1775658925424,bad,-119.173212812968875
1775658926890,ideal,-124.46771046112935
1775658926890,good,-124.529931872077725
1775658926890,realistic,-124.629486129595125
1775658926890,bad,-124.878371773388625
1775658926890,ideal,-125.32656514171815
1775658926890,good,-125.389215894138525
1775658926890,realistic,-125.489457098011125
1775658926890,bad,-125.740060107692625
1775658926890,ideal,-125.64735758937855
1775658926890,good,-125.710168705949925
1775658926890,realistic,-125.810666492464125
1775658926890,bad,-126.061910958749625
1775658926890,ideal,-125.69943843496485
1775658926890,good,-125.762275586751975
1775658926890,realistic,-125.862815029611375
1775658926890,bad,-126.114163636759875
1775658926890,ideal,-126.64392297210045
1775658926890,good,-126.707232271726575
1775658926890,realistic,-126.808527151128375
1775658926890,bad,-127.061764349632875
1775658926890,ideal,-128.15522603727345
1775658926890,good,-128.219290837332075
1775658926890,realistic,-128.321794517425875
1775658926890,bad,-128.578053717660375
1775658935738,ideal,-137.52663031334745
1775658935738,good,-137.595379878591075
1775658935738,realistic,-137.705379182980875
1775658935738,bad,-137.980377443955375
1775658937448,ideal,-137.64191164000245
1775658937448,good,-137.710718834383575
1775658937448,realistic,-137.820810345393375
1775658937448,bad,-138.096039122917875
1775658937448,ideal,-137.79742966238745
1775658937448,good,-137.866314600231075
1775658937448,realistic,-137.976530500780875
1775658937448,bad,-138.252070252155375
1775658937448,ideal,-138.72926044127745
1775658937448,good,-138.798611201346075
1775658937448,realistic,-138.909572417455875
1775658937448,bad,-139.186975457730375
1775658937448,ideal,-138.94162077985245
1775658937448,good,-139.011077698858575
1775658937448,realistic,-139.122208769268375
1775658937448,bad,-139.400036445292875
1775658937448,ideal,-146.89539364133745
1775658937448,good,-146.968826651556075
1775658937448,realistic,-147.086319467905875
1775658937448,bad,-147.380051508780375
1775658938493,ideal,-156.26151602124345
1775658938493,good,-156.339631156227075
1775658938493,realistic,-156.464615372200875
1775658938493,bad,-156.777075912135375
1775658946662,ideal,-156.64456129686345
1775658946662,good,-156.722484870897075
1775658946662,realistic,-156.847162589350875
1775658946662,bad,-157.158856885485375
1775658946662,ideal,-158.05784603337345
1775658946662,good,-158.135062823682075
1775658946662,realistic,-158.258609688175875
1775658946662,bad,-158.567476849410375
1775658946662,ideal,-167.44742355221145
1775658946662,good,-167.519944614615075
1775658946662,realistic,-167.635978314460875
1775658946662,bad,-167.926062564075375
1775658946662,ideal,-167.53252204910745
1775658946662,good,-167.605000553751075
1775658946662,realistic,-167.720966161180875
1775658946662,bad,-168.010880179755375
1775658946662,ideal,-167.61761928625545
1775658946662,good,-167.690055233769075
1775658946662,realistic,-167.805952749790875
1775658946662,bad,-168.095696539845375
1775658946662,ideal,-173.84187434622345
1775658946662,good,-173.911197543657075
1775658946662,realistic,-174.022114659550875
1775658946662,bad,-174.299407449285375
1775658946662,ideal,-176.88155628822345
1775658946662,good,-176.949359340657075
1775658946662,realistic,-177.057844224550875
1775658946662,bad,-177.329056434285375
1775658946662,ideal,-180.52570338300945
1775658946662,good,-180.591683997408075
1775658946662,realistic,-180.697252980445875
1775658946662,bad,-180.961175438040375
1775658946662,ideal,-185.02409972376945
1775658946662,good,-185.087830690068075
1775658946662,realistic,-185.189800236145875
1775658946662,bad,-185.444724101340375
1775658946662,ideal,-185.10919948041345
1775658946662,good,-185.172887888322075
1775658946662,realistic,-185.274789340975875
1775658946662,bad,-185.529542972610375
1775658946662,ideal,-197.00616241185345
1775658946662,good,-197.063901148362075
1775658946662,realistic,-197.156283126775875
1775658946662,bad,-197.387238072810375
1775658946662,ideal,-205.99661001264345
1775658946662,good,-206.049852626127075
1775658946662,realistic,-206.135040807700875
1775658946662,bad,-206.348011261635375
1775658949968,ideal,-215.36009144446545
1775658949968,good,-215.418014862504075
1775658949968,realistic,-215.510692331365875
1775658949968,bad,-215.742386003520375
1775660434496,ideal,-215.39422843499835
1775660434496,good,-215.452168918119225
1775660434496,realistic,-215.544873691112625
1775660434496,bad,-215.776635623596125
1775660435034,ideal,-215.46122626688535
1775660435034,good,-215.519200242223725
1775660435034,realistic,-215.611958602765125
1775660435034,bad,-215.843854504118625
1775660436511,ideal,-215.62074491423535
1775660436511,good,-215.678798632948725
1775660436511,realistic,-215.771684582890125
1775660436511,bad,-216.003899457743625
1775660437045,ideal,-219.60871109798535
1775660437045,good,-219.668758401073725
1775660437045,realistic,-219.764834086015125
1775660437045,bad,-220.005023298368625
1775660439666,ideal,-221.74243252493895
1775660439666,good,-221.803546475411325
1775660439666,realistic,-221.901328796167125
1775660439666,bad,-222.145784598056625
1775660440358,ideal,-221.90195117228895
1775660440358,good,-221.963144866136325
1775660440358,realistic,-222.061054776292125
1775660440358,bad,-222.305829551681625
1775660457415,ideal,-252.34417079526825
1775660457415,good,-252.420582555313875
1775660457415,realistic,-252.542841371386875
1775660457415,bad,-252.848488411569375
1775660457415,ideal,-252.35310383951985
1775660457415,good,-252.429520065194475
1775660457415,realistic,-252.551786026273875
1775660457415,bad,-252.857450928972375
1775660457500,ideal,-252.79975605209985
1775660457500,good,-252.876395559224475
1775660457500,realistic,-252.999018770623875
1775660457500,bad,-253.305576799122375
1775661044700,ideal,-253.30999178453985
1775661044700,good,-253.386376122764475
1775661044700,realistic,-253.508591063923875
1775661044700,bad,-253.814128416822375
1775661044700,ideal,-264.21628056544485
1775661044700,good,-264.287210668431975
1775661044700,realistic,-264.400698833211375
1775661044700,bad,-264.684419245159875
1775661044700,ideal,-264.46532419675485
1775661044700,good,-264.536129753016975
1775661044700,realistic,-264.649418643036375
1775661044700,bad,-264.932640868084875
1775661092484,ideal,-264.51697584435885
1775661092484,good,-264.587755569630975
1775661092484,realistic,-264.701003130066375
1775661092484,bad,-264.984122031154875
1775661097812,ideal,-276.13555822304685
1775661097812,good,-276.200527495038975
1775661097812,realistic,-276.304478330226375
