ts,profile,equity
1775658223476,ideal,-0.0299904733953
1775658223476,good,-0.03000546563355
1775658223476,realistic,-0.03002945321475
1775658223476,bad,-0.03008942216775
1775658223679,ideal,-0.4457878372395
1775658223679,good,-0.44601068658825
1775658223679,realistic,-0.44636724554625
1775658223679,bad,-0.44725864294125
1775658224472,ideal,-0.79170488841582
1775658224472,good,-0.79210066170537
1775658224472,realistic,-0.79273389896865
1775658224472,bad,-0.79431699212685
1775658228253,ideal,-0.89219556813294
1775658228253,good,-0.89264157671529
1775658228253,realistic,-0.89335519044705
1775658228253,bad,-0.89513922477645
1775662337767,ideal,-0.20133608863805
1775662337767,good,-1.147734087358175
1775662337767,realistic,-2.661970885310375
1775662337767,bad,-6.447562880190875
1775662337767,ideal,-0.16932815526023
1775662337767,good,-1.160775347785805
1775662337767,realistic,-2.747090855826725
1775662337767,bad,-6.712879625929025
1775663228279,ideal,-0.61923635562023
1775663228279,good,-1.610458549045805
1775663228279,realistic,-3.196414058526725
1775663228279,bad,-7.161302832229025
1775663303419,ideal,-1.07017763932223
1775663303419,good,-2.061174317002805
1775663303419,realistic,-3.646769001291725
1775663303419,bad,-7.610755712014025
1775663305048,ideal,-1.14316132866443
1775663305048,good,-2.134121507200505
1775663305048,realistic,-3.719657792858225
1775663305048,bad,-7.683498507002525
1775664246189,ideal,-1.28020276739393
1775664246189,good,-2.271094411503755
1775664246189,realistic,-3.856521042079475
1775664246189,bad,-7.820087618518775
1775664341691,ideal,-1.59373080674243
1775664341691,good,-2.584465655473505
1775664341691,realistic,-4.169641413443225
1775664341691,bad,-8.132580808367525
1775664456817,ideal,-2.04406795129643
1775664456817,good,-3.034577586412505
1775664456817,realistic,-4.619393002598225
1775664456817,bad,-8.581431543062525
1775669855002,ideal,-2.11906908926819
1775669855002,good,-3.109541216313665
1775669855002,realistic,-4.694296619586425
1775669855002,bad,-8.656185127768325
1775672989809,ideal,-2.54487693322319
1775672989809,good,-3.543076732656165
1775672989809,realistic,-5.140196411748925
1775672989809,bad,-9.132995609480825
1775673809750,ideal,-1.29592593783599
1775673809750,good,-2.460170588800965
1775673809750,realistic,-4.322962030344925
1775673809750,bad,-8.979940634204825
1775673813455,ideal,1.78869506424801
1775673813455,good,-0.375273131506965
