ts,profile,equity
1775658095022,ideal,-1.7773621203438
1775658095022,good,-1.7782506237033
1775658095022,realistic,-1.7796722290785
1775658095022,bad,-1.7832262425165
1775658109736,ideal,-2.966632082775
1775658109736,good,-2.9681151022125
1775658109736,realistic,-2.9704879333125
1775658109736,bad,-2.9764200110625
1775658121023,ideal,-3.608927397469441379310344772
1775658121023,good,-4.957342728987872413793103432
1775658121023,realistic,-7.114807259417362068965517319
1775658121023,bad,-12.5084685854910862068965518
1775658148126,ideal,-4.547398551735144827586206678
1775658148126,good,-9.845170952279903448275862004
1775658148126,realistic,-18.32160679315151724137931065
1775658148126,bad,-39.51269639533055172413793132
1775658168448,ideal,-4.537431855324399999999999751
1775658168448,good,-10.57318992363539999999999993
1775658168448,realistic,-20.23040283293300000000000035
1775658168448,bad,-44.37343510617700000000000032
1775658197669,ideal,-4.542695234789799999999999751
1775658197669,good,-10.57845593426429999999999993
1775658197669,realistic,-20.23567305342350000000000035
1775658197669,bad,-44.37871585132150000000000032
1775658267212,ideal,-5.099779639391799999999999751
1775658267212,good,-11.13581882537129999999999993
1775658267212,realistic,-20.79348152293850000000000035
1775658267212,bad,-44.93763826685650000000000032
1775658278158,ideal,-8.556531066683799999999999717
1775658278158,good,-16.39795872089329999999999994
1775658278158,realistic,-28.94424296762850000000000025
1775658278158,bad,-60.30995358446650000000000039
1775658288030,ideal,-9.459385954005399999999999717
1775658288030,good,-18.11145930651889999999999994
1775658288030,realistic,-31.95477667054050000000000025
1775658288030,bad,-66.56307008059450000000000039
1775658308235,ideal,-14.60923264832199999999999972
1775658308235,good,-24.58753127912699999999999994
1775658308235,realistic,-40.55280908841500000000000025
1775658308235,bad,-80.46600361163500000000000039
1775658317210,ideal,-14.61799358801439999999999972
1775658317210,good,-24.60631572305039999999999994
1775658317210,realistic,-40.58763113910800000000000025
1775658317210,bad,-80.54091967925200000000000039
1775658317686,ideal,-14.63040491924529999999999972
1775658317686,good,-24.63292701860854999999999994
1775658317686,realistic,-40.63696237758975000000000025
1775658317686,bad,-80.64705077504275000000000039
1775658325679,ideal,-14.63115675858309999999999972
1775658325679,good,-24.63367923379084999999999994
1775658325679,realistic,-40.63771519412325000000000025
1775658325679,bad,-80.64780509495425000000000039
1775658327801,ideal,-16.40700127446669999999999972
1775658327801,good,-26.41041149438344999999999994
1775658327801,realistic,-42.41586784625025000000000025
1775658327801,bad,-82.42950872591725000000000039
1775658445917,ideal,-18.18285313581909999999999972
1775658445917,good,-28.18715110411684999999999994
1775658445917,realistic,-44.19402785339325000000000025
1775658445917,bad,-84.21121972658425000000000039
1775658631026,ideal,-21.05923232669879696680200582
1775658631026,good,-32.88641908092280156436589448
1775658631026,realistic,-51.8099178876812089204681159
